   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.55000  0.00000000000E+00   1.39772   4.26935  10.52626 -30.00000   0.49982   0.00000  0.00000E+00  9.52880E-01  4.69200E-02  4.91000E-06     0.04350     0.97170     0.00000     0.00050    -0.01480  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0000000000
        2    0.55000  1.53490000000E+04   1.39970   4.26922  10.52750 -30.00000   0.49982   0.00000  0.00000E+00  9.52560E-01  4.72300E-02  1.16100E-05     0.04180     0.96860     0.00000     0.00050    -0.00983  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0004082358
        3    0.55000  3.45360000000E+04   1.40144   4.26910  10.52861 -30.00000   0.49982   0.00000  0.00000E+00  9.52160E-01  4.76200E-02  2.00700E-05     0.04270     0.96640     0.00000     0.00050    -0.00857  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0009185506
        4    0.55000  5.85190000000E+04   1.40290   4.26900  10.52955 -30.00000   0.49982   0.00000  0.00000E+00  9.51660E-01  4.81100E-02  3.07400E-05     0.04300     0.96530     0.00000     0.00050    -0.00777  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0015564240
        5    0.55000  8.84980000000E+04   1.40403   4.26891  10.53028 -30.00000   0.49982   0.00000  0.00000E+00  9.51040E-01  4.87200E-02  4.42600E-05     0.04280     0.96530     0.00000     0.00050    -0.00754  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0023537725
        6    0.55000  1.25972000000E+05   1.40479   4.26885  10.53078 -30.00000   0.49982   0.00000  0.00000E+00  9.50260E-01  4.94800E-02  6.14300E-05     0.04270     0.96600     0.00000     0.00050    -0.00809  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0033504648
        7    0.55000  1.72814000000E+05   1.40523   4.26881  10.53109 -30.00000   0.49982   0.00000  0.00000E+00  9.49280E-01  5.04400E-02  8.33000E-05     0.04250     0.96700     0.00000     0.00050    -0.00894  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0045963168
        8    0.55000  2.31367000000E+05   1.40543   4.26876  10.53128 -30.00000   0.49982   0.00000  0.00000E+00  9.48050E-01  5.16300E-02  1.11300E-04     0.04240     0.96790     0.00000     0.00050    -0.00967  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0061536451
        9    0.55000  3.04558000000E+05   1.40550   4.26871  10.53143 -30.00000   0.49982   0.00000  0.00000E+00  9.46520E-01  5.31300E-02  1.47200E-04     0.04220     0.96840     0.00000     0.00050    -0.01004  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0081002988
       10    0.55000  3.96046000000E+05   1.40557   4.26863  10.53162 -30.00000   0.49982   0.00000  0.00000E+00  9.44600E-01  5.50000E-02  1.93700E-04     0.04200     0.96870     0.00000     0.00050    -0.01011  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0105335961
