16   1.000E-01  1.163E+00   2907.   0.100   7.25  -5.19   2.14   2.40   5.02  15.98  12.44  14.59  10.04   7.43   5.31   4.61   4.20   3.79   0     1
16   3.213E-01  1.891E+00   3067.   0.200   5.98  -4.25   1.98   1.95   4.22  13.54  10.24  12.22   8.28   6.02   4.07   3.41   3.04   2.69   0     0
15   8.193E-01  2.517E+00   3363.   0.300   4.97  -2.60   1.61   1.24   2.89  10.46   7.57   9.18   6.32   4.68   3.14   2.54   2.26   2.03   0     0
12   1.566E+00  3.029E+00   3600.   0.400   4.26  -1.66   1.51   1.00   2.16   8.63   5.93   7.44   4.93   3.77   2.63   1.98   1.76   1.60   0     0
11   2.306E+00  3.341E+00   3774.   0.500   3.84  -1.34   1.45   0.92   1.89   7.86   5.18   6.63   4.26   3.29   2.29   1.62   1.44   1.30   0     0
10   2.452E+00  3.205E+00   3913.   0.600   3.78  -1.14   1.40   0.88   1.74   7.54   4.91   6.32   4.03   3.18   2.27   1.60   1.44   1.31   0     0
26   3.343E+00  3.140E+00   4265.   1.000   3.44  -0.77   1.23   0.76   1.42   6.54   4.21   5.43   3.45   2.79   2.02   1.39   1.28   1.17   0     0
25   4.013E+00  3.264E+00   4384.   1.200   3.24  -0.68   1.15   0.71   1.31   6.11   3.92   5.08   3.21   2.61   1.83   1.23   1.12   1.02   0     0
25   5.384E+00  3.567E+00   4517.   1.500   2.92  -0.62   1.10   0.67   1.24   5.62   3.54   4.64   2.87   2.31   1.54   0.96   0.85   0.75   0     0
24   8.519E+00  4.213E+00   4660.   2.000   2.42  -0.54   1.02   0.62   1.14   4.86   2.96   3.99   2.34   1.83   1.09   0.53   0.44   0.34   0     0
23   1.227E+01  4.837E+00   4768.   2.500   2.03  -0.48   0.96   0.58   1.06   4.24   2.50   3.47   1.93   1.44   0.75   0.21   0.12   0.04   0     0
23   1.723E+01  5.510E+00   4863.   3.000   1.66  -0.44   0.92   0.55   1.02   3.73   2.10   3.02   1.55   1.08   0.42  -0.09  -0.18  -0.26   0     0
