recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
1,02 19 20.17,+57 11 51.4,17.35,2.99,476.0,<,0.001,0.064,1,,,15.72,15.09,14.9,,X,0.999997,1,4783.0,129.0,,,,
2,02 19 38.13,+57 12 32.3,17.11,0.625,463.3,<,0.001,0.046,1,18.32,16.63,15.48,14.83,14.63,3,X,0.999993,1,4785.0,130.0,0.77,,,-0.17736778758338761
3,02 18 11.37,+57 14 40.8,18.21,1.64,430.6,<,0.001,0.061,1,,,16.41,15.67,15.46,,,0.999995,1,,,,,,
4,02 18 17.31,+57 07 35.3,17.02,2.85,430.5,<,0.001,0.037,1,18.1,16.63,15.48,14.85,14.7,3,,0.999996,1,4904.0,130.0,0.8,,,0.0980827604461786
5,02 18 31.14,+57 03 53.3,16.43,0.541,430.4,<,0.001,0.029,2,17.57,16.1,14.94,14.33,14.17,3,X,0.999996,1,4934.0,127.0,,,,
6,02 18 19.07,+57 02 28.5,16.85,0.361,426.4,<,0.001,0.055,2,18.16,16.4,15.1,14.4,14.2,3,X,0.999995,1,4650.0,129.0,,,,
7,02 19 23.99,+57 02 24.8,16.71,0.364,426.2,<,0.001,0.022,2,17.88,16.25,15.1,14.45,14.27,3,,0.999991,1,4728.0,126.0,0.76,,,0.014365105764574395
8,02 18 54.21,+57 00 30.6,18.14,2.97,424.3,<,0.001,0.049,1,19.7,17.75,16.1,15.35,15.15,3,,0.999979,1,4072.0,135.0,0.64,,,-0.9706568124808934
9,02 18 50.23,+56 59 57.8,17.83,5.18,413.4,<,0.001,0.033,1,19.09,17.43,16.12,15.42,15.28,3,,0.999998,1,4703.0,140.0,0.75,,,-0.6754706227880067
10,02 19 46.17,+57 09 39.0,18.5,4.46,408.1,<,0.001,0.065,1,20.23,18.03,16.54,15.71,15.42,1,,0.999993,1,,,,,,
11,02 18 49.08,+57 11 12.9,16.42,0.391,407.4,<,0.001,0.043,2,17.57,16.0,14.89,14.27,14.06,3,X,0.999994,1,4865.0,126.0,,,,
12,02 18 00.05,+57 13 06.7,17.2,2.87,405.1,<,0.001,0.032,1,,,15.66,15.07,14.9,,,0.999995,1,4824.0,131.0,0.78,,,-0.26857241294905204
13,02 19 48.85,+57 15 09.0,18.1,0.436,403.5,<,0.001,0.04,1,19.31,17.54,16.34,15.6,15.36,1,,0.999998,1,4441.0,134.0,0.7,,,-0.3569521956712412
14,02 18 37.09,+57 05 53.2,16.99,2.3,402.9,<,0.001,0.033,1,17.91,16.42,15.4,14.78,14.56,3,X,0.999988,1,4940.0,128.0,0.81,,,-0.24948389128320114
15,02 19 36.85,+57 03 17.0,17.78,0.946,401.5,<,0.001,0.036,1,19.09,17.31,15.99,15.25,15.04,3,X,0.999993,1,,,,,,
16,02 19 44.74,+57 14 37.7,18.42,11.0,397.0,<,0.001,0.06,1,19.82,17.94,16.65,15.86,15.63,1,,0.999995,1,4516.0,154.0,0.71,,,-0.5320221247202073
17,02 19 25.76,+57 09 24.2,17.68,0.36,396.4,<,0.001,0.075,1,18.98,17.19,15.85,15.2,14.93,3,X,0.999991,1,4848.0,135.0,0.79,,,-0.5413923638152898
18,02 18 29.88,+57 14 24.3,17.68,4.26,395.9,<,0.001,0.052,1,18.86,17.13,15.9,15.25,15.02,3,,0.99999,1,4717.0,139.0,0.76,,,-0.4088908522338173
19,02 19 17.02,+57 15 45.1,16.93,1.53,393.2,<,0.001,0.024,1,18.02,16.46,15.38,14.8,14.61,3,,0.999996,1,5084.0,149.0,0.85,,,-0.24676942178292638
20,02 18 52.71,+57 11 29.6,16.09,0.451,392.7,<,0.001,0.021,2,17.29,15.75,14.61,14.1,13.93,3,X,0.999996,1,5172.0,125.0,,,,
21,02 18 38.27,+56 59 42.3,17.22,3.47,390.8,<,0.001,0.055,1,,,15.74,15.06,14.87,,X,0.999996,1,4759.0,128.0,,,,
22,02 19 20.91,+57 13 12.3,17.07,4.07,390.6,<,0.001,0.054,1,18.28,16.71,15.5,14.91,14.72,3,X,0.999994,1,4989.0,128.0,,,,
23,02 19 48.62,+57 13 10.9,17.93,7.52,389.8,<,0.001,0.03,1,19.12,17.38,16.24,15.51,15.28,1,,0.999994,1,4572.0,149.0,0.72,,,-0.10564516275351593
24,02 19 54.81,+57 03 03.8,16.06,0.473,388.7,<,0.001,0.014,2,17.02,15.66,14.68,14.17,14.05,3,,0.999994,1,5465.0,125.0,0.96,,,0.6309107209834273
25,02 19 15.00,+57 09 05.0,16.51,0.402,387.5,<,0.001,0.048,2,,,14.96,14.33,14.09,,X,0.999999,1,5028.0,129.0,,,,
26,02 18 14.52,+57 09 31.8,17.51,0.126,386.0,<,0.001,0.062,2,,,15.34,14.64,14.3,,X,0.999442,1,3394.0,158.0,0.456,0.059,0.01082,-1.598771832501887
27,02 18 57.60,+57 03 31.7,16.77,0.365,384.8,<,0.001,0.067,2,,,15.12,14.54,14.32,,X,0.999992,1,4775.0,132.0,0.77,,,-0.044139143533174656
28,02 19 46.36,+57 07 30.9,19.11,2.15,383.6,<,0.001,0.091,1,21.06,18.7,16.95,16.08,15.87,1,,0.999979,1,,,,,,
29,02 19 32.76,+57 05 44.1,17.0,0.712,383.2,<,0.001,0.037,1,18.23,16.6,15.36,14.75,14.56,3,X,0.999996,1,4967.0,138.0,0.82,,,0.11632542723959753
30,02 17 58.31,+57 08 38.2,16.27,0.372,381.9,<,0.001,0.034,2,,,14.86,14.32,14.14,,,0.999993,1,4976.0,125.0,,,,
31,02 18 48.73,+57 11 27.5,16.8,0.348,379.1,<,0.001,0.025,2,,,15.19,14.56,14.34,,,0.999985,1,4827.0,131.0,0.78,,,-0.08021609887849049
32,02 18 18.03,+57 16 58.2,16.9,0.717,378.7,<,0.001,0.041,2,18.12,16.47,15.24,14.52,14.31,3,,0.999993,1,4636.0,128.0,,,,
33,02 19 51.52,+57 08 33.6,19.2,0.743,378.4,<,0.001,0.088,2,21.2,18.6,16.77,15.95,15.64,1,X,0.999973,1,,,,,,
34,02 19 20.52,+57 09 25.4,17.1,3.47,378.1,<,0.001,0.035,1,18.37,16.76,15.5,14.91,14.68,0,X,0.999996,1,4928.0,129.0,0.81,,,-0.2816395005470164
35,02 18 58.23,+57 13 55.2,17.04,0.395,375.6,<,0.001,0.03,1,18.29,16.6,15.44,14.86,14.62,3,,0.999996,1,4923.0,133.0,0.81,,,-0.10894225936304217
36,02 19 23.99,+57 09 08.5,18.18,2.2,371.4,<,0.001,0.058,1,19.48,17.71,16.36,15.64,15.36,1,X,0.999998,1,,,,,,
37,02 19 46.02,+57 03 41.4,18.31,5.32,367.4,<,0.001,0.042,1,19.65,17.8,16.48,15.75,15.57,1,,0.999992,1,,,,,,
38,02 19 57.71,+57 10 37.4,16.58,8.47,367.2,<,0.001,0.012,1,17.56,16.13,15.19,14.67,14.5,1,,0.999997,1,5212.0,126.0,0.89,,,0.04476312158573352
39,02 18 03.08,+57 16 15.9,18.6,2.12,364.8,<,0.001,0.066,1,20.1,18.08,16.56,15.77,15.52,1,,0.999995,1,4358.0,165.0,0.68,,,-0.5580379299114717
40,02 19 21.38,+57 05 14.6,16.93,2.42,364.7,<,0.001,0.023,1,18.09,16.5,15.34,14.82,14.66,3,X,0.999997,1,5076.0,131.0,0.85,,,0.10614328210242188
41,02 18 30.58,+57 04 54.0,16.74,3.88,364.5,<,0.001,0.022,1,17.86,16.42,15.3,14.76,14.58,3,X,0.999994,1,5065.0,128.0,0.85,,,0.1266573094055292
42,02 18 58.25,+57 01 40.5,17.52,1.88,364.4,<,0.001,0.066,1,,,15.85,15.26,15.07,,X,0.999997,1,4727.0,136.0,0.76,,,-0.09445235883974938
43,02 19 45.54,+57 02 53.5,17.73,1.6,364.1,<,0.001,0.032,2,18.97,17.18,15.88,15.11,14.89,3,X,0.999993,1,,,,,,
44,02 18 31.49,+57 06 39.6,18.14,5.24,363.3,<,0.001,0.044,1,19.54,17.73,16.33,15.65,15.46,1,,0.999989,1,,,,,,
45,02 18 03.02,+57 06 37.3,16.56,2.55,360.7,<,0.001,0.03,2,17.74,16.07,14.78,14.1,13.91,3,X,0.999983,1,4434.0,125.0,,,,
46,02 19 03.12,+57 11 26.5,17.79,4.57,360.3,<,0.001,0.048,1,19.03,17.31,16.09,15.38,15.14,0,,0.999989,1,,,,,,
47,02 18 36.48,+57 01 15.3,17.11,0.323,360.2,<,0.001,0.031,2,18.34,16.69,15.39,14.77,14.58,3,"X,Ha",0.999986,1,4544.0,133.0,0.72,,,-0.26756602958657605
48,02 18 06.60,+57 15 14.8,18.67,0.578,359.4,<,0.001,0.06,1,20.23,18.16,16.65,15.84,15.61,1,,0.99999,1,,,,,,
49,02 18 54.77,+57 03 38.9,17.85,0.661,359.0,<,0.001,0.055,1,19.21,17.44,15.95,15.27,15.1,3,X,0.999998,1,,,,,,
50,02 18 33.74,+57 11 46.1,19.08,0.37,358.3,<,0.001,0.07,1,20.9,18.58,16.9,16.13,15.84,1,,0.999973,1,,,,,,
51,02 19 25.25,+57 02 37.8,18.07,0.674,353.0,<,0.001,0.051,2,19.68,17.58,16.03,15.29,15.07,3,X,0.999964,1,4072.0,143.0,0.64,,,-0.8426339082377299
52,02 18 15.22,+57 05 07.8,18.76,0.764,352.8,<,0.001,0.056,1,20.38,18.2,16.66,15.86,15.6,1,,0.999987,1,,,,,,
53,02 19 57.83,+57 00 44.8,16.7,3.07,352.3,<,0.001,0.03,1,17.67,16.29,15.29,14.77,14.59,3,,0.999997,1,5247.0,138.0,0.9,,,-0.07204481138933409
54,02 18 21.70,+57 06 52.2,16.49,0.674,351.5,<,0.001,0.015,1,17.54,16.13,15.03,14.48,14.31,3,X,0.999994,1,4927.0,132.0,0.81,,,0.1112625136590653
55,02 18 29.95,+57 01 09.1,17.95,1.1,349.9,<,0.001,0.059,1,19.25,17.5,16.03,15.32,15.11,3,,0.999996,1,4331.0,135.0,0.68,,,-0.4305207487052039
56,02 17 59.20,+57 16 32.6,18.35,1.51,349.5,<,0.001,0.069,1,19.94,17.89,16.44,15.62,15.4,1,,0.999996,1,4489.0,154.0,0.7,,,-0.6145724851948694
57,02 18 29.48,+57 10 19.2,16.72,0.53,349.1,<,0.001,0.016,1,17.89,16.39,15.26,14.67,14.45,3,X,0.999993,1,5072.0,130.0,0.85,,,0.07413595179312027
58,02 19 13.07,+57 12 35.6,16.27,0.415,348.3,<,0.001,0.022,2,,,14.6,14.04,13.83,,X,0.999997,1,4807.0,126.0,,,,
59,02 18 22.10,+56 59 32.2,16.83,1.19,348.1,<,0.001,0.042,1,,,15.4,14.81,14.65,,X,0.999992,1,4899.0,127.0,,,,
60,02 18 13.94,+57 12 52.7,18.31,0.774,345.8,<,0.001,0.036,1,,,16.4,15.69,15.45,,,0.999977,1,,,,,,
61,02 18 17.79,+57 10 51.6,19.83,0.539,343.9,<,0.001,0.103,1,22.42,19.1,17.38,16.55,16.25,1,,0.999998,1,,,,,,
62,02 19 54.24,+57 03 48.2,17.37,5.88,343.7,<,0.001,0.032,1,18.5,16.84,15.64,14.97,14.76,3,X,0.999991,1,4789.0,137.0,0.77,,,-0.27647044671942766
63,02 19 51.56,+57 10 00.9,17.82,5.32,343.4,<,0.001,0.06,1,,,16.17,15.44,15.2,,X,0.999983,1,4986.0,164.0,0.82,,,-0.11529524148229814
