recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,Mass,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Mass_calc,Mass_e
1,02 19 20.17,+57 11 51.4,17.35,2.99,476.0,<,0.001,0.064,1.21,1,,,15.72,15.09,3.091360819912035,,X,0.999997,1,1.1117115503017172,0.012947409840164022
2,02 19 38.13,+57 12 32.3,17.11,0.625,463.3,<,0.001,0.046,1.25,1,18.32,16.63,15.48,14.83,2.8213608199120355,3.0,X,0.999993,1,1.2017583199228898,0.012947409840164022
3,02 18 11.37,+57 14 40.8,18.21,1.64,430.6,<,0.001,0.061,1.03,1,,,16.41,15.67,3.6513608199120355,,,0.999995,1,0.8693141283155215,0.012947409840164022
4,02 18 17.31,+57 07 35.3,17.02,2.85,430.5,<,0.001,0.037,1.27,1,18.1,16.63,15.48,14.85,2.891360819912034,3.0,,0.999996,1,1.179729827465339,0.012947409840164022
5,02 18 31.14,+57 03 53.3,16.43,0.541,430.4,<,0.001,0.029,1.34,2,17.57,16.1,14.94,14.33,2.3613608199120346,3.0,X,0.999996,1,,0.0
6,02 18 19.07,+57 02 28.5,16.85,0.361,426.4,<,0.001,0.055,1.29,2,18.16,16.4,15.1,14.4,2.391360819912034,3.0,X,0.999995,1,,0.0
7,02 19 23.99,+57 02 24.8,16.71,0.364,426.2,<,0.001,0.022,1.31,2,17.88,16.25,15.1,14.45,2.4613608199120343,3.0,,0.999991,1,1.2937949388625944,0.012947409840164022
8,02 18 54.21,+57 00 30.6,18.14,2.97,424.3,<,0.001,0.049,1.03,1,19.7,17.75,16.1,15.35,3.341360819912035,3.0,,0.999979,1,1.0091219298496459,0.012947409840164022
9,02 18 50.23,+56 59 57.8,17.83,5.18,413.4,<,0.001,0.033,1.12,1,19.09,17.43,16.12,15.42,3.471360819912034,3.0,,0.999998,1,0.9510311517678649,0.012947409840164022
10,02 19 46.17,+57 09 39.0,18.5,4.46,408.1,<,0.001,0.065,0.94,1,20.23,18.03,16.54,15.71,3.6113608199120346,1.0,,0.999993,1,0.8872798823072786,0.012947409840164022
11,02 18 49.08,+57 11 12.9,16.42,0.391,407.4,<,0.001,0.043,1.34,2,17.57,16.0,14.89,14.27,2.251360819912035,3.0,X,0.999994,1,,0.0
12,02 18 00.05,+57 13 06.7,17.2,2.87,405.1,<,0.001,0.032,1.23,1,,,15.66,15.07,3.091360819912035,,,0.999995,1,1.1117115503017172,0.012947409840164022
13,02 19 48.85,+57 15 09.0,18.1,0.436,403.5,<,0.001,0.04,1.05,1,19.31,17.54,16.34,15.6,3.551360819912034,1.0,,0.999998,1,0.9145534510186825,0.012947409840164022
14,02 18 37.09,+57 05 53.2,16.99,2.3,402.9,<,0.001,0.033,1.27,1,17.91,16.42,15.4,14.78,2.751360819912035,3.0,X,0.999988,1,1.2202211624551056,0.012947409840164022
15,02 19 36.85,+57 03 17.0,17.78,0.946,401.5,<,0.001,0.036,1.12,1,19.09,17.31,15.99,15.25,3.231360819912034,3.0,X,0.999993,1,1.0546944175156163,0.012947409840164022
16,02 19 44.74,+57 14 37.7,18.42,11.0,397.0,<,0.001,0.06,0.96,1,19.82,17.94,16.65,15.86,3.8213608199120355,1.0,,0.999995,1,0.7944938339420535,0.012947409840164022
17,02 19 25.76,+57 09 24.2,17.68,0.36,396.4,<,0.001,0.075,1.15,1,18.98,17.19,15.85,15.2,3.1213608199120344,3.0,X,0.999991,1,1.1010730439444878,0.012947409840164022
18,02 18 29.88,+57 14 24.3,17.68,4.26,395.9,<,0.001,0.052,1.14,1,18.86,17.13,15.9,15.25,3.2113608199120343,3.0,,0.99999,1,1.0630124170945843,0.012947409840164022
19,02 19 17.02,+57 15 45.1,16.93,1.53,393.2,<,0.001,0.024,1.28,1,18.02,16.46,15.38,14.8,2.801360819912034,3.0,,0.999996,1,1.207671036020022,0.012947409840164022
20,02 18 52.71,+57 11 29.6,16.09,0.451,392.7,<,0.001,0.021,1.39,2,17.29,15.75,14.61,14.1,2.1213608199120344,3.0,X,0.999996,1,,0.0
21,02 18 38.27,+56 59 42.3,17.22,3.47,390.8,<,0.001,0.055,1.22,1,,,15.74,15.06,3.061360819912034,,X,0.999996,1,1.1211439632609441,0.012947409840164022
22,02 19 20.91,+57 13 12.3,17.07,4.07,390.6,<,0.001,0.054,1.25,1,18.28,16.71,15.5,14.91,2.9113608199120353,3.0,X,0.999994,1,1.1717184788089223,0.012947409840164022
23,02 19 48.62,+57 13 10.9,17.93,7.52,389.8,<,0.001,0.03,1.09,1,19.12,17.38,16.24,15.51,3.471360819912034,1.0,,0.999994,1,0.9510311517678649,0.012947409840164022
24,02 19 54.81,+57 03 03.8,16.06,0.473,388.7,<,0.001,0.014,1.39,2,17.02,15.66,14.68,14.17,2.2413608199120354,3.0,,0.999994,1,,0.0
25,02 19 15.00,+57 09 05.0,16.51,0.402,387.5,<,0.001,0.048,1.34,2,,,14.96,14.33,2.2813608199120345,,X,0.999999,1,,0.0
