,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Teff,s_Teff,Mass,s_Mass,Lum,s_Lum,Mass_calc,Mass_e
0,1,1-1-1470,07 57 08.92,-61 29 18.60,8.803,17.6,15.45,13.47,26,0.56,<,8.0,,-1.23,0.016,52,-0.77,0.45,0.5,-4.47,1,1,3638.0,157.0,0.539,0.022,0.04646,0.01134,0.42038216560509556,0.033371469090881234
1,2,1-1-1667,07 57 16.58,-61 31 38.70,1.347,15.82,14.5,12.72,44,0.16,,22.0,,-0.88,0.01,35,-1.41,0.42,0.59,-4.49,1,1,4386.0,122.0,0.69,,0.13815,,1.0678571428571428,0.033371469090881234
2,3,1-1-1880,07 57 24.78,-61 25 56.57,,18.92,16.46,14.24,14,2.82,<,8.0,*,-1.62,,81,,0.07,0.01,-5.27,0,1,3467.0,157.0,0.589,0.031,0.04696,0.01392,0.3219101123595506,0.033371469090881234
3,4,1-1-194,07 56 22.57,-61 27 01.49,,19.53,16.62,13.99,13,30.38,<,8.0,*,-1.63,,82,,0.08,0.02,-5.25,0,1,,,,,,,,0.033371469090881234
4,5,1-1-1949,07 57 28.44,-61 30 08.22,,20.51,17.68,15.4,5,10.0,,16.8,*,-2.06,,135,,0.1,0.03,-5.17,0,1,,,,,,,,0.033371469090881234
5,6,1-1-2241,07 57 37.82,-61 26 53.31,,20.17,17.24,14.92,7,0.1,,20.9,,-1.87,,108,,0.34,0.22,-4.65,0,1,3250.0,159.0,0.3,0.036,0.01033,0.00384,0.22123893805309736,0.033371469090881234
6,7,1-1-2403,07 57 43.35,-61 30 44.59,,20.11,17.24,15.0,7,3.42,,20.6,,-1.88,,110,,0.16,0.13,-4.96,0,1,,,,,,,,0.033371469090881234
7,8,1-1-2490,07 57 47.14,-61 30 37.50,0.968,19.76,16.94,14.69,10,1.43,,25.6,,-1.77,0.018,96,-2.0,0.29,0.28,-4.7,1,1,3300.0,158.0,0.324,0.031,0.01246,0.00406,0.24336283185840707,0.033371469090881234
8,9,1-1-251,07 56 24.19,-61 27 25.90,,18.25,15.93,13.94,20,5.97,<,8.0,*,-1.41,,64,,-0.03,0.0,,0,1,3508.0,157.0,0.44,0.024,0.02688,0.00695,0.3449438202247191,0.033371469090881234
9,10,1-1-2695,07 57 56.09,-61 32 28.57,,20.44,17.52,14.95,6,2.24,,44.7,,-1.98,,123,,0.41,0.52,-4.56,0,1,,,,,,,,0.033371469090881234
10,11,1-1-2698,07 57 56.15,-61 29 38.17,,17.92,15.51,13.35,25,13.6,<,8.0,*,-1.24,,52,,0.05,0.05,-5.42,0,1,3475.0,157.0,0.637,0.078,0.0579,0.0291,0.32640449438202246,0.033371469090881234
11,12,1-1-3201,07 58 16.47,-61 31 20.67,,16.83,14.79,12.77,33,12.87,<,8.0,*,-0.97,,39,,0.08,0.09,-5.24,0,1,3718.0,157.0,0.594,0.021,0.06357,0.01481,0.4713375796178344,0.033371469090881234
12,13,1-1-3254,07 58 19.38,-61 32 50.38,,17.12,15.15,13.15,25,0.52,<,8.0,,-1.12,,46,,0.26,0.38,-4.7,0,1,3769.0,157.0,0.588,0.021,0.06536,0.01524,0.5041958041958042,0.033371469090881234
13,14,1-1-3264,07 58 20.21,-61 33 53.80,1.32,19.43,16.72,14.32,11,2.5,,24.1,,-1.7,0.016,89,-1.83,0.63,0.5,-4.35,1,1,3332.0,158.0,0.401,0.03,0.0185,0.00568,0.2575221238938053,0.033371469090881234
14,15,1-1-3449,07 58 25.36,-61 29 01.88,,18.96,16.41,14.22,12,19.28,<,8.0,*,-1.59,,79,,0.0,-0.03,-6.66,0,1,3414.0,157.0,0.34,0.025,0.01545,0.00428,0.29380530973451324,0.033371469090881234
15,16,1-1-351,07 56 28.22,-61 27 46.60,2.318,18.84,16.31,14.17,16,1.4,,14.4,,-1.55,0.016,75,-1.51,0.49,0.46,-4.45,1,1,3392.0,157.0,0.392,0.025,0.0191,0.00524,0.28407079646017697,0.033371469090881234
16,17,1-1-3651,07 58 32.96,-61 32 35.29,,18.26,16.04,13.82,15,10.19,<,8.0,*,-1.46,,68,,0.06,0.03,-5.32,0,1,3621.0,157.0,0.628,0.026,0.06567,0.01726,0.40955414012738856,0.033371469090881234
17,18,1-1-3695,07 58 34.29,-61 27 08.00,9.606,16.91,14.94,12.97,33,1.77,<,8.0,*,-1.04,0.015,42,-0.64,0.31,0.37,-4.62,1,1,3835.0,157.0,0.605,0.021,0.0751,0.01716,0.5503496503496503,0.033371469090881234
