,recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag,Mass_calc,Mass_e
0,2,R01- 680,11.52,0.006,11.52,0.008,11.47,0.027,11.44,0.119,7.2,,,,[R2001]  680,05 33 37.1,-05 23 07.0,2,15.416285,0.4583,6.872983294395505,0.5453639100204122,0.0896731857449002
1,3,R01- 716,11.91,0.006,11.9,0.009,11.78,0.018,11.88,0.027,7.55,M5.5,R01,L,[R2001]  716,05 33 41.6,-04 55 59.9,1,16.420029,0.872,7.463027294395504,0.4353039591382167,0.0896731857449002
2,4,R01- 739,12.09,0.007,12.16,0.012,12.04,0.019,11.97,0.024,3.99,M3.5,R01,L,[R2001]  739,05 33 43.3,-06 05 23.5,2,16.068314,0.5725,7.410811294395504,0.44504372497845,0.0896731857449002
3,5,R01- 749,12.39,0.009,12.36,0.011,12.36,0.02,12.36,0.031,15.42,,,,[R2001]  749,05 33 44.5,-06 05 20.5,1,16.517319,0.6625,7.769816294395504,0.37807910426094554,0.0896731857449002
4,6,HBC 107,9.92,0.002,9.97,0.003,9.89,0.007,9.82,0.039,2.64,,,,HBC 107,05 33 44.9,-05 31 08.6,1,14.303158,4.1659,2.0522562943955034,0.0,0.0
5,7,Par 1266,10.84,0.003,10.84,0.004,10.84,0.011,10.9,0.039,4.65,K8,R01,H,Parenago 1266,05 33 46.1,-05 34 26.5,1,14.111767,,,0.0,0.0
6,8,R01- 766,12.21,0.007,12.4,0.011,12.26,0.023,12.16,0.03,0.36,M6,R01,L,[R2001]  766,05 33 46.3,-06 13 04.8,1,16.79078,0.8665,7.8392772943955045,0.36512265652420633,0.0896731857449002
7,9,R01- 817,11.69,0.005,11.74,0.008,11.64,0.022,11.73,0.091,5.21,,,,[R2001]  817,05 33 51.9,-05 54 25.8,1,15.275686,0.517,6.673684294395505,0.5825388294372902,0.0896731857449002
8,10,R01- 829,11.82,0.006,11.84,0.01,11.81,0.02,11.7,0.026,0.74,M2,R01,H,[R2001]  829,05 33 53.3,-04 56 05.1,2,15.57765,0.534,6.958648294395504,0.5293849564311917,0.0896731857449002
9,11,R01- 831,11.82,0.006,11.94,0.008,11.88,0.021,11.89,0.03,4.39,,,,[R2001]  831,05 33 53.4,-06 17 10.2,2,16.061045,,,0.0,0.0
10,12,Par 1308,11.23,0.004,11.33,0.007,11.31,0.013,11.22,0.024,3.0,,,,Parenago 1308,05 33 54.6,-06 02 08.7,1,14.305938,0.2768,5.944136294395504,0.7186202353050837,0.0896731857449002
11,13,R01- 844,12.37,0.008,12.34,0.011,12.29,0.032,12.14,0.072,0.46,M4.5,R01,L,[R2001]  844,05 33 54.8,-05 08 31.1,1,16.662115,0.6747,7.9024132943955046,0.35334600078522477,0.0896731857449002
12,14,Par 1305,10.53,0.003,10.54,0.004,10.84,0.014,10.63,0.047,3.56,M1,R01,H,Parenago 1305,05 33 56.5,-05 06 47.7,2,14.297806,,,0.0,0.0
13,15,R01- 863,10.44,0.003,10.46,0.004,10.45,0.03,10.22,0.131,5.92,,,,[R2001]  863,05 33 57.7,-05 40 06.1,1,15.099239,,,0.0,0.0
