recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag
2,R01- 680,11.52,0.006,11.52,0.008,11.47,0.027,11.44,0.119,7.2,,,,[R2001]  680,05 33 37.1,-05 23 07.0,2,15.416285,0.4583,14.957985
3,R01- 716,11.91,0.006,11.9,0.009,11.78,0.018,11.88,0.027,7.55,M5.5,R01,L,[R2001]  716,05 33 41.6,-04 55 59.9,1,16.420029,0.872,15.548029
4,R01- 739,12.09,0.007,12.16,0.012,12.04,0.019,11.97,0.024,3.99,M3.5,R01,L,[R2001]  739,05 33 43.3,-06 05 23.5,2,16.068314,0.5725,15.495813
5,R01- 749,12.39,0.009,12.36,0.011,12.36,0.02,12.36,0.031,15.42,,,,[R2001]  749,05 33 44.5,-06 05 20.5,1,16.517319,0.6625,15.854818
6,HBC 107,9.92,0.002,9.97,0.003,9.89,0.007,9.82,0.039,2.64,,,,HBC 107,05 33 44.9,-05 31 08.6,1,14.303158,4.1659,10.137258
7,Par 1266,10.84,0.003,10.84,0.004,10.84,0.011,10.9,0.039,4.65,K8,R01,H,Parenago 1266,05 33 46.1,-05 34 26.5,1,14.111767,,
8,R01- 766,12.21,0.007,12.4,0.011,12.26,0.023,12.16,0.03,0.36,M6,R01,L,[R2001]  766,05 33 46.3,-06 13 04.8,1,16.79078,0.8665,15.924279
9,R01- 817,11.69,0.005,11.74,0.008,11.64,0.022,11.73,0.091,5.21,,,,[R2001]  817,05 33 51.9,-05 54 25.8,1,15.275686,0.517,14.758686
10,R01- 829,11.82,0.006,11.84,0.01,11.81,0.02,11.7,0.026,0.74,M2,R01,H,[R2001]  829,05 33 53.3,-04 56 05.1,2,15.57765,0.534,15.04365
11,R01- 831,11.82,0.006,11.94,0.008,11.88,0.021,11.89,0.03,4.39,,,,[R2001]  831,05 33 53.4,-06 17 10.2,2,16.061045,,
12,Par 1308,11.23,0.004,11.33,0.007,11.31,0.013,11.22,0.024,3.0,,,,Parenago 1308,05 33 54.6,-06 02 08.7,1,14.305938,0.2768,14.029138
13,R01- 844,12.37,0.008,12.34,0.011,12.29,0.032,12.14,0.072,0.46,M4.5,R01,L,[R2001]  844,05 33 54.8,-05 08 31.1,1,16.662115,0.6747,15.987415
14,Par 1305,10.53,0.003,10.54,0.004,10.84,0.014,10.63,0.047,3.56,M1,R01,H,Parenago 1305,05 33 56.5,-05 06 47.7,2,14.297806,,
15,R01- 863,10.44,0.003,10.46,0.004,10.45,0.03,10.22,0.131,5.92,,,,[R2001]  863,05 33 57.7,-05 40 06.1,1,15.099239,,
16,R01- 864,12.09,0.009,12.07,0.012,12.0,0.056,10.75,0.101,1.13,M3,R01,L,[R2001]  864,05 33 57.9,-05 36 27.0,2,16.01793,0.5364,15.481529
17,CHS 1721,11.28,0.004,11.2,0.006,11.35,0.015,11.1,0.031,4.96,,,,[CHS2001] 1721,05 33 59.5,-04 43 04.6,1,14.726482,2.4167,12.309782
18,Par 1319,9.35,0.001,9.33,0.002,9.36,0.004,9.26,0.01,0.44,,,,Parenago 1319,05 33 59.9,-05 00 03.7,1,12.02538,,
19,Par 1335,10.73,0.003,10.43,0.003,9.9,0.005,8.61,0.003,3.07,M0,R01,H,Parenago 1335,05 34 01.1,-06 02 26.8,1,14.281535,1.2608,13.020735
20,R01- 895,11.4,0.004,11.38,0.007,11.37,0.017,11.53,0.055,5.7,M1.5,R01,H,[R2001]  895,05 34 01.7,-05 46 51.4,1,14.892168,0.5038,14.388368
21,Par 1333,8.73,0.002,8.32,0.002,7.84,0.002,7.11,0.002,4.2,,,,Parenago 1333,05 34 02.2,-05 36 19.5,2,13.839361,,
22,R01- 903,12.49,0.008,12.33,0.009,11.96,0.02,11.58,0.026,1.87,,,,[R2001]  903,05 34 02.4,-06 04 29.6,1,17.45593,0.7327,16.72323
23,R01- 912,11.59,0.005,11.67,0.007,11.56,0.023,11.34,0.066,6.11,,,,[R2001]  912,05 34 02.9,-05 49 44.3,1,15.278392,,
24,Par 1341,8.17,0.002,7.8,0.002,7.57,0.002,6.58,0.002,2.66,,,,Parenago 1341,05 34 03.0,-05 36 57.3,1,12.923862,1.8475,11.076363
25,CHS 2276,10.7,0.003,10.36,0.003,10.4,0.007,10.32,0.012,6.0,,,,[CHS2001] 2276,05 34 06.7,-06 24 11.9,1,14.738438,2.7105,12.027938
26,HBC 441,9.55,0.003,9.47,0.002,9.26,0.016,9.04,0.07,4.6,,,,HBC 441,05 34 07.3,-05 13 45.5,1,13.40053,1.6114,11.78913
27,R01- 1030,12.79,0.013,12.8,0.021,12.67,0.054,12.65,0.142,1.22,,,,[R2001]  1030,05 34 12.3,-05 41 34.8,1,17.371359,,
28,Par 1379,8.69,0.002,8.45,0.002,8.31,0.002,7.61,0.002,5.62,K4,R01,H,Parenago 1379,05 34 12.6,-04 50 24.7,1,12.505301,0.8344,11.670901
29,H97: 3126,11.14,0.004,11.19,0.005,11.09,0.018,10.9,0.103,8.46,K7,H97,H,[H97b] 3126,05 34 12.9,-05 28 48.2,1,14.201613,0.3548,13.846813
30,R01- 1036,11.57,0.005,11.57,0.007,11.49,0.021,10.97,0.06,8.39,,,,[R2001]  1036,05 34 13.0,-05 42 13.4,1,15.098091,0.4938,14.604291
31,R01- 1048,10.36,0.003,10.22,0.003,10.07,0.012,9.67,0.041,8.77,,,,[R2001]  1048,05 34 14.2,-05 42 21.0,1,15.07703,,
32,R01- 1051,12.5,0.007,12.49,0.011,12.72,0.033,12.52,0.082,1.43,,,,[R2001]  1051,05 34 14.4,-04 58 33.7,1,16.548454,0.6247,15.923755
33,R01- 1086,10.08,0.002,9.59,0.002,9.42,0.004,8.83,0.004,8.75,,,,[R2001]  1086,05 34 17.1,-04 48 03.7,1,18.270182,,
34,HBJM 10075,11.03,0.004,11.04,0.006,10.85,0.03,10.52,0.117,1.65,,,,[H97b] 10075,05 34 17.1,-05 38 17.1,1,15.417346,,
35,R01- 1098,11.5,0.004,11.44,0.007,11.58,0.015,11.38,0.021,6.63,,,,[R2001]  1098,05 34 17.6,-06 03 38.2,1,15.213473,0.4159,14.797573
36,H97: 3151,10.62,0.003,10.83,0.005,10.65,0.009,10.53,0.029,3.24,M1,H97,H,[H97b] 3151,05 34 18.0,-05 33 33.3,1,14.133532,2.5248,11.608731
37,H97: 3141,10.44,0.003,10.43,0.004,10.44,0.012,10.45,0.053,5.22,,,,[H97b] 3141,05 34 18.3,-05 31 16.4,1,17.118011,5.0471,12.070911
38,H97: 3158,10.8,0.003,10.8,0.004,10.82,0.012,10.79,0.042,6.29,M0,H97,H,[H97b] 3158,05 34 18.5,-05 34 00.2,2,14.189453,,
39,Par 1409,7.73,0.002,7.57,0.002,7.2,0.001,6.16,0.002,1.5,,,,Parenago 1409,05 34 18.6,-05 04 47.9,1,11.445726,0.5765,10.869226
40,H97: 3149,12.65,0.009,12.62,0.011,12.34,0.049,11.26,0.101,2.48,M3.5,H97,L,[H97b] 3149,05 34 19.1,-05 33 11.4,1,17.811941,,
41,R01- 1124,12.43,0.008,12.25,0.01,12.27,0.021,12.15,0.025,2.33,,,,[R2001]  1124,05 34 19.9,-06 18 47.9,1,16.32607,0.5912,15.734871
42,R01- 1132,11.84,0.006,11.94,0.008,11.81,0.018,12.03,0.054,5.4,,,,[R2001]  1132,05 34 20.3,-04 58 56.4,1,15.878984,0.5968,15.282185
43,R01- 1150,11.32,0.004,11.24,0.007,11.25,0.013,11.14,0.027,4.51,M6,R01,L,[R2001]  1150,05 34 21.4,-04 55 47.9,1,16.002983,,
44,Par 1435,9.87,0.002,9.33,0.002,9.14,0.004,8.31,0.003,10.57,,,,Parenago 1435,05 34 23.0,-04 41 39.3,1,14.651336,2.8289,11.822435
45,H97: 3020,9.67,0.002,9.94,0.003,9.72,0.012,9.63,0.051,21.45,M0.5,H97,H,[H97b] 3020,05 34 23.9,-05 15 40.3,1,15.003438,4.8344,10.169038
46,R01- 1175,11.23,0.004,11.48,0.006,11.33,0.013,11.19,0.019,2.09,M0,R01,H,[R2001]  1175,05 34 24.3,-06 06 55.6,1,14.601104,0.5497,14.051404
47,CHS 3730,11.63,0.005,11.59,0.007,11.48,0.019,11.31,0.045,7.95,,,,[CHS2001] 3730,05 34 24.4,-04 52 52.4,1,17.80471,3.3159,14.488811
48,R01- 1183,10.53,0.003,10.52,0.004,10.64,0.01,10.42,0.039,5.12,,,,[R2001]  1183,05 34 25.2,-04 45 10.9,1,15.231329,,
49,R01- 1186,10.78,0.003,11.05,0.005,10.73,0.011,10.68,0.043,2.26,,,,[R2001]  1186,05 34 25.3,-04 54 39.8,1,15.239552,,
50,HBJM 10135,11.68,0.005,11.76,0.009,11.67,0.02,11.66,0.048,15.0,,,,[H97b] 10135,05 34 26.1,-05 07 33.3,1,16.287485,,
51,R01- 1200,11.68,0.005,11.76,0.009,11.67,0.02,11.66,0.048,15.0,,,,[R2001]  1200,05 34 26.1,-05 07 33.3,1,16.287485,,
52,Par 1458,11.06,0.004,10.99,0.005,11.06,0.012,10.92,0.022,6.73,,,,Parenago 1458,05 34 26.5,-05 01 00.9,1,15.204656,,
53,H97: 3122,11.48,0.005,11.21,0.006,11.43,0.034,11.01,0.116,17.08,,,,[H97b] 3122,05 34 26.8,-05 28 32.2,1,15.103554,,
54,H97: 3145,10.24,0.003,10.21,0.003,10.17,0.016,10.16,0.077,1.66,M3,H97,L,[H97b] 3145,05 34 27.1,-05 32 29.1,1,15.696405,,
55,Par 1469,8.49,0.002,8.61,0.003,8.57,0.005,8.61,0.027,5.03,G9IV-V,H97,H,Parenago 1469,05 34 27.3,-05 24 22.3,1,11.650246,0.953,10.697246
56,H97: 3120,11.1,0.005,11.09,0.006,10.93,0.025,10.43,0.084,1.57,,,,[H97b] 3120,05 34 27.5,-05 28 28.5,1,15.528883,,
57,R01- 1227,8.42,0.002,7.21,0.002,6.68,0.002,5.91,0.001,9.35,,,,[R2001]  1227,05 34 27.7,-05 37 19.2,1,18.044678,6.2441,11.800577
58,HBJM 10141,8.42,0.002,7.21,0.002,6.68,0.002,5.91,0.001,8.87,,,,[H97b] 10141,05 34 27.7,-05 37 19.2,1,18.044678,6.2441,11.800577
59,R01- 1228,11.91,0.008,11.85,0.01,11.81,0.056,11.18,0.165,17.55,,,,[R2001]  1228,05 34 27.8,-05 42 10.1,2,15.633917,,
60,Par 1486,10.61,0.003,10.75,0.004,10.63,0.008,10.55,0.021,3.88,K5,R01,H,Parenago 1486,05 34 28.0,-05 59 52.5,1,13.532107,0.7472,12.784907
61,R01- 1234,11.13,0.004,11.41,0.007,11.2,0.011,11.08,0.019,7.0,K8,R01,H,[R2001]  1234,05 34 28.1,-06 16 13.2,1,14.5518,1.6071,12.9447
62,Par 1485,10.28,0.002,10.32,0.003,10.32,0.009,10.21,0.024,1.92,,,,Parenago 1485,05 34 28.9,-05 47 13.8,1,13.483571,,
63,Par 1482,9.63,0.003,9.68,0.003,9.37,0.026,8.95,0.052,3.37,K8-M0,H97,H,Parenago 1482,05 34 29.1,-05 14 14.6,1,14.397004,,
64,Par 1483,8.88,0.003,8.42,0.002,8.12,0.008,7.55,0.026,8.26,K4,H97,H,Parenago 1483,05 34 29.3,-05 14 39.8,1,13.841247,2.911,10.930246
65,R01- 1247,12.8,0.009,12.86,0.011,12.81,0.035,12.43,0.124,2.11,,,,[R2001]  1247,05 34 29.6,-05 04 28.9,1,17.59711,,
66,R01- 1249,11.48,0.004,11.39,0.006,11.14,0.014,9.95,0.017,10.26,,,,[R2001]  1249,05 34 29.6,-05 47 24.7,2,15.160836,0.4641,14.696736
67,R01- 1251,11.7,0.005,11.71,0.008,11.62,0.018,11.69,0.046,7.2,,,,[R2001]  1251,05 34 29.9,-05 04 05.4,2,15.646241,0.6156,15.030642
68,R01- 1257,11.25,0.004,11.27,0.006,11.29,0.015,11.07,0.023,0.75,,,,[R2001]  1257,05 34 30.2,-04 58 30.4,2,15.289117,,
69,R01- 1258,12.26,0.008,12.46,0.011,12.35,0.027,12.3,0.064,3.09,,,,[R2001]  1258,05 34 30.4,-04 57 05.2,1,16.346037,0.6135,15.732537
70,R01- 1265,12.94,0.009,12.69,0.011,12.61,0.03,11.95,0.041,1.68,M5,R01,L,[R2001]  1265,05 34 31.0,-05 58 03.7,1,17.464998,0.385,17.079998
71,JW 15,10.59,0.003,10.35,0.003,10.12,0.012,9.48,0.036,9.65,M1,H97,H,JW 15,05 34 31.1,-05 21 55.9,1,15.3724,1.1237,14.2487
72,JW 17,10.72,0.003,10.75,0.004,10.63,0.019,10.05,0.066,3.14,M4,H97,L,JW 17,05 34 31.3,-05 28 54.8,1,15.066507,,
73,Par 1497,11.61,0.005,11.62,0.007,11.61,0.019,11.76,0.064,12.06,,,,Parenago 1497,05 34 31.8,-05 35 20.0,1,15.086097,,
74,JW 20,11.09,0.004,11.17,0.005,11.05,0.016,11.01,0.068,0.67,M3.5,H97,L,JW 20,05 34 31.9,-05 26 36.8,1,15.18668,,
75,H97: 3115,10.48,0.003,10.11,0.003,9.74,0.006,8.66,0.017,0.85,M3,H97,L,[H97b] 3115,05 34 32.0,-05 27 42.6,1,17.170973,3.3878,13.783173
76,R01- 1278,12.5,0.009,12.44,0.011,12.39,0.055,11.32,0.1,2.67,M5,R01,L,[R2001]  1278,05 34 32.2,-05 41 48.5,1,16.728586,0.7301,15.9984865
77,Par 1496,10.93,0.003,11.01,0.005,10.9,0.01,10.9,0.022,0.5,,,,Parenago 1496,05 34 32.9,-05 00 40.4,2,15.006882,,
78,R01- 1284,10.96,0.003,10.94,0.005,10.99,0.01,10.98,0.027,1.16,,,,[R2001]  1284,05 34 33.0,-05 57 47.1,1,15.404353,3.786,11.618353
79,HBJM 10180,13.56,0.011,13.6,0.015,13.06,0.074,12.75,0.15,1.12,,,,[H97b] 10180,05 34 33.3,-05 07 26.7,1,18.24904,,
80,R01- 1299,11.85,0.006,11.86,0.008,11.83,0.021,11.81,0.027,5.19,,,,[R2001]  1299,05 34 34.3,-06 02 09.7,2,15.782368,0.5543,15.228067
81,Par 1500,11.09,0.004,11.32,0.006,11.25,0.019,11.22,0.071,4.08,K6,R01,H,Parenago 1500,05 34 34.5,-04 41 10.6,1,14.114636,0.7008,13.4138365
82,HBJM 10192,12.61,0.009,12.59,0.013,12.6,0.035,12.29,0.111,2.3,,,,[H97b] 10192,05 34 35.6,-05 37 24.0,1,17.797903,,
83,JW 33,12.16,0.007,12.22,0.009,12.14,0.023,11.88,0.051,1.5,,,,JW 33,05 34 35.7,-05 35 52.1,1,16.103796,0.4785,15.625296
84,R01- 1329,11.18,0.004,11.18,0.004,11.2,0.014,11.4,0.048,8.39,,,,[R2001]  1329,05 34 36.1,-05 42 15.2,1,14.377857,1.2338,13.144057
85,Par 1524,10.15,0.002,10.2,0.003,10.04,0.006,9.52,0.014,6.0,,,,Parenago 1524,05 34 36.5,-05 36 17.2,1,14.350425,,
86,JW 36,10.24,0.002,10.15,0.003,9.73,0.008,8.97,0.023,2.72,M3,H97,L,JW 36,05 34 37.1,-05 31 09.0,1,16.057564,,
87,Par 1527,9.33,0.002,9.26,0.002,8.63,0.003,8.04,0.008,8.27,K2-K5,H97,H,Parenago 1527,05 34 37.5,-05 34 51.9,1,14.088563,1.3378,12.750763
88,Par 1536,10.47,0.003,10.45,0.004,10.46,0.008,10.47,0.035,1.86,,,,Parenago 1536,05 34 37.7,-05 43 04.5,1,14.847003,,
89,R01- 1351,11.41,0.005,11.63,0.007,11.38,0.032,11.08,0.076,8.42,K7,R01,H,[R2001]  1351,05 34 38.0,-04 51 08.9,1,15.805328,2.3278,13.477529
90,CHS 4881,12.63,0.009,12.3,0.01,12.08,0.026,11.62,0.057,2.84,,,,[CHS2001] 4881,05 34 38.2,-05 05 17.2,1,18.29695,1.4246,16.872349
91,Par 1544,10.59,0.003,10.59,0.003,10.62,0.009,10.53,0.019,4.42,K6,R01,H,Parenago 1544,05 34 38.7,-05 57 43.1,1,13.651517,,
92,Par 1555,10.95,0.003,10.86,0.004,10.82,0.009,10.65,0.016,4.71,,,,Parenago 1555,05 34 38.7,-06 06 19.3,1,13.872574,,
93,R01- 1372,11.11,0.004,11.25,0.006,11.12,0.011,10.99,0.02,4.96,,,,[R2001]  1372,05 34 39.7,-06 07 13.3,2,15.590133,,
94,R01- 1374,11.89,0.005,11.8,0.007,11.88,0.02,11.78,0.024,2.66,M3,R01,L,[R2001]  1374,05 34 39.9,-06 08 34.1,1,15.654278,0.5363,15.117978
