recno,flag,Gaia,TIC,RAdeg,DEdeg,Sec,Theia,logAge,e_logAge,BP-RP,Gmag,Tmag,Teff,e_Teff,Mass,e_Mass,Rad,e_Rad,CorrP1,e_CorrP1,CorrP2,e_CorrP2,CorrA1,CorrA2,PCAP1,e_PCAP1,PCAP2,e_PCAP2,PCAA1,PCAA2,RAWP1,e_RAWP1,RAWP2,e_RAWP2,RAWA1,RAWA2,Per,e_Per,PType,logAM,e_logAM,RUWE,sigmaVar,sigmaInst,sigmap2p,c1,c2,c3,c4,c5,c6,single
1115,true,3209527325412171136,712758819,83.851972,-5.199465,32,13,6.69,0.12,2.4458,7.7306,14.761,,,,,,,2.4396,,2.1363,,0.57185,0.20868,2.43878,9.3E-4,2.1373,0.0015,0.52937,0.20952,2.4427,9.7E-4,6.8,0.16,0.46086,0.21086,2.44,,corr,,,1.001,0.01733,0.001354,0.007458,1.93,3.08,4.12,4.12,4.78,4.78,1
838,true,3209521415537190400,712758785,83.825926,-5.218353,6,13,6.69,0.12,2.5687,8.0952,15.147,,,,,,,2.9422,,2.4373,,0.23205,0.18696,8.034,0.011,5.071,0.015,0.59771,0.1387,7.759,0.0098,17.44,0.11,0.62672,0.26632,8.034,0.011,pca,,,1.009,0.00383,4.712E-4,9.486E-4,3.01,3.01,4.06,8.04,8.04,9.08,1
1023,true,3017367293144786304,710321417,83.841565,-5.284687,6,13,6.69,0.12,1.4778,7.6847,15.454,,,,,,,3.6218,0.0039,4.869,0.013,0.30642,0.1658,3.6297,0.003,5.86,0.034,0.4597,0.14371,14.673,0.032,5.961,0.021,0.61427,0.13557,3.6218,0.0039,corr,,,0.962,5.97E-4,2.555E-4,3.449E-4,2.0,4.28,5.28,7.17,9.34,13.1,1
1139,true,3017365609518429440,710321383,83.856197,-5.359873,6,13,6.69,0.12,0.8911,7.0344,14.967,,,,,,,4.2835,0.008,2.2726,0.0031,0.18998,0.13255,4.3763,0.0045,2.2883,0.0031,0.44257,0.14315,14.573,0.029,5.775,0.025,0.66976,0.10648,,,,,,0.862,4.58E-4,1.204E-4,2.407E-4,2.05,4.02,6.17,8.31,9.46,11.44,1
435,true,3017364406919469312,710321370,83.790397,-5.356908,32,13,6.69,0.12,0.4707,7.0811,14.802,,,,,,,4.1486,0.0049,5.748,0.014,0.25828,0.21015,5.883,0.011,4.1921,0.0058,0.26066,0.22355,5.438,0.011,17.48,0.5,0.26649,0.24914,,,,,,0.82,0.001216,2.211E-4,8.599E-4,2.05,3.03,5.17,8.26,10.38,13.62,1
638,true,3017364132040203520,710321351,83.813347,-5.373347,6,13,6.69,0.12,0.6739,5.4853,13.25,,,,,,,4.1228,,5.6191,,0.13892,0.10593,8.331,0.012,17.74,0.24,0.52465,0.09668,2.9728,,1.7417,,0.06493,0.04218,8.331,0.012,pca,,,0.752,7.16E-4,3.945E-5,2.605E-4,4.2,7.13,18.4,28.72,35.37,49.78,1
640,true,3017364127743285376,710321348,83.813593,-5.38246,6,13,6.69,0.12,0.9546,4.0467,11.915,,,,,,,4.09,0.011,1.6852,0.0041,0.1184,0.06347,9.231,0.059,1.5209,0.0023,0.19658,0.08574,14.362,0.093,6.331,0.023,0.20924,0.20814,,,,,,1.183,0.00105,5.27E-5,3.691E-4,4.2,9.47,17.08,26.68,39.77,50.44,1
723,true,3017363960251408640,710321336,83.81824,-5.400927,32,13,6.69,0.12,0.9723,4.6025,12.151,,,,,,,4.233,0.012,5.71,0.03,0.1053,0.07381,15.315,,8.7364,,0.20144,0.14608,11.174,0.045,,,0.55425,0.04585,,,,,,1.216,2.98E-4,1.007E-4,2.15E-4,1.98,4.98,8.33,16.49,28.56,35.33,1
247,true,3017363857165366400,710321328,83.740743,-5.397953,32,13,6.69,0.12,1.6472,4.5219,12.411,,,,,,,2.9787,0.0044,2.3255,0.0097,0.15032,0.05807,8.044,0.034,2.9976,0.0046,0.14994,0.14397,8.334,0.013,2.262,0.011,0.46032,0.0514,,,,,,1.266,0.00585,8.749E-4,0.004147,2.04,2.04,3.21,3.21,4.04,7.45,1
365,true,3017363582294579328,710321323,83.773732,-5.417832,6,13,6.69,0.12,,6.4075,14.853,,,,,,,3.582,0.0038,1.5795,0.002,0.32196,0.09159,7.2367,,3.6114,,0.42121,0.27243,12.238,0.086,7.237,0.044,0.3887,0.26603,3.582,0.0038,corr,,,0.774,0.001174,1.463E-4,2.889E-4,1.92,3.75,5.69,7.98,13.2,17.52,1
1085,true,3017360627356915328,710321273,83.848601,-5.440866,32,13,6.69,0.12,0.6389,7.199,15.017,,,,,,,2.0144,0.0029,2.275,0.0079,0.09315,0.04875,2.013,0.0031,7.233,0.055,0.09389,0.06575,6.526,0.024,12.38,0.11,0.19658,0.1731,,,,,,0.963,0.001663,3.378E-4,0.00126,1.0,1.99,3.98,6.79,11.99,15.75,1
1147,true,3017359012449385728,710321256,83.856997,-5.505859,6,13,6.69,0.12,1.6838,5.4091,12.989,,,,,,,2.3423,0.0021,4.384,0.012,0.25113,0.17576,8.316,0.011,4.452,0.026,0.66394,0.11447,8.176,0.011,4.476,0.02,0.68799,0.11994,8.316,0.011,pca,,,1.746,0.00926,3.017E-4,0.001091,3.3,5.64,6.76,9.88,9.88,11.03,1
1482,true,3017348257851409536,710321200,83.998356,-5.495459,32,13,6.69,0.12,2.2305,6.5133,14.016,,,,,,,5.136,0.0082,3.9966,0.007,0.25967,0.15654,5.1352,0.0085,3.9967,0.0075,0.25216,0.14597,5.236,0.0044,18.68,0.14,0.52462,0.20274,5.136,0.0082,all3,,,1.246,0.01666,0.002454,0.008009,2.02,2.02,2.02,2.02,2.02,2.02,1
207,true,3017269470959732480,710320370,83.719846,-5.465326,6,13,6.69,0.12,1.6762,6.3922,13.916,,,,,,,2.2465,0.0038,1.7823,0.0026,0.12296,0.10279,4.1752,0.0067,8.043,0.03,0.21064,0.2048,8.573,0.036,4.267,0.011,0.20131,0.15816,,,,,,0.963,0.00272,2.724E-4,7.105E-4,2.02,3.2,3.2,4.36,4.36,6.58,1
29,true,3017268268368909824,710320368,83.58645,-5.51352,6,13,6.69,0.12,1.8428,6.2769,13.679,3960.0,128.0,0.62,,1.304,,6.8852,,2.3273,,0.14781,0.1452,8.062,0.01,3.575,0.013,0.68997,0.09032,7.883,0.033,2.36,0.28,0.71846,0.06983,8.062,0.01,pca,42.563,,1.092,0.01194,6.992E-4,0.001807,1.96,1.96,1.96,2.9,4.07,6.35,1
336,true,3017266275504060672,710320361,83.769468,-5.493373,32,13,6.69,0.12,1.4563,7.4253,15.173,,,,,,,2.5964,0.0011,3.0263,0.0035,0.46617,0.16626,2.6002,0.0014,5.1387,0.0087,0.37775,0.22252,2.5993,,9.1149,,0.37913,0.24009,2.5964,0.0011,corr,,,0.975,0.01438,0.001124,0.006135,1.9,5.99,5.99,7.67,9.71,12.81,1
733,true,3017265004194028416,710320357,83.819202,-5.54669,32,13,6.69,0.12,1.843,5.8933,13.362,,,,,,,5.8691,0.0088,9.284,0.028,0.2817,0.24024,9.381,0.03,6.022,0.025,0.47334,0.18433,9.472,0.013,14.4,4.3,0.65943,0.04658,9.381,0.03,pca,,,1.046,0.0213,0.002901,0.01136,1.0,3.26,4.25,4.25,7.73,7.73,1
1140,true,3017253081364526720,710320321,83.856108,-5.567359,6,13,6.69,0.12,2.0308,7.5824,15.186,,,,,,,4.5165,0.0087,6.566,0.033,0.20483,0.10662,6.5637,0.0082,12.284,0.061,0.47007,0.19308,6.6848,0.007,11.913,0.076,0.56217,0.14957,6.5637,0.0082,pca,,,0.876,0.00184,4.754E-4,9.285E-4,2.09,2.09,2.09,3.14,7.39,7.39,1
1550,true,3017343653646467200,427454541,84.101553,-5.580598,6,13,6.69,0.12,2.7083,7.6936,14.749,4317.0,130.0,,,1.645,,4.692,0.042,3.541,0.024,0.04343,0.04155,9.407,0.051,4.842,0.04,0.16044,0.0916,9.269,0.051,5.034,0.025,0.17307,0.09031,,,,,,1.207,0.00211,0.001878,0.002123,2.16,2.16,3.31,3.31,4.49,5.59,1
1523,true,3017344684438619776,427454528,84.060704,-5.556631,6,13,6.69,0.12,2.3417,8.8204,15.649,3435.0,159.0,0.595,0.026,0.608,0.027,3.893,0.04,1.626,0.01,0.02736,0.01949,2.9883,,1.3807,,0.09848,0.03405,15.116,0.09,3.1376,0.0055,0.23853,0.14117,,,,,,1.024,0.00326,0.001417,0.003551,1.0,1.0,1.0,2.04,2.88,2.88,1
1491,true,3017343516207522560,427454525,84.011773,-5.548449,6,13,6.69,0.12,2.4224,9.2969,15.947,3392.0,158.0,0.627,0.027,0.65,0.03,3.99,0.2,2.2331,0.0065,0.07262,0.06743,3.0992,0.0073,2.2556,0.0059,0.10867,0.06656,14.803,,2.7841,,0.22428,0.11289,,,,,,0.95,0.00251,0.001118,0.002595,1.0,2.13,3.12,3.12,3.12,5.22,1
1562,true,3017354992360111616,427454440,84.113275,-5.408693,6,13,6.69,0.12,-0.1805,0.9723,8.123,,,,,,,4.01,0.044,2.229,0.018,0.02761,0.01881,4.112,0.011,2.28,0.04,0.13473,0.01314,2.9477,0.0067,4.349,0.024,0.12932,0.06444,,,,,,0.942,1.911E-4,1.576E-4,2.378E-4,1.0,1.0,1.0,1.0,1.0,1.0,1
1492,true,3017350044556119680,427454439,84.013994,-5.406468,32,13,6.69,0.12,2.0965,8.6073,15.434,3581.0,157.0,0.616,0.024,0.636,0.025,7.178,0.05,4.905,0.03,0.07844,0.05222,7.597,0.047,13.31,0.24,0.1112,0.07555,15.728,0.061,8.084,0.023,0.31982,0.18274,,,,,,0.961,0.00562,0.001832,0.006478,1.0,2.08,2.08,2.08,2.08,2.08,1
1509,true,3017350078915845376,427454437,84.038624,-5.403637,6,13,6.69,0.12,2.7525,8.4385,15.277,3228.0,157.0,0.66,0.024,0.695,0.027,3.961,0.032,3.121,0.025,0.03827,0.02628,2.9128,,4.2311,,0.07657,0.03856,15.506,0.062,3.1538,0.0057,0.34198,0.13171,,,,,,1.037,0.00241,0.00113,0.002719,1.0,1.0,1.0,1.0,1.0,1.0,1
1552,true,3017355061079587584,427454433,84.104228,-5.392287,6,13,6.69,0.12,2.7817,8.7857,15.999,3369.0,124.0,0.38,,0.759,,2.614,0.03,1.266,0.0078,0.01471,0.01412,4.406,0.015,8.8,0.072,0.10528,0.08207,6.742,0.058,1.756,0.014,0.17333,0.05311,,,,,,1.025,0.001448,0.001464,0.001867,1.0,1.0,3.17,3.17,4.33,6.49,1
1544,true,3017355816993832192,427454431,84.097457,-5.388731,6,13,6.69,0.12,3.0875,8.5991,15.86,3184.0,123.0,,,,,4.297,0.067,,,0.02202,,4.405,0.013,8.935,0.076,0.11827,0.08272,,,,,,,,,,,,1.034,0.001705,0.001777,0.002046,1.0,1.0,3.07,4.17,5.35,8.77,1
1506,true,3017367911620045440,427454406,84.036206,-5.350615,6,13,6.69,0.12,2.5656,7.0051,14.195,3521.0,122.0,,,1.484,,0.81307,,0.76773,,0.72894,0.1274,0.81372,1.1E-4,0.7907,0.0069,0.67614,0.02729,0.81336,,14.851,,0.63051,0.079,0.813,,corr,,,1.118,0.00565,0.001222,0.003184,1.0,1.0,1.0,1.0,1.0,1.0,1
1539,true,3017356602958232064,427454398,84.08875,-5.337313,6,13,6.69,0.12,2.2797,7.2921,14.45,3703.0,122.0,0.55,,1.097,,6.4753,,2.2602,,0.18597,0.09915,6.468,0.011,11.324,0.036,0.36605,0.35261,15.0,11.0,12.7,1.7,0.53636,0.42768,,,,,,1.031,0.00853,0.00191,0.005251,2.15,2.15,2.15,2.15,2.15,2.15,1
1571,true,3017356435467423616,427454397,84.123935,-5.335255,32,13,6.69,0.12,1.9927,6.3271,13.716,3917.0,123.0,,,1.423,,2.46726,8.0E-4,2.8833,0.0029,0.57683,0.18525,2.46161,7.9E-4,2.8774,0.0033,0.58491,0.16668,2.4616,7.5E-4,4.986,0.0069,0.64956,0.29722,2.46726,8.0E-4,corr,,,0.993,0.0514,0.0037,0.0108,2.0,2.0,2.0,2.0,2.0,2.0,1
1573,true,3017356469827161856,427454396,84.125655,-5.33502,32,13,6.69,0.12,2.048,6.4322,13.656,6767.0,144.0,1.45,,1.359,,2.46726,8.0E-4,2.8833,0.0029,0.57683,0.18525,2.46161,7.9E-4,2.8774,0.0033,0.58491,0.16668,2.4616,7.5E-4,4.986,0.0069,0.64956,0.29722,2.46726,8.0E-4,corr,,,1.09,0.0514,0.0037,0.0108,2.0,2.0,2.0,2.0,2.0,2.0,1
1514,true,3017368014699258240,427454394,84.043718,-5.329163,32,13,6.69,0.12,1.3963,5.185,12.736,4567.0,127.0,,,1.49,,3.0734,0.0026,3.7591,0.0071,0.37968,0.16558,3.0637,,2.6151,,0.32253,0.08515,16.98,0.23,5.819,0.019,0.33889,0.16779,3.0734,0.0026,corr,,,1.179,0.0204,0.002591,0.008326,1.0,1.0,1.0,1.0,1.0,1.0,1
1553,true,3017356710345330816,427454389,84.10487,-5.320392,6,13,6.69,0.12,3.0334,8.3945,15.567,3215.0,124.0,,,,,1.27045,5.6E-4,1.4252,0.0032,0.31353,0.05508,1.2654,0.0016,1.8155,0.0044,0.39124,0.06177,1.2721,5.5E-4,1.8114,0.0029,0.33105,0.09894,1.27045,5.6E-4,corr,,,1.126,0.00286,0.001588,0.001991,1.0,1.0,1.0,2.0,4.16,4.16,1
1497,true,3017368289572353024,427454386,84.02399,-5.315527,6,13,6.69,0.12,2.0792,9.1531,15.984,3593.0,158.0,0.55,0.029,0.556,0.029,1.6033,0.0032,0.9934,0.0034,0.06534,0.01826,3.233,0.016,7.12,0.085,0.05965,0.04413,12.54,0.13,3.353,0.011,0.10466,0.08328,,,,,,0.983,0.001232,9.074E-4,0.001457,1.0,1.0,1.0,1.0,2.15,2.15,1
1555,true,3017356740397255424,427454384,84.106558,-5.311687,6,13,6.69,0.12,2.8213,8.5442,15.356,3195.0,157.0,0.667,0.023,0.705,0.027,1.30551,3.6E-4,1.4363,0.0015,0.46847,0.09919,1.30308,3.5E-4,4.999,0.06,0.49832,0.03039,1.3058,,5.2064,,0.42752,0.05528,1.30551,3.6E-4,corr,42.856,0.048,1.15,0.00386,0.001606,0.002221,1.0,2.01,2.01,3.02,4.1,4.1,1
1558,true,3017356744705067776,427454381,84.109496,-5.308401,6,13,6.69,0.12,2.7633,8.5317,15.646,3928.0,125.0,0.61,,1.087,,1.3107,,1.4484,,0.38401,0.08968,1.31055,3.6E-4,1.4372,0.0021,0.42303,0.06562,1.3108,,5.1961,,0.36747,0.08415,1.311,,corr,43.193,,0.975,0.00431,0.001777,0.002439,1.0,3.16,3.16,4.22,6.35,7.42,1
1557,true,3017370076283553280,427454353,84.109343,-5.281649,6,13,6.69,0.12,2.7098,8.2845,15.239,3248.0,157.0,0.663,0.023,0.699,0.025,2.208,0.013,1.3032,0.0086,0.02733,0.01304,3.889,0.03,1.3093,0.0046,0.0481,0.0275,17.13,0.12,2.2156,0.0064,0.23033,0.07485,,,,,,1.039,0.001906,0.002141,0.002473,1.0,2.08,2.08,2.08,5.52,5.52,1
1518,true,3017369595247218176,427454344,84.049538,-5.265324,6,13,6.69,0.12,2.7227,7.7088,14.709,3956.0,122.0,,,1.559,,2.876,0.087,3.176,0.023,0.08941,0.05783,2.9738,0.0043,2.458,0.01,0.20223,0.04149,2.9331,0.0073,2.4349,0.007,0.10802,0.06206,2.876,0.087,all3,,,1.006,0.00324,0.00211,0.003461,1.0,1.0,1.0,2.04,2.04,5.18,1
1490,true,3017369797097850496,427454335,84.011503,-5.257512,6,13,6.69,0.12,3.0957,8.2506,15.583,3823.0,126.0,,,1.636,,4.881,0.048,1.003,0.012,0.07022,0.04027,3.374,0.016,0.9994,0.0014,0.06652,0.06076,15.077,0.084,3.483,0.017,0.25595,0.07744,,,,,,1.071,0.002,0.001405,0.002348,1.0,2.12,2.12,2.12,2.12,2.12,1
1536,true,3017371313234132096,427454298,84.082818,-5.218481,6,13,6.69,0.12,2.9095,8.7679,15.649,3153.0,157.0,0.666,0.024,0.703,0.028,3.992,0.0038,3.1608,0.007,0.3744,0.11577,3.9775,0.0035,3.1407,0.008,0.41501,0.10223,3.9576,0.0032,13.75,0.38,0.47681,0.03826,3.992,0.0038,corr,42.367,0.05,0.955,0.00689,0.003106,0.005259,1.0,1.0,2.15,3.15,4.19,7.17,1
1347,true,3209528012609165440,427396729,83.912825,-5.148992,32,13,6.69,0.12,1.5485,4.7184,12.193,,,,,,,1.16829,1.6E-4,0.95833,9.8E-4,0.75435,0.07046,1.1683,,0.95818,,0.78529,0.06951,1.16835,1.6E-4,1.09492,7.9E-4,0.68802,0.09892,1.16829,1.6E-4,corr,,,1.038,0.01574,0.001729,0.004417,1.0,1.0,2.04,2.04,2.04,2.04,1
