recno,Vmag,Teff,logL,M (Hil97),M (Dav14),M (TESS),M (V),M_e (V),M (iso),M_e (iso),M (G),M_e (G)
3,6.524999294395505,3970.0,-0.328,0.51,0.69,,0.5041978643251775,0.05236065508113028,0.5796703296703296,0.02670241030063397,0.4887392212641187,0.05845925294391721
8,8.744998294395502,3260.0,-0.948,0.26,0.23,0.654,0.25585625821747743,0.05236065508113028,0.18264984227129338,0.02670241030063397,0.0,0.0
14,7.884998294395505,2880.0,-0.158,0.14,0.16,,0.3403016366043042,0.05236065508113028,0.1,0.02670241030063397,0.0,0.0
17,,3360.0,-0.732,,0.29,0.59,0.0,0.0,0.22142857142857145,0.02670241030063397,0.24839635604585386,0.05845925294391721
19,6.724997294395504,3630.0,-0.224,0.28,0.43,,0.4752637175459289,0.05236065508113028,0.36730769230769234,0.02670241030063397,0.5103253272382527,0.05845925294391721
23,6.604998294395504,3940.0,-0.217,0.36,0.63,0.98,0.4926717393082925,0.05236065508113028,0.5631868131868132,0.02670241030063397,0.4977458436827948,0.05845925294391721
27,9.814998294395503,2880.0,-0.888,0.14,0.1,,0.16530588173128866,0.05236065508113028,0.1,0.02670241030063397,0.0,0.0
30,9.184998294395504,3160.0,-0.904,0.22,0.19,,0.2115521200339485,0.05236065508113028,0.15110410094637225,0.02670241030063397,0.0,0.0
31,9.474998294395503,3260.0,-0.924,0.19,0.22,0.646,0.1870048387992548,0.05236065508113028,0.18264984227129338,0.02670241030063397,0.0,0.0
36,5.384997294395504,3700.0,0.179,0.23,0.41,,0.7566893214053997,0.05236065508113028,0.44878048780487806,0.02670241030063397,0.3422311961395048,0.05845925294391721
49,10.464998294395505,3160.0,-0.974,0.13,0.19,0.61,0.13916215300447646,0.05236065508113028,0.15110410094637225,0.02670241030063397,0.0,0.0
52,2.2749982943955036,5210.0,1.004,2.92,2.53,2.41,0.0,0.0,1.0,0.02670241030063397,0.0,0.0
53,6.2449992943955035,4020.0,-0.295,0.67,0.76,,0.5530627452944912,0.05236065508113028,0.6052208835341365,0.02670241030063397,0.41745792794911485,0.05845925294391721
54,11.024998294395504,2840.0,-1.072,0.11,,0.667,0.11715315042644218,0.05236065508113028,0.1,0.02670241030063397,0.0,0.0
67,5.144998294395505,4080.0,0.113,0.59,0.78,0.86,0.8278946584833516,0.05236065508113028,0.7,0.02670241030063397,0.3085978505661026,0.05845925294391721
72,6.894998294395505,3630.0,-0.361,0.3,0.41,,0.45145670070129706,0.05236065508113028,0.36730769230769234,0.02670241030063397,0.2816622377611106,0.05845925294391721
73,8.224999294395504,3160.0,-0.283,0.16,0.24,2.06,0.3078526177315459,0.05236065508113028,0.15110410094637225,0.02670241030063397,0.3468562955979379,0.05845925294391721
76,7.894998294395505,3490.0,-0.587,0.29,0.35,,0.3394283475719861,0.05236065508113028,0.2833333333333333,0.02670241030063397,0.28364181479727946,0.05845925294391721
78,8.374998294395505,3940.0,-0.028,0.2,0.62,,0.29318396999651525,0.05236065508113028,0.5631868131868132,0.02670241030063397,0.32326805288287813,0.05845925294391721
94,,3360.0,-0.204,,0.3,,0.0,0.0,0.22142857142857145,0.02670241030063397,0.5738484525275304,0.05845925294391721
95,7.924996294395504,3260.0,-0.459,0.21,0.27,,0.3368219037988993,0.05236065508113028,0.18264984227129338,0.02670241030063397,0.0,0.0
98,8.604998294395505,3360.0,-0.76,0.23,0.29,,0.27004151106428226,0.05236065508113028,0.22142857142857145,0.02670241030063397,0.2606535985736906,0.05845925294391721
99,,2880.0,-1.072,,,0.647,0.0,0.0,0.1,0.02670241030063397,0.0,0.0
