recno,F,Jmag,WHa1,WNaI1,WKI1,TiO7140,TiO8465,Na8189,PC3,Sp3,SpT,Teff,Lbol,Mass,Simbad,RAJ2000,DEJ2000,single,PSS
1,A,10.762,-4.4,3.6,1.6,1.4,1.12,0.9,0.93,2.5,3.25,3340,-0.826,0.41,Simbad,16 08 05.54,-22 18 07.1,2,1.0E-6
2,A,10.825,-3.9,3.8,1.6,1.43,1.1,0.91,0.94,2.6,3.25,3340,-0.851,0.3937,Simbad,16 08 15.66,-22 22 20.1,2,1.0E-6
3,A,10.875,-5.8,3.6,1.7,1.42,1.12,0.89,0.93,2.5,3.25,3340,-0.871,0.3826,Simbad,16 08 23.03,-23 35 29.5,1,0.992964
4,A,10.949,-13.1,3.5,1.8,1.94,1.24,0.89,1.0,3.0,5.0,3125,-0.921,0.3551,Simbad,16 10 01.84,-23 49 43.4,1,0.999843
5,A,10.973,-4.6,3.4,2.5,1.64,1.15,0.9,0.93,2.4,4.0,3270,-0.914,0.3586,Simbad,16 09 02.01,-23 22 40.3,1,0.997667
6,A,11.069,-3.1,3.4,1.3,1.58,1.12,0.91,0.92,2.4,4.0,3270,-0.953,0.3373,Simbad,16 11 37.84,-22 10 27.5,1,0.998258
7,A,11.095,-156.6,3.6,1.4,1.68,1.22,0.9,0.95,2.6,4.5,3200,-0.963,0.3315,Simbad,16 13 54.34,-23 20 34.4,1,0.999245
8,A,11.041,-9.2,4.2,2.0,1.89,1.22,0.88,0.93,2.5,4.5,3200,-0.942,0.3435,Simbad,16 10 23.44,-23 12 17.7,1,0.999772
9,A,11.18,,,,1.76,1.18,0.88,0.95,2.6,4.5,3200,-0.997,0.3126,Simbad,16 15 54.87,-23 15 14.8,2,0.739358
10,A,11.321,,,,1.64,1.13,0.89,0.92,2.4,4.0,3270,-1.054,0.2847,Simbad,16 15 27.43,-22 39 27.7,2,1.0E-6
11,A,11.308,-4.3,3.4,1.4,1.69,1.16,0.9,0.94,2.5,4.5,3200,-1.048,0.2871,Simbad,16 12 39.54,-22 28 08.3,2,1.0E-6
12,A,11.398,-6.8,4.1,1.8,1.61,1.14,0.88,0.94,2.5,4.5,3200,-1.084,0.2707,Simbad,16 09 09.39,-22 45 59.1,1,0.996487
13,A,11.467,-8.4,3.4,1.8,1.92,1.24,0.89,0.99,2.9,5.0,3125,-1.128,0.2509,Simbad,16 10 26.50,-22 30 53.4,1,0.999697
14,A,11.436,,,,1.53,1.1,0.9,0.95,2.6,4.5,3200,-1.1,0.2638,Simbad,16 14 38.46,-23 21 37.3,2,1.0E-6
15,A,11.436,,,,1.66,1.14,0.9,0.91,2.3,4.5,3200,-1.1,0.2638,Simbad,16 15 42.06,-22 35 24.0,1,0.992964
16,A,11.49,-4.6,3.4,1.7,1.83,1.18,0.89,0.95,2.6,4.5,3200,-1.121,0.254,Simbad,16 09 58.78,-23 54 27.5,1,0.996487
17,A,11.549,-5.2,3.7,,1.54,1.11,0.89,0.94,2.5,4.0,3270,-1.145,0.2443,Simbad,16 11 23.99,-22 53 32.6,1,0.992964
18,A,11.631,-6.8,4.2,1.9,1.56,1.13,0.88,0.95,2.6,4.0,3270,-1.178,0.2317,Simbad,16 08 08.47,-22 25 00.1,1,0.996487
19,A,11.567,-5.7,3.5,1.7,1.71,1.17,0.9,1.0,3.0,4.5,3200,-1.152,0.2415,Simbad,16 07 06.33,-22 48 28.2,1,0.992964
20,A,11.664,,,,1.87,1.2,0.89,0.94,2.5,4.5,3200,-1.191,0.2266,Simbad,16 14 41.19,-22 27 05.4,1,0.999389
21,A,11.639,-8.1,3.4,1.7,1.95,1.24,0.9,0.98,2.8,5.0,3125,-1.197,0.2243,Simbad,16 11 17.05,-22 13 08.8,1,0.999964
22,A,11.63,-5.7,3.3,,1.88,1.2,0.9,0.98,2.8,5.0,3125,-1.193,0.2257,Simbad,16 09 39.68,-22 31 53.9,1,0.999772
23,A,11.635,-3.5,3.4,1.8,1.84,1.18,0.9,1.01,3.1,5.0,3125,-1.195,0.2249,Simbad,16 11 19.07,-23 19 20.4,1,0.999994
24,A,11.649,-8.3,3.7,1.8,1.86,1.21,0.89,0.95,2.6,4.5,3200,-1.185,0.2289,Simbad,16 08 14.00,-22 47 39.4,1,0.999488
25,A,11.695,,,,1.64,1.11,0.88,0.92,2.4,4.0,3270,-1.203,0.2218,Simbad,16 14 57.50,-23 28 42.8,2,1.0E-6
26,A,11.709,-8.5,3.8,1.6,1.83,1.2,0.88,0.97,2.8,4.5,3200,-1.209,0.2197,Simbad,16 08 50.34,-22 03 28.7,1,0.999488
27,A,11.702,-5.4,3.5,1.8,1.84,1.2,0.89,0.95,2.6,4.5,3200,-1.206,0.2207,Simbad,16 13 12.16,-23 15 16.6,1,0.999561
28,A,11.794,-8.7,4.2,2.2,1.64,1.15,0.87,0.95,2.6,4.0,3270,-1.243,0.2066,Simbad,16 08 46.06,-22 46 59.4,1,0.996487
29,A,11.717,,,,2.09,1.46,0.89,1.05,3.4,5.75,3025,-1.28,0.1928,Simbad,16 14 23.12,-22 19 33.9,1,0.999996
30,A,11.812,,,,1.79,1.17,0.88,0.93,2.5,4.5,3200,-1.25,0.2038,Simbad,16 13 36.88,-23 27 29.9,1,0.992964
31,A,11.801,-15.1,3.6,2.8,2.41,1.46,0.88,1.02,3.1,5.5,3060,-1.31,0.1823,Simbad,16 10 20.87,-23 31 55.7,1,0.999996
32,A,11.835,-12.7,3.6,1.5,2.06,1.33,0.9,1.03,3.2,5.0,3125,-1.275,0.1946,Simbad,16 06 34.61,-22 55 04.4,1,0.999996
33,A,11.817,-11.6,3.7,2.0,2.08,1.29,0.89,1.0,3.0,5.0,3125,-1.268,0.1971,Simbad,16 11 02.11,-23 35 50.6,1,0.99999
34,A,11.816,-8.4,4.1,2.1,1.91,1.29,0.88,1.06,3.4,5.0,3125,-1.268,0.1973,Simbad,16 06 50.18,-23 09 54.0,1,0.999991
35,A,11.836,-5.9,3.2,1.7,2.0,1.25,0.89,0.99,3.0,5.0,3125,-1.276,0.1944,Simbad,16 12 43.74,-23 08 23.2,1,0.999971
36,A,11.854,,,,1.81,1.17,0.88,0.94,2.5,4.5,3200,-1.267,0.1976,Simbad,16 16 41.63,-23 15 39.1,1,0.999488
37,A,11.898,,,,1.85,1.19,0.89,0.95,2.6,4.5,3200,-1.284,0.1913,Simbad,16 16 11.72,-23 27 05.2,1,0.999617
38,A,11.876,-12.0,3.6,2.0,2.17,1.33,0.89,1.05,3.4,5.75,3025,-1.344,0.1712,Simbad,16 09 16.89,-23 41 32.6,1,0.999996
39,A,11.998,-10.3,4.3,,1.95,1.24,0.88,1.0,3.0,5.0,3125,-1.34,0.1721,Simbad,16 09 46.33,-22 55 33.6,1,0.999981
40,A,11.951,,,,1.9,1.2,0.89,1.0,3.0,5.0,3125,-1.322,0.178,Simbad,16 13 41.30,-23 54 22.0,1,0.99989
41,A,12.099,-6.8,3.4,1.8,1.99,1.24,0.89,1.0,3.0,5.0,3125,-1.381,0.1609,Simbad,16 11 37.61,-23 46 14.8,1,0.999976
42,A,12.098,-10.2,4.0,2.9,2.21,1.35,0.86,1.03,3.2,5.75,3025,-1.432,0.1464,Simbad,16 13 36.47,-23 27 35.5,1,0.999752
43,A,12.135,-20.2,3.6,3.2,2.17,1.38,0.87,1.05,3.4,5.75,3025,-1.447,0.1422,Simbad,16 08 02.17,-22 59 05.9,1,0.999998
44,A,12.224,,,,1.83,1.18,0.86,0.96,2.7,4.5,3200,-1.415,0.1514,Simbad,16 15 08.92,-23 45 04.9,1,0.99987
45,A,12.221,,,,1.95,1.21,0.89,0.97,2.8,5.0,3125,-1.43,0.1472,Simbad,16 15 59.26,-23 29 36.5,1,0.999965
46,A,12.195,,,,2.02,1.32,0.86,1.03,3.2,5.0,3125,-1.419,0.1502,Simbad,16 16 33.43,-23 27 21.2,1,0.999999
47,A,12.171,-64.7,3.4,2.7,2.28,1.59,0.89,1.12,3.9,5.75,3025,-1.462,0.1381,Simbad,16 11 07.38,-22 28 50.3,1,0.999999
48,A,12.283,-6.5,3.5,1.9,1.99,1.2,0.91,0.99,3.0,5.0,3125,-1.454,0.1402,Simbad,16 14 13.52,-22 44 58.0,1,0.99996
49,A,12.277,-14.3,3.8,2.2,2.22,1.38,0.89,1.07,3.6,5.75,3025,-1.504,0.1272,Simbad,16 07 50.39,-22 21 02.2,1,0.999996
50,A,12.322,-6.9,3.4,,1.95,1.27,0.89,1.03,3.3,5.0,3125,-1.47,0.1357,Simbad,16 06 39.22,-22 48 34.2,1,0.999994
51,A,12.32,-4.5,3.4,1.7,1.98,1.23,0.89,0.98,2.9,5.0,3125,-1.469,0.1359,Simbad,16 12 14.92,-22 18 04.0,1,0.999988
52,A,12.314,-6.8,3.5,1.7,2.11,1.3,0.89,1.0,3.0,5.5,3060,-1.515,0.125,Simbad,16 12 55.28,-22 26 54.4,1,0.999997
53,A,12.348,-10.4,4.0,2.5,2.19,1.37,0.88,1.1,3.8,5.75,3025,-1.532,0.1215,Simbad,16 07 45.21,-22 22 57.6,1,0.999998
54,A,12.454,-11.5,4.7,4.8,2.25,1.35,0.83,1.02,3.2,5.75,3025,-1.575,0.113,Simbad,16 13 10.82,-23 13 51.6,1,0.999996
55,A,12.463,-9.4,3.5,2.0,1.94,1.36,0.89,1.05,3.4,5.0,3125,-1.526,0.1227,Simbad,16 08 48.37,-23 41 21.0,1,0.999998
56,A,12.525,-10.9,4.5,3.6,2.27,1.39,0.85,1.06,3.5,5.75,3025,-1.603,0.1073,Simbad,16 11 40.40,-23 11 34.9,1,0.999773
57,A,12.562,,,,2.14,1.31,0.87,1.02,3.1,5.75,3025,-1.618,0.1044,Simbad,16 15 38.66,-22 40 37.3,1,0.999998
58,A,12.542,-22.0,3.8,2.5,1.94,1.45,0.88,1.08,3.6,5.75,3025,-1.61,0.106,Simbad,16 08 10.81,-22 29 42.9,1,0.999999
59,A,12.574,-34.4,3.0,,2.77,1.74,0.89,1.26,4.9,6.5,2935,-1.627,0.1026,Simbad,16 09 58.52,-23 45 18.7,1,0.999999
60,A,12.679,-6.8,3.5,2.1,2.07,1.37,0.9,1.05,3.4,5.5,3060,-1.661,0.0965,Simbad,16 11 31.81,-22 37 08.3,1,0.999999
61,A,12.758,,,,1.99,1.25,0.87,0.99,3.0,5.0,3125,-1.644,0.0993,Simbad,16 16 11.83,-23 16 26.9,1,0.999996
62,A,12.803,-7.1,3.4,1.9,2.06,1.26,0.88,0.99,2.9,5.0,3125,-1.662,0.0963,Simbad,16 10 57.28,-23 59 54.1,1,0.999995
63,A,12.838,,,,2.34,1.47,0.85,1.11,3.9,5.75,3025,-1.728,0.0853,Simbad,16 15 20.10,-23 33 54.7,1,0.999999
64,A,12.975,-8.2,5.1,4.3,2.24,1.35,0.83,1.03,3.3,5.75,3025,-1.783,0.0761,Simbad,16 10 54.29,-23 09 11.1,1,0.999996
65,A,12.939,-18.9,3.6,1.9,2.13,1.44,0.88,1.08,3.6,5.75,3025,-1.769,0.0785,Simbad,16 08 22.29,-22 17 03.0,1,0.999992
66,A,12.918,-7.7,4.7,2.6,1.77,1.16,0.82,0.93,2.5,4.5,3200,-1.692,0.0913,Simbad,16 09 04.51,-22 24 52.5,1,0.999999
67,A,13.123,,,,2.05,1.26,0.85,1.04,3.3,5.5,3060,-1.838,0.0691,Simbad,16 15 28.19,-23 15 44.1,1,0.999993
68,A,13.188,,4.4,2.6,1.9,1.29,0.86,0.99,2.9,5.0,3125,-1.816,0.0714,Simbad,16 12 16.09,-23 44 25.0,1,0.999998
69,A,13.205,-14.4,4.1,2.2,1.86,1.29,0.88,1.06,3.5,5.5,3060,-1.871,0.0654,Simbad,16 06 26.37,-23 06 11.4,1,0.999998
70,A,13.242,-7.1,3.7,2.4,2.2,1.35,0.88,1.06,3.5,5.75,3025,-1.89,0.0633,Simbad,16 11 34.70,-22 19 44.3,1,0.999999
71,A,13.404,,6.0,,2.26,1.35,0.88,1.07,3.5,5.75,3025,-1.955,0.0556,Simbad,16 11 26.30,-23 40 06.1,1,0.999998
72,A,13.485,-9.7,3.5,2.3,2.17,1.33,0.86,1.01,3.1,5.75,3025,-1.987,0.0516,Simbad,16 13 34.76,-23 28 15.7,1,0.999998
73,A,13.515,,,3.1,2.54,1.65,0.88,1.12,3.9,6.25,2910,-2.003,0.0496,Simbad,16 13 26.66,-22 30 35.0,1,0.999999
74,A,13.601,-17.8,3.7,3.9,2.59,1.61,0.86,1.16,4.2,6.25,2910,-2.038,0.0453,Simbad,16 12 46.92,-23 38 40.9,1,0.999999
75,A,13.668,-8.1,3.4,2.4,2.16,1.35,0.87,1.06,3.5,5.75,3025,-2.06,0.0424,Simbad,16 11 57.37,-22 15 06.8,1,0.999998
76,A,13.726,,,,2.28,1.38,0.85,1.06,3.5,5.75,3025,-2.084,0.0398,Simbad,16 16 45.39,-23 33 41.6,1,0.999999
77,A,13.718,-9.5,4.7,2.9,2.5,1.51,0.85,1.15,4.1,6.25,2910,-2.084,0.0397,Simbad,16 13 42.64,-23 01 28.0,1,0.999999
78,A,13.743,-14.9,3.4,2.7,2.37,1.51,0.87,1.12,3.9,6.25,2910,-2.094,0.0391,Simbad,16 11 38.37,-23 07 07.5,1,0.999999
79,A,13.935,,,,2.28,1.38,0.85,1.08,3.6,5.75,3025,-2.167,0.0349,Simbad,16 15 36.48,-23 15 17.6,1,0.999997
80,A,14.163,-73.4,3.7,,2.38,1.85,0.9,1.26,4.8,6.5,2935,-2.262,0.0297,Simbad,16 14 32.87,-22 42 13.5,1,0.999998
81,A,14.274,-10.3,4.2,5.5,2.6,1.53,0.85,1.14,4.0,6.25,2910,-2.307,0.0286,Simbad,16 11 54.39,-22 36 49.3,1,0.999999
82,A,14.202,-8.9,4.4,6.9,2.72,1.95,0.83,1.29,5.0,7.5,2800,-2.27,0.0295,Simbad,16 09 29.39,-23 43 12.2,1,0.999999
83,A,14.398,-81.0,3.6,,2.11,1.71,0.91,1.23,4.7,6.5,2935,-2.356,0.0273,Simbad,16 08 07.45,-23 45 05.6,1,0.999999
84,A,14.367,-6.3,3.1,,3.04,1.87,0.89,1.23,4.6,7.0,2880,-2.344,0.0276,Simbad,16 10 30.14,-23 15 16.8,1,0.999999
85,A,14.721,,2.2,,3.4,1.92,0.89,1.37,5.6,7.5,2800,-2.478,0.0243,Simbad,16 13 40.79,-22 19 46.1,1,0.999998
86,A,14.968,,,,,,,,,7.0,2880,-2.584,0.0216,Simbad,16 14 21.44,-23 39 14.8,1,0.999999
87,A,14.879,-97.4,3.4,,,,,,,8.5,2550,-2.533,0.0229,Simbad,16 08 30.49,-23 35 11.0,1,0.999999
88,A,14.926,-1780.0,4.1,,,,,,,8.5,2550,-2.552,0.0225,Simbad,16 06 48.18,-22 30 40.1,1,0.999998
89,A,15.202,-671.0,1.0,,,,,,,7.5,2800,-2.67,0.0195,Simbad,16 07 23.82,-22 11 02.0,1,0.999998
90,A,15.258,,4.8,,,,,,,8.5,2550,-2.684,0.0191,Simbad,16 10 47.13,-22 39 49.4,1,0.999997
91,G,15.853,,,,,,,,,12.0,1950,-2.886,0.0167,Simbad,16 06 03.75,-22 19 30.0,1,0.999992
93,G,14.926,,,,,,,,,8.0,2710,-2.552,0.0224,Simbad,16 06 48.18,-22 30 40.1,1,0.999998
95,G,15.202,,,,,,,,,11.0,2100,-2.63,0.0202,Simbad,16 07 23.82,-22 11 02.0,1,0.999998
99,G,15.449,,,,,,,,,11.0,2100,-2.729,0.0188,Simbad,16 08 28.47,-23 15 10.4,1,0.999996
100,G,14.879,,,,,,,,,9.0,2400,-2.521,0.0229,Simbad,16 08 30.49,-23 35 11.0,1,0.999999
101,G,15.688,,,,,,,,,9.0,2400,-2.844,0.0172,Simbad,16 08 47.44,-22 35 47.9,1,0.999997
104,G,15.258,,,,,,,,,9.0,2400,-2.672,0.0196,Simbad,16 10 47.13,-22 39 49.4,1,0.999997
108,G,14.968,,,,,,,,,7.0,2880,-2.584,0.0216,Simbad,16 14 21.44,-23 39 14.8,1,0.999999
