recno,EPIC_1,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,Per1,Per2,Per3,Per4,Memb,Simbad_1,single,PSS,(V-Ks)0,P1,P2,Mass,Disk,_RA,_DE,Separation
1009,204460283,16 25 29.68,-22 14 54.5,,12.11,,7.61,1.15,11.96,1.3956,,,,"USco,gold",Simbad,1,0.999999,6.456,1.3956,,0.124,,246.37373,-22.24844,0.24080653536073854
1015,203421625,16 25 32.73,-26 11 39.0,,10.97,,6.05,0.0,10.97,1.7039,,,,"USco,gold",Simbad,1,0.999992,6.049,1.7039,,0.186,,246.38642,-26.19406,0.4105928164484961
1026,204396010,16 25 43.20,-22 30 03.0,,12.09,,6.56,0.3,12.05,1.5603,,,,"USco,gold",Simbad,1,0.999998,6.255,1.5603,,0.151,Y,246.43009,-22.50073,0.47747838477693777
1028,204544020,16 25 48.07,-21 54 19.6,,11.15,,5.77,0.15,11.13,1.8496,,,,"USco,gold",Simbad,1,0.999877,5.618,1.8496,,0.301,,246.45036,-21.90543,0.23408768816516673
1031,202793212,16 25 50.28,-28 20 38.1,,11.76,,5.84,0.25,11.72,2.1634,,,,"USco,bronze",Simbad,1,0.999862,5.59,2.1634,,0.31,,246.45959,-28.34382,0.44990943389716576
1035,203071614,16 25 55.40,-27 21 24.4,,9.98,,5.72,0.0,9.98,0.4632,0.5305,,,"USco,gold",Simbad,1,0.999527,5.725,0.4632,0.5305,0.268,,246.48087,-27.35674,0.17955672630096897
1074,203074940,16 26 25.39,-27 20 42.7,,11.18,,6.42,0.39,11.13,3.3496,,,,"USco,bronze",Simbad,1,0.999983,6.033,3.3496,,0.189,,246.60585,-27.34518,0.19364602685951218
1089,204377821,16 26 39.65,-22 34 20.3,,10.49,,6.94,1.36,10.31,1.3506,,,,"USco,bronze",Simbad,1,0.999999,5.573,1.3506,,0.316,,246.66524,-22.57226,0.19487732536480182
1109,204464537,16 26 56.18,-22 13 52.1,,12.41,,7.2,0.78,12.31,0.2843,,,,"USco,gold",Simbad,1,0.999999,6.423,0.2843,,0.128,,246.73416,-22.2311,0.29132777311992347
1110,203478347,16 26 56.46,-26 00 17.0,,12.01,,7.06,1.37,11.83,2.8819,,,,"USco,bronze",Simbad,1,0.999999,5.685,2.8819,,0.28,,246.73534,-26.00468,0.3284814330086554
1123,204565982,16 27 09.40,-21 48 45.9,,11.71,,7.82,2.02,11.45,1.5612,,,,"USco,gold",Simbad,1,1.0,5.801,1.5612,,0.247,Y,246.78925,-21.81269,0.3524626952942945
1142,204608421,16 27 25.51,-21 38 04.0,,11.26,,6.46,0.88,11.15,1.8322,,,,"USco,bronze",Simbad,1,0.999996,5.582,1.8322,,0.313,,246.85637,-21.63436,0.40141069167232296
1164,203751997,16 27 45.21,-25 03 33.1,,11.45,,5.94,0.32,11.41,2.7362,,,,"USco,bronze",Simbad,1,0.999952,5.611,2.7362,,0.303,,246.93844,-25.05913,0.3142560893930158
1166,203781195,16 27 47.98,-24 57 13.7,,12.11,,8.43,2.83,11.75,0.4139,,,,"USco,gold",Simbad,1,1.0,5.601,0.4139,,0.307,,246.94999,-24.95373,0.36231880197419375
1182,203798606,16 28 03.36,-24 53 23.6,,10.49,,7.8,2.18,10.21,2.3014,,,,"USco,bronze",Simbad,1,1.0,5.619,2.3014,,0.301,,247.01401,-24.88991,0.08271898855397727
1185,202828127,16 28 08.95,-28 12 56.6,,12.11,,7.7,1.31,11.94,1.1663,,,,"USco,bronze",Simbad,1,0.999999,6.388,1.1663,,0.133,Y,247.03737,-28.21567,0.3115955806191537
1227,203504633,16 28 44.53,-25 54 59.1,,11.6,,6.33,0.0,11.6,0.6203,0.1565,,,"USco,bronze",Simbad,1,0.999999,6.325,0.6203,0.1565,0.142,,247.1856,-25.91635,0.30541118706028725
1268,202638454,16 30 20.08,-28 55 18.1,,11.77,,6.93,0.44,11.72,0.2487,0.4455,,,"USco,bronze",Simbad,1,0.999999,6.492,0.2487,0.4455,0.119,,247.5837,-28.92166,0.16250568593339382
1271,203108627,16 30 49.62,-27 13 46.8,,11.38,,6.34,0.64,11.3,1.2221,,,,"USco,bronze",Simbad,1,0.999992,5.694,1.2221,,0.277,,247.70687,-27.22968,0.387112957195716
1296,203185083,16 34 35.13,-26 58 03.2,,10.48,,6.26,0.51,10.41,0.4401,,,,"USco,gold",Simbad,1,0.99998,5.752,0.4401,,0.26,,248.64643,-26.96752,0.2180039655000842
1304,203130129,16 35 44.70,-27 09 20.4,,11.56,,5.67,0.0,11.56,1.6122,,,,"USco,bronze",Simbad,1,0.999726,5.673,1.6122,,0.284,,248.93637,-27.15563,0.4064141435698892
11,205049221,15 55 22.39,-19 39 02.9,,11.01,,6.15,0.49,10.95,29.7371,3.1976,,,"USco,bronze",Simbad,1,0.999996,5.657,29.7371,3.1976,0.289,,238.84331,-19.65081,0.06418243594514811
13,204077926,15 55 30.59,-23 45 21.2,,12.12,,6.19,0.41,12.07,1.0026,,,,"USco,bronze",Simbad,1,0.999998,5.782,1.0026,,0.252,,238.8775,-23.75591,0.1569225338629897
17,203544427,15 55 42.29,-25 46 47.7,,11.74,,6.78,0.47,11.68,1.0897,,,,"USco,bronze",Simbad,1,0.999999,6.313,1.0897,,0.143,,238.92621,-25.77994,0.08417357389320818
22,204862399,15 55 52.72,-20 31 33.5,,11.67,,6.73,0.94,11.55,0.2951,,,,"USco,bronze",Simbad,1,0.999999,5.789,0.2951,,0.25,,238.96969,-20.526,0.12723409453993764
23,203892828,15 55 53.21,-24 31 25.2,,11.86,,6.02,0.0,11.86,0.555,,,,"USco,bronze",Simbad,1,0.999993,6.019,0.555,,0.192,,238.97171,-24.52368,0.04830939693251434
27,203890834,15 56 03.72,-24 31 54.4,,11.34,,6.55,0.62,11.26,0.6164,0.4481,0.5146,,"USco,bronze",Simbad,1,0.999987,5.925,0.6164,0.4481,0.213,,239.01553,-24.5318,0.12670142013575686
28,204041137,15 56 12.13,-23 54 08.0,,10.23,,5.71,0.0,10.23,0.4201,,,,"USco,silver",Simbad,1,0.999832,5.714,0.4201,,0.271,,239.05071,-23.90213,0.6458882707219088
31,204269918,15 56 23.39,-22 59 49.4,,11.62,,6.91,0.52,11.56,0.8346,,,,"USco,bronze",Simbad,1,0.999998,6.39,0.8346,,0.132,,239.0975,-22.99698,0.30504056954632525
34,204918279,15 56 25.09,-20 16 16.2,,9.86,,6.67,0.44,9.8,0.4594,0.4665,,,"USco,gold",Simbad,1,0.999604,6.231,0.4594,0.4665,0.155,,239.10462,-20.27105,0.49636501359421903
