recno,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Kmag,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,Mass_calc,Mass,Mass_e
1009,204460283,16 25 29.68,-22 14 54.5,,12.11,,7.61,1.15,6.22935982160881,6.46,1.3956,,,,"USco,gold",no,Simbad,1,0.13218909840685675,0.124,0.0570870217639209
1015,203421625,16 25 32.73,-26 11 39.0,,10.97,,6.05,0.0,5.23935982160881,6.05,1.7039,,,,"USco,gold",no,Simbad,1,0.2763899696453632,0.186,0.0570870217639209
1026,204396010,16 25 43.20,-22 30 03.0,,12.09,,6.56,0.3,6.31935982160881,6.26,1.5603,,,,"USco,gold",yes,Simbad,1,0.12426559096292457,0.151,0.0570870217639209
1028,204544020,16 25 48.07,-21 54 19.6,,11.15,,5.77,0.15,5.39935982160881,5.62,1.8496,,,,"USco,gold",no,Simbad,1,0.2474402319347218,0.301,0.0570870217639209
1031,202793212,16 25 50.28,-28 20 38.1,,11.76,,5.84,0.25,5.98935982160881,5.59,2.1634,,,,"USco,bronze",no,Simbad,1,0.1574291995026271,0.31,0.0570870217639209
1035,203071614,16 25 55.40,-27 21 24.4,,9.98,,5.72,0.0,4.2493598216088095,5.72,0.4632,0.5305,,,"USco,gold",no,Simbad,1,0.5461529912335652,0.268,0.0570870217639209
1074,203074940,16 26 25.39,-27 20 42.7,,11.18,,6.42,0.39,5.39935982160881,6.03,3.3496,,,,"USco,bronze",no,Simbad,1,0.2474402319347218,0.189,0.0570870217639209
1089,204377821,16 26 39.65,-22 34 20.3,,10.49,,6.94,1.36,4.57935982160881,5.57,1.3506,,,,"USco,bronze",no,Simbad,1,0.4366171871839027,0.316,0.0570870217639209
1109,204464537,16 26 56.18,-22 13 52.1,,12.41,,7.2,0.78,6.57935982160881,6.42,0.2843,,,,"USco,gold",maybe,Simbad,1,0.10307327953860144,0.128,0.0570870217639209
1110,203478347,16 26 56.46,-26 00 17.0,,12.01,,7.06,1.37,6.099359821608809,5.69,2.8819,,,,"USco,bronze",no,Simbad,1,0.14579055889950965,0.28,0.0570870217639209
1123,204565982,16 27 09.40,-21 48 45.9,,11.71,,7.82,2.02,5.719359821608808,5.8,1.5612,,,,"USco,gold",yes,Simbad,1,0.1914331193457583,0.247,0.0570870217639209
1142,204608421,16 27 25.51,-21 38 04.0,,11.26,,6.46,0.88,5.4193598216088095,5.58,1.8322,,,,"USco,bronze",no,Simbad,1,0.24368409854271214,0.313,0.0570870217639209
1164,203751997,16 27 45.21,-25 03 33.1,,11.45,,5.94,0.32,5.679359821608809,5.61,2.7362,,,,"USco,bronze",no,Simbad,1,0.1973209925885618,0.303,0.0570870217639209
1166,203781195,16 27 47.98,-24 57 13.7,,12.11,,8.43,2.83,6.019359821608809,5.6,0.4139,,,,"USco,gold",no,Simbad,1,0.15423675124209962,0.307,0.0570870217639209
1182,203798606,16 28 03.36,-24 53 23.6,,10.49,,7.8,2.18,4.47935982160881,5.62,2.3014,,,,"USco,bronze",no,Simbad,1,0.466797881542711,0.301,0.0570870217639209
1185,202828127,16 28 08.95,-28 12 56.6,,12.11,,7.7,1.31,6.209359821608809,6.39,1.1663,,,,"USco,bronze",yes,Simbad,1,0.134250041742319,0.133,0.0570870217639209
1227,203504633,16 28 44.53,-25 54 59.1,,11.6,,6.33,0.0,5.869359821608809,6.33,0.6203,0.1565,,,"USco,bronze",maybe,Simbad,1,0.1700609012824911,0.142,0.0570870217639209
