recno,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
686,204355829,16 15 27.42,-22 39 27.7,,10.49,,5.34,0.34,10.45,5.0,1.7239,,,,"USco,gold",no,Simbad,2,1.0E-6,3287.0,157.0,0.629,0.02,0.01128,-1.3492069603480692
687,203342257,16 15 27.49,-26 27 28.3,,11.17,,5.98,0.7,11.08,5.28,3.0912,,,,"USco,gold",no,Simbad,1,0.99987,3129.0,157.0,0.576,0.021,0.00781,-1.528855034839367
688,204202443,16 15 28.18,-23 15 44.3,,12.34,,5.93,0.7,12.25,5.23,1.0752,,,,"USco,gold",no,Simbad,1,0.999993,3023.0,157.0,0.282,0.021,0.00193,-2.156144577376839
689,203623026,16 15 32.12,-25 30 31.1,10.73,8.24,2.49,2.49,1.0,8.11,1.49,2.6067,,,,"USco,gold",no,Simbad,1,0.999989,,,,,,
690,204939243,16 15 32.18,-20 10 23.9,13.98,8.91,5.07,5.07,1.79,8.68,3.28,2.9124,,,,"USco,silver",yes,Simbad,1,0.999527,,,,,,
691,205198363,16 15 33.40,-18 54 25.1,,11.27,,8.23,2.23,10.98,6.0,1.8996,,,,"USco,bronze",yes,Simbad,1,1.0,2841.0,157.0,0.546,0.023,0.00533,-1.749092300299144
692,204342099,16 15 34.57,-22 42 42.4,12.68,7.91,4.78,4.78,3.01,7.52,1.77,,,,,"USco,silver",yes,Simbad,1,0.99993,4038.0,139.5,,,,
693,203370081,16 15 36.43,-26 22 09.1,,10.24,,5.6,0.4,10.19,5.19,1.9101,2.9277,,,"USco,gold",no,Simbad,1,0.999951,,,,,,
694,204204414,16 15 36.47,-23 15 17.5,,13.1,,6.3,0.16,13.09,6.15,0.6223,,,,"USco,silver",no,Simbad,1,0.999997,2907.0,157.0,0.282,0.023,0.00183,-2.224025668870631
695,204092042,16 15 38.43,-23 41 56.1,,11.34,,5.91,1.17,11.19,4.75,1.3857,,,,"USco,bronze",no,Simbad,1,0.999957,3078.0,157.0,0.532,0.021,0.00623,-1.6346992513620127
696,205124381,16 15 39.13,-19 17 00.8,,10.43,,7.51,1.89,10.19,5.61,1.3957,,,,"USco,gold",no,Simbad,1,0.999964,,,,,,
697,204621457,16 15 41.10,-21 34 46.4,,11.7,,6.28,0.45,11.65,5.84,0.5626,,,,"USco,bronze",no,Simbad,1,0.999997,2935.0,157.0,0.506,0.023,0.005,-1.763462738511306
698,205110000,16 15 44.16,-19 21 17.5,14.14,8.4,5.74,5.74,3.48,7.95,2.26,,,,,"USco,gold",yes,Simbad,1,0.999488,3699.0,189.5,0.548,0.104,0.03328,-0.7580303880869268
699,205143329,16 15 47.32,-19 11 18.7,,9.68,,5.64,1.31,9.51,4.33,5.4442,,,,"USco,gold",no,Simbad,1,0.999019,3375.0,99.4,0.385,0.092,0.0211,-1.0385314446492138
700,203122463,16 15 48.68,-27 10 54.9,,11.88,,6.64,0.76,11.79,5.88,1.4668,0.8599,,,"USco,bronze",no,Simbad,1,0.999999,2858.0,157.0,0.459,0.022,0.00372,-1.8917733436250714
701,204467371,16 15 49.13,-22 13 12.0,,12.12,,6.14,0.2,12.1,5.93,1.8066,,,,"USco,bronze",yes,Simbad,1,0.999998,2981.0,157.0,0.402,0.021,0.00332,-1.9229956732066498
702,204959839,16 15 50.52,-20 04 35.2,8.1,7.27,0.83,0.83,0.73,7.17,0.1,,,,,"USco,gold",no,Simbad,1,0.996487,9379.0,1409.9,2.383,0.471,6.80583,1.179938807138456
703,204494046,16 15 51.62,-22 06 45.1,,11.48,,5.63,0.7,11.39,4.93,1.7409,,,,"USco,bronze",no,Simbad,1,0.99964,3135.0,157.0,0.498,0.021,0.00577,-1.6615435063953952
704,203920452,16 15 53.26,-24 24 38.1,,10.35,,5.22,0.26,10.31,4.97,6.9137,,,,"USco,bronze",no,Simbad,1,0.992964,3449.0,123.0,0.43,,,-1.0818123386410743
705,203674308,16 15 53.97,-25 19 49.3,,10.82,,5.72,0.39,10.77,5.34,3.5205,,,,"USco,bronze",no,Simbad,1,0.999146,3276.0,157.0,0.631,0.021,0.01134,-1.3519328705510654
706,204204606,16 15 54.86,-23 15 14.9,,10.33,,5.52,0.21,10.3,5.31,1.1482,1.4869,,,"USco,gold",no,Simbad,2,0.739358,,,,,,
707,203837965,16 15 55.07,-24 44 36.8,,12.28,,7.55,0.17,12.26,7.38,2.007,,,,"USco,gold",no,Simbad,1,0.999999,2836.0,157.0,0.316,0.022,0.00193,-2.186419011431808
708,204143627,16 15 59.25,-23 29 36.2,,11.31,,6.0,0.35,11.27,5.65,1.125,,,,"USco,gold",no,Simbad,1,0.999965,3074.0,157.0,0.503,0.021,0.00555,-1.687188173787912
