,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,recno,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R_x,Jmag,H,K,u,g,r_xa,i,z,angDist,Mass_calc,Mass_e
0,R01- 680,11.52,0.006,11.52,0.008,11.47,0.027,11.44,0.119,7.2,,,,[R2001]  680,05 33 37.1,-05 23 07.0,2,V* V725 Ori,83.4043893688,-5.3852438473,0.0,0.0,90.0,20,05 33 37.05345,-05 23 06.8779,A,2020yCat.1350....0G,Orion_V*,*|Em*|Er*|G|NIR|Or*|TT?|V*|Y*O,21.73,0.349,7.25e-05,1.2e-06,M2.0,,2.6436,0.0378,0.391,0.877,0.029,0.026,90.0,,,,,16.22,16.18,4.509998294395505,11.828,11.652,,,,,,0.70584,0.1953545891886893,0.055689584892635896
1,R01- 716,11.91,0.006,11.9,0.009,11.78,0.018,11.88,0.027,7.55,M5.5,R01,L,[R2001]  716,05 33 41.6,-04 55 59.9,3,V* V1665 Ori,83.423295501,-4.9333080794,0.0,0.0,90.0,11,05 33 41.59092,-04 55 59.9091,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|NIR|Or*|V*,27.3,0.7,9.11e-05,2.3e-06,,,2.6493,0.052,0.737,0.428,0.044,0.039,90.0,,,,,18.16,,5.079998294395503,12.51,12.263,,,,,,0.135996,0.1352838432726335,0.055689584892635896
2,R01- 739,12.09,0.007,12.16,0.012,12.04,0.019,11.97,0.024,3.99,M3.5,R01,L,[R2001]  739,05 33 43.3,-06 05 23.5,4,V* V727 Ori,83.4302108403,-6.0898486382,0.0,0.0,90.0,14,05 33 43.25060,-06 05 23.4551,A,2020yCat.1350....0G,Orion_V*,*|Er*|NIR|Or*|TT*|V*|Y*?|Y*O,18.5,0.5,6.17e-05,1.7e-06,M3.4,,2.6735,0.0404,-0.011,0.97,0.037,0.031,90.0,,,,,17.1,,5.123998294395504,12.54,12.296,,,,,,0.73816,0.13185197939711457,0.055689584892635896
3,R01- 749,12.39,0.009,12.36,0.011,12.36,0.02,12.36,0.031,15.42,,,,[R2001]  749,05 33 44.5,-06 05 20.5,5,V* V1666 Ori,83.4354368204,-6.0890156904,0.0,0.0,90.0,7,05 33 44.50484,-06 05 20.4565,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|V*|Y*O,,,,,M3.6,,2.53,0.0505,1.074,0.542,0.046,0.04,90.0,,,,,17.782,,5.392998294395504,12.828,12.611,,,,,,0.084251,0.11476951568632249,0.055689584892635896
4,HBC 107,9.92,0.002,9.97,0.003,9.89,0.007,9.82,0.039,2.64,,,,HBC 107,05 33 44.9,-05 31 08.6,6,V* V386 Ori,83.4372345514,-5.5190187548,0.0,0.0,90.0,19,05 33 44.93629,-05 31 08.4675,A,2020yCat.1350....0G,Orion_V*,*|Em*|Er*|NIR|Or*|TT?|V*,,,,,K7V:,,2.2707,0.0284,2.034,-1.205,0.029,0.024,90.0,,,,16.8,15.22,14.82,3.2159982943955043,10.444,10.16,,16.04,14.49,13.6,,0.557822,0.6452530666027193,0.055689584892635896
5,Par 1266,10.84,0.003,10.84,0.004,10.84,0.011,10.9,0.039,4.65,K8,R01,H,Parenago 1266,05 33 46.1,-05 34 26.5,7,V* V1667 Ori,83.4420578313,-5.5740023527,0.0,0.0,90.0,17,05 33 46.09388,-05 34 26.4085,A,2020yCat.1350....0G,Orion_V*,*|MIR|NIR|Or*|Rad|V*|Y*O,21.11,0.338,7.04e-05,1.1e-06,K8,,4.0409,0.2876,1.339,-1.27,0.253,0.229,90.0,,,,15.86,14.58,14.3,3.6759982943955034,11.073,10.907,,15.28,14.03,13.41,,0.129333,0.4572942522257717,0.055689584892635896
6,R01- 766,12.21,0.007,12.4,0.011,12.26,0.023,12.16,0.03,0.36,M6,R01,L,[R2001]  766,05 33 46.3,-06 13 04.8,8,V* V1668 Ori,83.4427318075,-6.2179905275,0.0,0.0,90.0,9,05 33 46.25563,-06 13 04.7659,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|NIR|Or*|TT*|V*|Y*O,,,,,M4.9,,2.5184,0.0655,0.945,0.002,0.06,0.051,90.0,,,,,18.55,,5.427998294395504,12.905,12.614,,,,,,0.662456,0.11272365287378783,0.055689584892635896
7,R01- 817,11.69,0.005,11.74,0.008,11.64,0.022,11.73,0.091,5.21,,,,[R2001]  817,05 33 51.9,-05 54 25.8,9,V* V1411 Ori,83.4661627179,-5.9071163093,0.0,0.0,90.0,16,05 33 51.87905,-05 54 25.6187,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|TT*|V*|Y*O,25.866,0.306,8.63e-05,1e-06,M2.3,,2.5831,0.0296,1.102,0.768,0.026,0.023,90.0,,,,,,,4.722998294395504,12.06,11.877,,,,,,0.361318,0.16235916583635,0.055689584892635896
8,R01- 829,11.82,0.006,11.84,0.01,11.81,0.02,11.7,0.026,0.74,M2,R01,H,[R2001]  829,05 33 53.3,-04 56 05.1,10,V* V1412 Ori,83.4719379079,-4.9347269773,0.0,0.0,90.0,17,05 33 53.26510,-04 56 05.0171,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|V*|Y*O,35.999,0.251,0.0001201,8e-07,M2.6,,2.7387,0.0336,1.759,-2.635,0.03,0.026,90.0,,,,,,,4.788998294395505,12.14,11.928,,,,,,0.528135,0.15742934078935197,0.055689584892635896
9,R01- 831,11.82,0.006,11.94,0.008,11.88,0.021,11.89,0.03,4.39,,,,[R2001]  831,05 33 53.4,-06 17 10.2,11,V* V975 Ori,83.4725839389,-6.2861987499,0.0,0.0,90.0,23,05 33 53.42015,-06 17 10.3155,A,2020yCat.1350....0G,Orion_V*,*|BY*|Em*|Er*|G|NIR|Opt|Or*|TT*|V*|X|Y*O,27.489,0.06,9.17e-05,2e-07,M3.4,,2.5363,0.0554,0.962,0.1,0.05,0.043,90.0,,,,18.9,17.176,,5.014998294395504,12.41,12.209,,17.868,16.45,,,0.321805,0.14023903762230236,0.055689584892635896
10,Par 1308,11.23,0.004,11.33,0.007,11.31,0.013,11.22,0.024,3.0,,,,Parenago 1308,05 33 54.6,-06 02 08.7,12,V* V1413 Ori,83.4773984679,-6.0357135707,0.0,0.0,90.0,25,05 33 54.57563,-06 02 08.5689,A,2020yCat.1350....0G,TTau*,*|NIR|Or*|Rad|TT*|V*|Y*?|Y*O,26.26,0.333,8.76e-05,1.1e-06,K4.3,,2.5803,0.0188,1.184,0.672,0.017,0.015,90.0,,,,16.0,14.92,,4.150998294395505,11.56,11.339,,,,,,0.386424,0.2939382804342878,0.055689584892635896
11,R01- 844,12.37,0.008,12.34,0.011,12.29,0.032,12.14,0.072,0.46,M4.5,R01,L,[R2001]  844,05 33 54.8,-05 08 31.1,13,V* V1669 Ori,83.4784800159,-5.1419529893,0.0,0.0,90.0,7,05 33 54.83520,-05 08 31.0308,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|NIR|Or*|V*,,,,,,,2.5952,0.0631,1.01,0.773,0.056,0.046,90.0,,,,,,,5.525998294395505,12.957,12.689,,,,,,0.53047,0.10680229096343503,0.055689584892635896
12,Par 1305,10.53,0.003,10.54,0.004,10.84,0.014,10.63,0.047,3.56,M1,R01,H,Parenago 1305,05 33 56.5,-05 06 47.7,14,V* V735 Ori,83.4855930372,-5.1132213252,0.0,0.0,90.0,18,05 33 56.54233,-05 06 47.5968,A,2020yCat.1350....0G,TTau*,*|Er*|NIR|Or*|TT*|V*|Y*O,30.51,0.78,0.0001018,2.6e-06,M3.0,,2.5841,0.0334,0.995,0.042,0.027,0.023,90.0,,,,16.2,15.21,,3.565998294395504,10.92,10.687,,,,,,0.640777,0.4977615686638992,0.055689584892635896
13,R01- 863,10.44,0.003,10.46,0.004,10.45,0.03,10.22,0.131,5.92,,,,[R2001]  863,05 33 57.7,-05 40 06.1,15,V* V1414 Ori,83.4903906272,-5.668374225,0.0,0.0,90.0,34,05 33 57.69375,-05 40 06.1472,A,2020yCat.1350....0G,TTau*,*|Em*|NIR|Opt|Or*|TT*|TT?|V*|X|Y*?|Y*O,30.52,0.383,0.0001018,1.3e-06,M2.2e,,2.5176,0.0272,-2.21,-3.58,0.027,0.022,90.0,,,,18.198,16.932,,3.7669982943955045,10.9,10.631,,,,,,0.104549,0.42336788067111586,0.055689584892635896
14,R01- 864,12.09,0.009,12.07,0.012,12.0,0.056,10.75,0.101,1.13,M3,R01,L,[R2001]  864,05 33 57.9,-05 36 27.0,16,V* V1415 Ori,83.4913189982,-5.6075084085,0.0,0.0,90.0,15,05 33 57.91656,-05 36 27.0303,A,2020yCat.1350....0G,Orion_V*,*|Em*|NIR|Or*|V*|Y*O,28.9,2.1,9.64e-05,7e-06,M3.5e,,2.5597,0.043,1.191,0.134,0.04,0.032,90.0,,,,18.565,17.303,,5.100998294395504,12.5,12.279,,,,,,0.249051,0.13390050691206104,0.055689584892635896
15,CHS 1721,11.28,0.004,11.2,0.006,11.35,0.015,11.1,0.031,4.96,,,,[CHS2001] 1721,05 33 59.5,-04 43 04.6,17,V* V1214 Ori,83.4977751478,-4.7179098758,0.0,0.0,90.0,12,05 33 59.46604,-04 43 04.4756,A,2020yCat.1350....0G,TTau*,*|Em*|G|NIR|Opt|Or*|TT*|V*|Y*O,19.7,,6.57e-05,,M1.0,,2.5726,0.0204,0.436,1.684,0.019,0.017,90.0,,,,,,,4.243998294395505,11.627,11.436,,,,,,0.52277,0.2686573173021191,0.055689584892635896
16,Par 1319,9.35,0.001,9.33,0.002,9.36,0.004,9.26,0.01,0.44,,,,Parenago 1319,05 33 59.9,-05 00 03.7,18,Brun 166,83.4996002319,-5.0010118507,0.0,0.0,90.0,21,05 33 59.90406,-05 00 03.6427,A,2020yCat.1350....0G,Em*,*|Em*|NIR|Rad,55.0,2.0,0.0001835,6.7e-06,K0III,,2.6265,0.0536,1.705,-1.095,0.049,0.041,90.0,,,,13.68,12.57,,2.1149982943955035,9.602,9.436,,,,,,0.083429,0.0,0.0
17,Par 1335,10.73,0.003,10.43,0.003,9.9,0.005,8.61,0.003,3.07,M0,R01,H,Parenago 1335,05 34 01.1,-06 02 26.8,19,V* V1416 Ori,83.5045405501,-6.0407536436,0.0,0.0,90.0,30,05 34 01.08973,-06 02 26.7131,A,2020yCat.1350....0G,TTau*,*|MIR|NIR|Or*|TT*|V*|Y*?|Y*O,23.679,0.048,7.9e-05,2e-07,K7.6,,2.6005,0.0182,0.614,1.001,0.017,0.015,90.0,,,,16.0,15.016,,3.977998294395505,11.36,11.139,,,,,,0.176091,0.3509580207526128,0.055689584892635896
