,recno,Name,SpT,e_SpT,ref1,AV,Imag,VmI,Vmag,l_V-I,Teff,logL*,Mass,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad,_RA,_DE,Separation,Mass_calc,Mass_e
0,58,Parenago 1382,K7,1.0,H,0.24,13.17,1.68,6.524999294395505,,3970.0,-0.328,0.69,0.06,0.07,3.9,1.3,2.2,1.45,0.17,8.46,opt,H02,,N,g,Simbad,83.55371,-5.48006,1.2672835665955398,0.5041978643251775,0.05568971782550209
1,310,V1934 Ori,M3,1.0,H,0.49,16.49,2.74,10.654998294395503,,3360.0,-1.478,0.22,0.08,0.11,17.0,8.9,23.0,0.54,0.09,7.87,opt,R09,,,g,Simbad,83.55441,-5.56346,1.38079194166554,0.13185197939711457,0.05568971782550209
2,296,2MASS J05341487-0514183,M3.5,1.0,H13,0.59,14.81,2.61,8.744998294395502,,3260.0,-0.948,0.23,0.08,0.1,3.9,1.5,3.4,1.05,0.2,1.69,opt,H02,2.0,,,Simbad,83.562,-5.23844,1.376899726072958,0.25585625821747743,0.05568971782550209
3,345,2MASS J05341723-0529043,M5,1.0,H13,2.78,14.54,4.21,7.884998294395505,,2880.0,-0.158,0.16,0.04,0.08,0.05,0.04,0.15,3.35,0.76,3.11,opt,R09,,,g,Simbad,83.5718,-5.48453,1.2675424830520152,0.3403016366043042,0.05568971782550209
4,122,2MASS J05341726-0522368,M0.5,1.0,H13,,16.47,2.53,,,3700.0,-1.36,0.41,0.08,0.08,44.0,19.5,15.0,0.51,0.07,11.9,opt,R09,,,a,Simbad,83.57196,-5.37689,1.3351857724613814,0.0,0.0
5,472,2MASS J05341730-0522480,M7.5,1.0,H13,3.26,16.09,3.65,8.394998294395505,,2610.0,-0.98,,,,,,,1.58,0.23,2.03,opt,R09,3.0,,b,Simbad,83.57211,-5.38002,1.234728602241299,0.29168115133416955,0.05568971782550209
6,219,2MASS J05341743-0530352,M3,1.0,H13,,14.22,2.48,,,3360.0,-0.732,0.29,0.08,0.09,2.8,0.6,1.9,1.27,0.21,0.42,opt,R09,3.0,,,Simbad,83.57262,-5.50981,1.28471790621492,0.0,0.0
7,114,V1427 Ori,M1,1.0,H,0.0,12.87,1.94,6.724997294395504,,3630.0,-0.224,0.43,0.08,0.09,1.3,0.3,0.6,1.95,0.27,3.24,opt,Re01,3.0,N,,Simbad,83.57503,-5.55925,1.340599933728681,0.4752637175459289,0.05568971782550209
8,75,V1671 Ori,K8,1.0,H13,0.22,13.03,1.88,6.604998294395504,,3940.0,-0.217,0.63,0.04,0.08,2.3,0.7,1.4,1.68,0.2,6.29,opt,Re01,3.0,N,,Simbad,83.57721,-5.56672,1.3748010191974585,0.4926717393082925,0.05568971782550209
9,274,2MASS J05341908-0533113,M3.5,1.0,H,4.61,16.21,4.51,8.024997294395503,,3260.0,-0.335,0.25,0.04,0.12,1.1,0.9,0.4,2.13,0.4,0.76,opt,R09,,,"e,g",Simbad,83.57954,-5.55317,1.3713588667864214,0.32743501491281596,0.05568971782550209
