,flag,Gaia,TIC,RAdeg,DEdeg,Sec,Theia,logAge,e_logAge,BP-RP,Gmag,Tmag,Teff,e_Teff,Mass,e_Mass,Rad,e_Rad,CorrP1,e_CorrP1,CorrP2,e_CorrP2,CorrA1,CorrA2,PCAP1,e_PCAP1,PCAP2,e_PCAP2,PCAA1,PCAA2,RAWP1,e_RAWP1,RAWP2,e_RAWP2,RAWA1,RAWA2,Per,e_Per,PType,logAM,e_logAM,RUWE,sigmaVar,sigmaInst,sigmap2p,c1,c2,c3,c4,c5,c6,Mass_calc,Mass_e
0,True,3208462482760921088,4008943,79.826659,-5.725715,32,13,6.69,0.12,1.4767,6.1139,13.054,4327.0,142.0,0.676,,1.05,,1.30605,0.00069,1.6963,0.0019,0.1802,0.10328,1.30536,0.00074,3.709,0.011,0.16831,0.09648,16.68,0.15,3.709,0.014,0.16165,0.13298,,,,,,1.144,0.0879,0.002327,0.01325,1.0,1.0,2.1,4.43,5.65,6.65,0.5035644548901128,0.05117071635240562
1,True,3208462482760921088,4008943,79.826659,-5.725715,5,13,6.69,0.12,1.4767,6.1139,13.054,4327.0,142.0,0.676,,1.05,,2.4016,0.0014,2.7777,0.0042,0.27978,0.12563,2.4017,0.0018,2.832,0.087,0.21398,0.11461,16.363,0.075,2.3923,0.0025,0.30751,0.16183,,,,,,1.144,0.0781,0.002105,0.02823,1.0,1.0,2.1,4.43,5.65,6.65,0.5035644548901128,0.05117071635240562
2,True,3210041587616915200,4009244,79.863538,-5.197393,32,13,6.69,0.12,2.5325,7.805,15.024,3560.0,123.0,0.49,,1.013,,4.279,0.021,3.269,0.082,0.09557,0.08158,4.259,0.02,3.3091,0.0092,0.09812,0.09102,3.306,0.0029,12.83,0.27,0.286,0.0626,,,,,,0.989,0.0256,0.01475,0.02673,1.0,1.0,1.0,1.0,1.0,1.0,0.18358535595063213,0.05117071635240562
3,True,3210041587616915200,4009244,79.863538,-5.197393,5,13,6.69,0.12,2.5325,7.805,15.024,3560.0,123.0,0.49,,1.013,,3.3214,0.0018,2.311,0.014,0.50367,0.0239,3.319,0.0016,1.6571,0.0071,0.56235,0.0239,3.328,0.0016,1.6491,0.0073,0.58586,0.02366,3.3214,0.0018,corr,42.633,,0.989,0.01403,0.008289,0.01277,1.0,1.0,1.0,1.0,1.0,1.0,0.18358535595063213,0.05117071635240562
4,True,3210386971706260224,4009724,79.880357,-4.421287,32,13,6.69,0.12,2.6416,8.3705,15.015,3280.0,157.0,0.63,0.022,0.654,0.023,0.78071,0.00011,0.85378,0.00021,0.4558,0.27904,0.78078,0.00011,0.8537,0.00021,0.45649,0.28302,0.78071,,0.85374,,0.45536,0.2806,0.78071,0.00011,corr,42.989,0.046,1.058,0.01341,0.005083,0.009024,2.12,2.12,4.1,5.11,5.11,5.11,0.07658507184509017,0.05117071635240562
5,True,3210386971706260224,4009724,79.880357,-4.421287,5,13,6.69,0.12,2.6416,8.3705,15.015,3280.0,157.0,0.63,0.022,0.654,0.023,0.78092,0.0001,0.85148,0.00031,0.49652,0.17779,0.78092,0.00011,0.85173,0.00031,0.46702,0.17922,0.78032,0.00012,0.85224,0.00037,0.41699,0.15432,0.78092,0.0001,corr,42.989,0.046,1.058,0.00964,0.004947,0.007197,2.12,2.12,4.1,5.11,5.11,5.11,0.07658507184509017,0.05117071635240562
6,True,3210434078907566464,4009741,79.8294,-4.405544,32,13,6.69,0.12,0.8342,4.6119,12.572,5927.0,130.3,1.08,0.141,1.021,0.048,,,,,,,13.34,0.88,,,0.0158,,13.699,0.089,5.87,0.032,0.38131,0.11741,,,,,,1.032,0.00283,0.002414,0.004036,1.0,1.0,1.0,2.12,2.12,2.12,0.787763264311528,0.05117071635240562
7,True,3210434078907566464,4009741,79.8294,-4.405544,5,13,6.69,0.12,0.8342,4.6119,12.572,5927.0,130.3,1.08,0.141,1.021,0.048,3.402,0.025,7.86,0.1,0.04234,0.04221,7.95,0.12,3.488,0.031,0.04525,0.03871,2.9962,0.0091,7.303,0.054,0.08349,0.06764,,,,,,1.032,0.001336,0.001278,0.001768,1.0,1.0,1.0,2.12,2.12,2.12,0.787763264311528,0.05117071635240562
8,True,3210437480521643136,4009824,79.889824,-4.282727,32,13,6.69,0.12,2.9935,8.4255,15.075,3113.0,157.0,0.661,0.023,0.696,0.025,,,,,,,4.97,0.12,,,0.0123,,4.7395,,,,0.02212,,,,,,,1.072,0.01328,0.01172,0.0189,1.0,1.0,1.0,1.0,1.0,1.88,0.06617832449299382,0.05117071635240562
9,True,3210437480521643136,4009824,79.889824,-4.282727,5,13,6.69,0.12,2.9935,8.4255,15.075,3113.0,157.0,0.661,0.023,0.696,0.025,1.04006,0.00036,0.51893,0.00062,0.23208,0.02652,1.03974,0.00033,0.51874,0.00065,0.25147,0.02454,1.03997,0.00035,0.51869,0.00061,0.23288,0.02667,1.04006,0.00036,all3,42.939,0.046,1.072,0.0221,0.01697,0.02845,1.0,1.0,1.0,1.0,1.0,1.88,0.06617832449299382,0.05117071635240562
10,True,3213501888147774848,4010192,79.833809,-3.63641,32,13,6.69,0.12,3.3238,8.6025,15.646,3110.0,123.0,,,,,1.2211,,,,0.0109,,,,,,,,1.2231,0.0057,,,0.01504,,,,,,,1.097,0.0242,0.02238,0.03588,1.0,2.03,2.03,3.09,3.09,6.16,0.03268751939156783,0.05117071635240562
11,True,3213501888147774848,4010192,79.833809,-3.63641,5,13,6.69,0.12,3.3238,8.6025,15.646,3110.0,123.0,,,,,1.237,0.0028,10.73,0.3,0.03723,0.02541,1.2322,0.0023,1.747,0.01,0.04344,0.01631,1.2311,0.0022,8.73,0.17,0.04428,0.03286,1.237,0.0028,all3,,,1.097,0.0216,-0.01954,-0.02903,1.0,2.03,2.03,3.09,3.09,6.16,0.03268751939156783,0.05117071635240562
