Index,Vmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
3,9.259990748440748,0.5781858564663753,0.013601094896210647,0.62,,1.0,,2.4534,120.05924365258,-61.45287021099
4,10.359990748440746,0.4734364737936123,0.013601094896210647,0.5,,1.0,,2.4961,120.18677788843,-61.41901849113
5,12.599990748440748,0.26012863998725777,0.013601094896210647,0.26,,1.0,,2.6652,120.17571488661,-61.41768944009
6,10.849990748440748,0.42677538514847213,0.013601094896210647,0.45,,1.0,,2.3295,120.19027193943,-61.39769420946
7,9.799990748440747,0.5267634322452007,0.013601094896210647,0.56,,1.0,,2.3655,119.74149323181,-61.5442220473
8,11.499990748440746,0.36487802266002123,0.013601094896210647,0.39,,1.0,,2.3551,119.58420044294,-61.56489698203
9,9.699990748440745,0.5362861033972702,0.013601094896210647,0.56,,1.0,,2.3789,119.73449458192,-61.52009897939
10,7.889990748440747,0.708646451249726,0.013601094896210647,0.7,,1.0,,2.4656,119.31905410583,-61.5273674191
11,11.829990748440748,0.333453207858192,0.013601094896210647,0.35,,1.0,,2.5885,119.44638519583,-61.51038889698
12,8.979990748440747,0.6048493356921697,0.013601094896210647,0.64,,1.0,,2.46,119.64282512855,-61.45219205814
14,11.259990748440748,0.38773243342498764,0.013601094896210647,0.41,,1.0,,2.351,119.82939006885,-61.4665226129
15,11.549990748440747,0.3601166870839865,0.013601094896210647,0.38,,1.0,,2.2445,119.86670116908,-61.43354720559
16,8.369990748440747,0.6629376297197929,0.013601094896210647,0.7,,1.0,,2.2217,120.06279716525,-61.39379708453
17,9.459990748440747,0.5591405141622366,0.013601094896210647,0.59,,1.0,,2.4893,120.1031493548,-61.30152159021
18,10.959990748440747,0.41630044688119594,0.013601094896210647,0.44,,1.0,,2.4734,119.71733007761,-61.39973495043
19,12.539990748440745,0.26584224267849965,0.013601094896210647,0.26,,1.0,,2.5495,119.69586128546,-61.39623022808
20,10.339990748440746,0.4753410080240261,0.013601094896210647,0.5,,1.0,,2.3959,119.8035785791,-61.31937541865
21,12.209990748440747,0.29726705748032844,0.013601094896210647,0.3,,1.0,,2.2087,119.90022281114,-61.35182331059
