Index,Vmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
31,5.9049982943955035,0.6265676017877347,0.01718105414908555,0.98,1,99.0,6.76,2.6341,83.77388208106,-5.40514703267
34,5.974998294395505,0.6165103383087641,0.01718105414908555,0.86,1,99.0,9.8,2.5907,83.77254195077,-5.45474878235
36,4.624998294395503,0.8104718482603359,0.01718105414908555,0.83,1,99.0,,1.8048,83.8224454091,-5.40007301354
48,5.154998294395504,0.7343239962052743,0.01718105414908555,0.74,1,99.0,7.2,2.462,83.83748088119,-5.27708236187
49,3.6649982943955037,0.9484000331147867,0.01718105414908555,0.73,1,99.0,,2.5043,83.80855328511,-5.33111110378
51,5.964998294395505,0.6179470902343314,0.01718105414908555,0.72,1,99.0,4.91,2.6097,83.96677053566,-5.47976934758
52,5.674998294395504,0.6596128960757801,0.01718105414908555,0.72,1,99.0,7.46,2.4319,83.8407240058,-5.39425339393
54,4.874998294395502,0.7745530501211562,0.01718105414908555,0.71,1,99.0,2.0,2.2931,83.8457153666,-5.37820975839
57,7.374998294395505,0.41536506872935663,0.01718105414908555,0.69,1,99.0,,2.7151,83.83267348571,-5.41330028141
63,4.584998294395504,0.8162188559626046,0.01718105414908555,0.68,1,99.0,4.48,2.4203,83.80433856736,-5.34172490145
67,6.484998294395504,0.5432359901048373,0.01718105414908555,0.66,1,98.0,4.94,2.4879,83.77455708613,-5.45251028091
70,6.584998294395503,0.5288684708491653,0.01718105414908555,0.65,1,98.0,7.01,2.5727,83.71139345709,-5.45028263248
73,6.364998294395505,0.5604770132116434,0.01718105414908555,0.64,1,99.0,6.58,2.5408,83.8767709174,-5.427401711
76,6.024998294395505,0.6093265786809281,0.01718105414908555,0.63,1,99.0,7.92,2.8491,83.85837878918,-5.42996336474
78,8.374998294395505,0.27168987617263696,0.01718105414908555,0.63,1,99.0,8.21,2.6717,83.63294379541,-5.44355333775
79,6.034998294395504,0.6078898267553611,0.01718105414908555,0.62,1,99.0,0.67,2.4711,83.72579031037,-5.48175168892
83,6.9049982943955035,0.48289240923101506,0.01718105414908555,0.6,1,99.0,4.62,2.4526,83.91256415255,-5.35050544002
94,7.064998294395505,0.45990437842193965,0.01718105414908555,0.51,1,99.0,7.29,2.4614,83.6912849901,-5.41551619751
95,6.744998294395504,0.50588044004009,0.01718105414908555,0.51,1,99.0,3.77,2.4925,83.84302969403,-5.40396339799
97,6.314998294395505,0.5676607728394794,0.01718105414908555,0.5,1,99.0,7.81,2.4918,83.83352501708,-5.42712736608
98,6.174998294395504,0.5877752997974203,0.01718105414908555,0.49,1,99.0,8.25,2.475,83.84803025729,-5.31584665041
99,6.834998294395505,0.49294967270998513,0.01718105414908555,0.49,1,99.0,11.68,2.5249,84.12393954302,-5.33525806731
104,6.694998294395504,0.513064199667926,0.01718105414908555,0.46,1,99.0,3.32,2.4555,83.83458224786,-5.51099366477
106,6.674998294395504,0.5159377035190604,0.01718105414908555,0.45,1,99.0,8.2,2.4367,83.71985036084,-5.46532938253
124,7.684998294395504,0.3708257590367736,0.01718105414908555,0.41,1,99.0,7.52,2.6249,83.6297672434,-5.36551208311
125,6.894998294395505,0.4843291611565821,0.01718105414908555,0.41,1,99.0,13.33,2.4915,83.8061261549,-5.28618121688
128,6.254998294395506,0.5762812843928825,0.01718105414908555,0.41,1,99.0,3.01,,83.68641720626,-5.56169992101
129,7.804998294395503,0.3535847359299673,0.01718105414908555,0.41,1,99.0,5.81,2.44,83.7899933553,-5.4730293775
132,6.524998294395504,0.5374889824025685,0.01718105414908555,0.4,1,99.0,5.29,3.0669,83.8111127707,-5.38384387092
136,6.504998294395504,0.5403624862537029,0.01718105414908555,0.38,1,99.0,5.62,2.4811,83.80745992742,-5.32373122182
138,7.444998294395503,0.40530780525038645,0.01718105414908555,0.38,1,99.0,3.5,2.5299,83.7669374778,-5.44366133118
139,7.514998294395504,0.39525054177141605,0.01718105414908555,0.38,1,99.0,9.71,2.5203,83.70653862107,-5.48426745717
142,6.004998294395504,0.6122000825320627,0.01718105414908555,0.38,1,99.0,,2.3932,83.77291854175,-5.46452478484
143,7.6849982943955055,0.3708257590367734,0.01718105414908555,0.38,1,99.0,,2.2394,83.84993902368,-5.41941753649
144,8.164998294395504,0.30186166660954816,0.01718105414908555,0.38,1,99.0,2.98,2.4738,83.89836100524,-5.26200442538
148,8.974998294395505,0.1854847606386052,0.01718105414908555,0.38,1,99.0,2.83,2.5684,83.80633363247,-5.37209916945
154,9.124998294395503,0.16393348175509748,0.01718105414908555,0.37,1,99.0,2.03,2.4206,83.80726364699,-5.37277467799
159,8.404998294395504,0.2673796203959353,0.01718105414908555,0.36,1,99.0,6.94,2.5226,83.84106310577,-5.36897308163
163,7.364998294395504,0.41680182065492377,0.01718105414908555,0.36,1,99.0,5.17,-0.7016,83.81622582849,-5.48136412156
164,7.474998294395505,0.4009975494736846,0.01718105414908555,0.36,1,99.0,1.26,2.493,83.73548497942,-5.46416442631
166,7.474998294395505,0.4009975494736846,0.01718105414908555,0.36,1,99.0,6.52,2.2815,83.80662661716,-5.34204442436
168,8.124998294395501,0.3076086743118174,0.01718105414908555,0.35,1,99.0,0.77,,83.94783316738,-5.38041735105
169,7.4849982943955045,0.39956079754811746,0.01718105414908555,0.35,1,99.0,5.13,2.4665,83.87359014034,-5.52012086559
172,7.554998294395505,0.38950353406914706,0.01718105414908555,0.35,1,99.0,2.95,2.4416,83.63201942626,-5.47413625332
173,7.894998294395503,0.34065396859986263,0.01718105414908555,0.35,1,99.0,6.4,2.355,83.84502037171,-5.52702850151
174,7.684998294395503,0.37082575903677384,0.01718105414908555,0.35,1,99.0,5.29,2.4855,83.97763664756,-5.45213584662
175,7.764998294395504,0.3593317436322361,0.01718105414908555,0.35,1,99.0,6.03,2.491,83.85102478441,-5.49922363652
176,7.264998294395505,0.4311693399105958,0.01718105414908555,0.35,1,99.0,8.45,2.5273,83.78555434939,-5.42166867246
177,6.784998294395503,0.5001334323378214,0.01718105414908555,0.35,1,99.0,8.55,2.5242,83.7674779496,-5.44107305833
181,7.844998294395505,0.3478377282276983,0.01718105414908555,0.34,1,99.0,6.63,2.4509,83.8383960908,-5.55488578728
184,8.714998294395505,0.2228403107033523,0.01718105414908555,0.33,1,99.0,10.0,2.3483,83.82726469978,-5.30571537277
185,8.354998294395504,0.27456338002377145,0.01718105414908555,0.33,1,99.0,0.84,2.4295,83.82623768724,-5.4795160741
187,6.814998294395506,0.4958231765611194,0.01718105414908555,0.33,1,99.0,5.09,2.3456,83.83853183339,-5.38319002848
188,7.9449982943955035,0.3334702089720265,0.01718105414908555,0.32,1,99.0,,3.3898,83.75436220678,-5.40283839532
189,6.784998294395503,0.5001334323378214,0.01718105414908555,0.32,1,99.0,7.92,2.4276,83.7562044816,-5.47242387505
190,7.974998294395503,0.3291599531953251,0.01718105414908555,0.32,1,99.0,1.92,-0.9861,83.81449926547,-5.45631931076
192,7.434998294395502,0.4067445571759538,0.01718105414908555,0.32,1,99.0,6.54,2.4127,83.71940199521,-5.49593830845
194,6.994998294395503,0.4699616419009103,0.01718105414908555,0.32,1,99.0,3.69,2.4048,83.86840526895,-5.31725266013
196,6.844998294395505,0.491512920784418,0.01718105414908555,0.31,1,99.0,3.23,2.5778,83.7034196049,-5.55918609838
200,8.364998294395505,0.2731266280982041,0.01718105414908555,0.31,1,99.0,1.7,2.1679,83.80297682717,-5.27039162915
202,7.124998294395502,0.45128386686853683,0.01718105414908555,0.31,1,99.0,7.11,1.5842,83.7910524736,-5.32608354732
203,7.884998294395505,0.34209072052542955,0.01718105414908555,0.31,1,99.0,5.62,2.4965,83.81808976777,-5.38029702809
206,7.654998294395503,0.37513601481347547,0.01718105414908555,0.3,1,99.0,5.99,,83.80687489391,-5.47955590953
209,7.774998294395504,0.35789499170666894,0.01718105414908555,0.3,1,99.0,,2.4992,83.82178921157,-5.34103090922
210,7.454998294395503,0.4038710533248193,0.01718105414908555,0.3,1,99.0,2.71,2.4404,83.86458125582,-5.45722216042
211,8.004998294395506,0.324849697418623,0.01718105414908555,0.3,1,99.0,5.73,2.4734,83.76919940866,-5.43974528812
213,8.184998294395502,0.2989881627584141,0.01718105414908555,0.3,1,99.0,0.96,2.2866,83.80869728811,-5.37680892552
214,6.384998294395501,0.5576035093605096,0.01718105414908555,0.3,1,99.0,2.25,2.5525,83.82494168622,-5.26071644794
215,5.954998294395505,0.6193838421598985,0.01718105414908555,0.3,1,99.0,,2.5221,83.79040188592,-5.35691070966
216,8.234998294395504,0.29180440313057776,0.01718105414908555,0.3,1,99.0,6.12,2.4246,83.81549208747,-5.44123008577
223,7.9449982943955035,0.3334702089720265,0.01718105414908555,0.29,1,99.0,0.77,2.2502,83.85472937532,-5.37365960213
229,8.214998294395503,0.29467790698171226,0.01718105414908555,0.29,1,99.0,1.66,2.7394,83.82481928136,-5.5877159407
230,8.614998294395505,0.23720782995902412,0.01718105414908555,0.29,1,99.0,4.52,2.5389,83.71339101336,-5.28191657197
231,7.544998294395503,0.3909402859947144,0.01718105414908555,0.29,1,99.0,2.81,2.4994,83.87041848439,-5.58522944565
232,8.494998294395506,0.2544488530658304,0.01718105414908555,0.29,1,99.0,7.64,2.5116,83.89457762444,-5.57727213182
233,8.534998294395505,0.24870184536356166,0.01718105414908555,0.29,1,99.0,8.85,2.5308,83.83123400331,-5.61439575238
237,8.824998294395506,0.2070360395221129,0.01718105414908555,0.28,1,99.0,13.87,0.8448,83.72846777315,-5.42013141613
240,8.884998294395505,0.19841552796870987,0.01718105414908555,0.28,1,99.0,1.99,2.3969,83.71024058546,-5.27492708895
241,9.644998294395506,0.08922238162560259,0.01718105414908555,0.28,1,99.0,2.78,2.3663,83.7413631269,-5.49612465772
242,8.474998294395505,0.2573223569169649,0.01718105414908555,0.28,1,99.0,3.0,2.9854,83.88000626525,-5.20780230568
243,8.824998294395504,0.20703603952211314,0.01718105414908555,0.28,1,99.0,1.36,2.5003,83.74544310163,-5.46758385604
245,8.874998294395503,0.19985227989427723,0.01718105414908555,0.28,1,99.0,6.58,2.6018,83.72769914891,-5.47173365874
250,8.244998294395504,0.2903676512050106,0.01718105414908555,0.27,1,99.0,2.72,2.3867,83.8498700119,-5.31875287939
251,8.654998294395503,0.2314608222567558,0.01718105414908555,0.27,1,99.0,6.33,3.1645,83.72264526923,-5.17441954085
254,7.564998294395505,0.3880667821435797,0.01718105414908555,0.27,1,99.0,5.56,2.4721,83.70400237595,-5.47136051285
255,8.764998294395504,0.2156565510755164,0.01718105414908555,0.27,1,99.0,5.76,2.6545,83.95910354446,-5.35472016609
256,8.774998294395504,0.21421979914994926,0.01718105414908555,0.27,1,99.0,5.28,2.8221,83.80328123307,-5.34417421071
257,9.514998294395506,0.10790015665797625,0.01718105414908555,0.27,1,99.0,2.0,2.482,83.89834830215,-5.6522731807
