Index,Gmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
7,11.298231661666396,0.19903563688339632,0.04209712602898778,0.221,1,1,,8.0292,43.05405781166,24.53806628556
23,9.418120661666396,0.43469320307947723,0.04209712602898778,0.455,1,1,,7.76,45.07867884041,25.58891818185
24,11.322908661666396,0.19594256325049852,0.04209712602898778,0.206,1,1,,7.0442,45.07994502495,29.34559168043
25,7.096307661666396,0.7257147442238149,0.04209712602898778,0.718,1,1,,7.952,45.31788349496,14.06517484957
27,10.427222661666397,0.30820996811962753,0.04209712602898778,0.319,1,1,,6.9935,45.44326058848,21.73464809457
28,9.885474661666397,0.3761139456888214,0.04209712602898778,0.398,1,1,,6.8767,45.44626054805,26.28811325526
31,11.534305661666394,0.16944556253024712,0.04209712602898778,0.193,1,1,,7.4938,45.70893891855,18.22288157071
33,9.665275661666396,0.40371420993854445,0.04209712602898778,0.425,1,1,,8.2894,45.82810425385,31.75830115924
35,10.320137661666395,0.32163225567398346,0.04209712602898778,0.333,1,1,,6.763,46.07208368036,19.12818624983
36,11.179613661666394,0.21390349797619712,0.04209712602898778,0.223,1,1,,6.9371,46.10997757958,33.28394109181
42,11.130054661666396,0.22011534042757974,0.04209712602898778,0.23,1,1,,7.799,46.93316148136,24.84403425363
43,10.716863661666395,0.27190567910126706,0.04209712602898778,0.279,1,1,,8.5609,47.00546738298,29.24193828153
44,9.272056661666396,0.4530012108241608,0.04209712602898778,0.472,1,1,,8.8132,47.02345584981,28.70405790908
52,9.839083661666397,0.38192870351609987,0.04209712602898778,0.419,1,1,,6.1001,47.39186879692,22.19036997135
53,6.718434661666397,0.7730782411190575,0.04209712602898778,0.762,1,1,,7.9774,47.40077507939,24.90662827453
54,11.459617661666396,0.1788071333651886,0.04209712602898778,0.194,1,1,,9.1877,47.52860317166,29.57126273286
56,10.292632661666396,0.32507979752562055,0.04209712602898778,0.337,1,1,,7.3353,47.65902862354,29.57156725907
57,9.833151661666395,0.38267223444734566,0.04209712602898778,0.405,1,1,,7.2037,47.74741291102,21.42069204051
58,11.494341661666397,0.17445474495376345,0.04209712602898778,0.192,1,1,,7.3832,47.88575628859,34.71341541191
59,7.308965661666395,0.6990596867766078,0.04209712602898778,0.698,1,1,,7.1232,47.97014303439,25.84524645338
66,9.853204661666396,0.3801587439274081,0.04209712602898778,0.402,1,1,,9.2433,48.23416105988,30.34797109308
71,9.869643661666396,0.378098240728024,0.04209712602898778,0.4,1,1,,7.5814,48.54405888589,29.36329180042
73,8.817879661666396,0.5099288318221962,0.04209712602898778,0.527,1,1,,9.2031,48.57565904082,23.64934188663
75,8.042158661666397,0.6071595394278588,0.04209712602898778,0.617,1,1,,8.6431,48.65584203464,31.61147022426
76,11.601629661666397,0.16100701289855768,0.04209712602898778,0.186,1,1,,8.5513,48.66662268844,31.15277128249
77,11.575285661666395,0.1643090322601113,0.04209712602898778,0.187,1,1,,7.3852,48.71057218604,31.55171269779
82,10.083103661666396,0.3513426587011035,0.04209712602898778,0.369,1,1,,7.7025,48.90396482002,27.77818042509
85,8.990176661666396,0.4883327177188872,0.04209712602898778,0.546,1,1,,9.5601,49.12234627981,28.46433656486
87,11.346518661666398,0.1929832299250247,0.04209712602898778,0.201,1,1,,6.7466,49.14872445592,29.75539958205
94,9.041815661666396,0.48186016314056745,0.04209712602898778,0.5,1,1,,7.1739,49.45477887174,24.34782888117
99,10.316784661666397,0.32205252863630074,0.04209712602898778,0.334,1,1,,7.1996,49.67108158754,25.78521785301
102,11.315473661666395,0.19687448376193006,0.04209712602898778,0.207,1,1,,6.1934,49.93945844957,31.33630533156
103,9.785099661666395,0.3886951859490677,0.04209712602898778,0.41,1,1,,8.7098,49.98283501438,24.00819401735
115,10.655212661666397,0.279633161475209,0.04209712602898778,0.287,1,1,,8.16,50.31235070619,21.85964129587
117,11.245836661666395,0.20560295029246833,0.04209712602898778,0.216,1,1,,6.3342,50.35725724186,24.67706586427
118,11.202165661666395,0.2110767768768289,0.04209712602898778,0.221,1,1,,7.2622,50.44783648985,25.29600227874
119,8.947893661666397,0.4936325690954648,0.04209712602898778,0.511,1,1,,7.6674,50.4636286995,24.28066004279
122,10.619463661666398,0.28411402581457157,0.04209712602898778,0.292,1,1,,6.7938,50.57362144044,26.05563225547
