Index,Kmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
11,5.279359821608809,0.2443724691062356,0.012963976336862026,0.289,2,1.0,29.7371,6.9716,246.37370823812,-22.24851449481
13,6.389359821608808,0.15461002965911141,0.012963976336862026,0.252,2,1.0,1.0026,3.5439,246.37478375201,-23.59343055005
17,6.009359821608809,0.1853395134338025,0.012963976336862026,0.143,2,1.0,1.0897,7.266,246.38636250324,-26.19418108663
22,5.939359821608809,0.19100020781335092,0.012963976336862026,0.25,2,1.0,0.2951,0.16,246.40757203964,-24.22883815986
23,6.1293598216088085,0.17563546592600532,0.012963976336862026,0.192,2,1.0,0.555,0.4547,246.40787741747,-24.71851534798
27,5.609359821608809,0.21768633845979324,0.012963976336862026,0.213,2,1.0,0.6164,7.2013,246.42869303711,-23.42402763842
28,4.4993598216088095,0.3074487779069175,0.012963976336862026,0.271,2,2.0,0.4201,7.7264,246.43003718099,-22.50092323831
31,5.889359821608808,0.1950435609415998,0.012963976336862026,0.132,2,1.0,0.8346,6.9509,246.4551492089,-25.91044612363
34,4.1293598216088085,0.33736959105595904,0.012963976336862026,0.155,2,3.0,0.4594,7.1771,246.46049941191,-24.65414944562
38,5.139359821608808,0.25569385786533244,0.012963976336862026,0.197,2,3.0,0.369,7.4109,246.48370745783,-24.50426153961
40,6.06935982160881,0.18048748967990386,0.012963976336862026,0.207,2,1.0,1.806,7.2959,246.48962714672,-24.50894226289
51,4.47935982160881,0.309066119158217,0.012963976336862026,0.28,2,3.0,0.9991,7.1448,246.53881047417,-24.57017119666
54,5.689359821608809,0.2112169734545951,0.012963976336862026,0.247,2,1.0,1.4471,0.2649,246.55766105426,-24.81307201217
55,6.859359821608809,0.11660251025357216,0.012963976336862026,0.181,2,3.0,1.1411,7.2769,246.57020036022,-24.37321825344
62,5.869359821608809,0.19666090219289928,0.012963976336862026,0.175,2,3.0,1.3178,7.7841,246.58177338976,-21.62254419168
63,5.459359821608809,0.22981639784453983,0.012963976336862026,0.28,2,3.0,1.7686,7.4773,246.58319240666,-22.96956242784
65,6.199359821608809,0.1699747715464569,0.012963976336862026,0.229,2,1.0,0.6137,7.4959,246.5839756073,-22.55363915739
68,5.769359821608809,0.20474760844939693,0.012963976336862026,0.269,2,1.0,2.5101,7.3371,246.58970147124,-24.4337237196
70,5.07935982160881,0.2605458816192309,0.012963976336862026,0.289,2,3.0,0.7418,7.5345,246.59252261902,-22.00258308876
74,6.31935982160881,0.1602707240386596,0.012963976336862026,0.264,2,3.0,0.9672,7.1692,246.60017022174,-24.41347230222
80,6.609359821608809,0.13681927589481646,0.012963976336862026,0.174,2,1.0,0.9839,7.217,246.61679819443,-25.44669847697
91,5.5493598216088085,0.2225383622136919,0.012963976336862026,0.204,2,3.0,1.8469,7.0541,246.66519261599,-22.57240040499
96,6.349359821608809,0.15784471216171037,0.012963976336862026,0.188,2,3.0,0.3588,6.418,246.67865161539,-27.12837887192
101,5.97935982160881,0.18776552531075175,0.012963976336862026,0.173,2,1.0,1.9986,7.306,246.68506503472,-24.78725699376
102,6.789359821608809,0.12226320463312057,0.012963976336862026,0.144,2,2.0,0.6008,9.0853,246.68759385545,-24.38562385949
105,5.529359821608809,0.22415570346499142,0.012963976336862026,0.21,2,3.0,0.5179,7.31,246.70043965781,-24.70101466481
108,6.059359821608808,0.18129616030555373,0.012963976336862026,0.187,2,3.0,0.944,7.3593,246.71034915476,-24.23130176078
110,4.339359821608809,0.3203875079173138,0.012963976336862026,0.229,2,3.0,0.8214,7.5524,246.73410095904,-22.23121748917
112,5.839359821608809,0.19908691406984858,0.012963976336862026,0.183,2,2.0,0.6198,7.3251,246.73654944432,-24.2310946161
113,4.519359821608809,0.305831436655618,0.012963976336862026,0.181,2,3.0,0.5201,,246.74348395821,-24.75895126191
122,4.8793598216088085,0.2767192941322264,0.012963976336862026,0.275,2,3.0,0.5255,6.9613,246.78779680536,-24.20033161536
128,5.609359821608809,0.21768633845979324,0.012963976336862026,0.182,2,3.0,0.5123,9.1317,246.80211639342,-27.1895284252
129,6.779359821608809,0.12307187525877039,0.012963976336862026,0.289,2,3.0,1.6401,7.3633,246.80303502875,-25.06728581933
131,5.559359821608808,0.22172969158804218,0.012963976336862026,0.304,2,1.0,1.6968,7.1056,246.80755439918,-24.72556520521
135,5.72935982160881,0.20798229095199594,0.012963976336862026,0.156,2,1.0,0.761,4.9834,246.81840184158,-17.2533095831
141,5.039359821608809,0.2637805641218301,0.012963976336862026,0.292,2,3.0,0.5312,5.7487,246.84549943288,-24.29937743317
142,6.009359821608809,0.1853395134338025,0.012963976336862026,0.149,2,1.0,1.4821,7.3402,246.84566706343,-24.8020997632
150,4.029359821608809,0.3454562973124567,0.012963976336862026,0.301,2,3.0,0.325,7.0478,246.87849951262,-24.41570179748
158,4.759359821608809,0.28642334164002353,0.012963976336862026,0.217,2,3.0,1.9313,7.1591,246.91091642068,-24.64434045235
162,5.1293598216088085,0.2565025284909822,0.012963976336862026,0.247,2,3.0,0.2639,5.8774,246.92039580238,-26.18251883559
164,7.279359821608809,0.08263834397628189,0.012963976336862026,0.181,2,3.0,0.6493,5.8977,246.93080490777,-20.56730844147
165,6.689359821608809,0.13034991088961823,0.012963976336862026,0.14,2,1.0,1.5936,7.298,246.93837874946,-25.05925788986
166,6.199359821608809,0.1699747715464569,0.012963976336862026,0.269,2,1.0,0.5272,6.9161,246.94284199615,-24.52823989134
