Index,Kmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
10,3.6113608199120346,0.8812000907125896,0.06036238380157702,0.94,1,1.0,4.46,0.4363,34.94234076111,57.16078385036
16,3.8213608199120355,0.7979774131056963,0.06036238380157702,0.96,1,1.0,11.0,-0.0804,34.93642572894,57.24371956355
28,4.061360819912034,0.7028657815549619,0.06036238380157702,0.73,1,1.0,2.15,0.606,34.94317443053,57.12518484023
33,3.8313608199120353,0.794014428457749,0.06036238380157702,0.76,2,1.0,0.743,-0.1423,34.96463664961,57.14263532402
37,3.761360819912035,0.8217553209933801,0.06036238380157702,1.0,1,1.0,5.32,0.1068,34.94177360922,57.06143142842
39,3.7113608199120343,0.841570244233117,0.06036238380157702,0.93,1,1.0,2.12,0.1605,34.51278124804,57.27104918826
48,3.801360819912034,0.8059033824015913,0.06036238380157702,0.88,1,1.0,0.578,0.5884,34.52749700383,57.2540536327
50,4.0313608199120345,0.7147547354988035,0.06036238380157702,0.76,1,1.0,0.37,-0.0262,34.64055431984,57.1960997338
52,3.7913608199120343,0.8098663670495385,0.06036238380157702,0.88,1,1.0,0.764,0.6036,34.56342482852,57.08542242012
56,3.591360819912035,0.889126060008484,0.06036238380157702,0.99,1,1.0,1.51,0.4585,34.49664108187,57.27565200605
61,4.441360819912035,0.5522723649329646,0.06036238380157702,0.53,1,1.0,0.539,2.6183,34.57412362144,57.18093586273
72,3.7413608199120354,0.8296812902892745,0.06036238380157702,0.86,1,1.0,7.09,0.3026,34.81973373834,57.20120819003
85,3.801360819912034,0.8059033824015913,0.06036238380157702,0.91,1,1.0,5.29,0.3462,35.00936749406,57.06358456991
92,4.231360819912034,0.635495042539858,0.06036238380157702,0.65,1,1.0,0.405,1.4375,34.60192639832,57.15784705333
93,4.471360819912036,0.5403834109891221,0.06036238380157702,0.56,1,1.0,4.22,0.4358,34.97228627878,57.12275129724
99,3.8213608199120355,0.7979774131056963,0.06036238380157702,0.87,1,1.0,7.14,0.5511,34.64946517196,57.20342717601
101,4.191360819912035,0.6513469811316468,0.06036238380157702,0.63,1,1.0,4.85,0.6596,34.52858048298,57.08746594099
109,3.8213608199120355,0.7979774131056963,0.06036238380157702,0.85,1,1.0,0.424,0.4252,34.64458070188,57.17577623286
114,3.811360819912034,0.8019403977536441,0.06036238380157702,0.88,1,1.0,0.707,0.5584,34.80955078975,57.26871956096
117,3.981360819912034,0.7345696587385402,0.06036238380157702,0.92,1,1.0,5.29,0.4251,34.89288306921,57.00255214104
118,3.601360819912035,0.8851630753605368,0.06036238380157702,0.85,2,1.0,4.41,0.0097,34.53163341786,57.19211639792
126,3.7713608199120348,0.8177923363454329,0.06036238380157702,0.94,1,1.0,0.282,0.6329,34.59233521447,57.15453322479
127,3.561360819912034,0.9010150139523265,0.06036238380157702,0.92,2,1.0,2.94,0.3135,34.72850172601,57.09200769373
137,4.391360819912034,0.5720872881727013,0.06036238380157702,0.55,1,1.0,0.356,-0.2877,34.9944559077,57.18276586241
138,3.6613608199120353,0.861385167472853,0.06036238380157702,0.99,1,1.0,2.38,-0.0406,34.60915668983,57.05308859577
139,4.141360819912034,0.6711619043713835,0.06036238380157702,0.67,1,1.0,0.493,0.2713,34.8531399025,57.17201279906
141,3.221360819912034,1.0357564919825342,0.06036238380157702,0.96,2,1.0,0.503,-0.2704,34.9601397972,57.18071451023
144,4.061360819912034,0.7028657815549619,0.06036238380157702,0.77,1,1.0,3.32,0.5148,34.89556433654,57.00164452292
147,4.041360819912034,0.7107917508508563,0.06036238380157702,0.7,1,1.0,0.294,0.4234,34.5549565602,57.12956321731
151,4.0313608199120345,0.7147547354988035,0.06036238380157702,0.82,1,1.0,5.52,0.429,34.97155095898,57.05222778624
161,4.161360819912035,0.6632359350754884,0.06036238380157702,0.68,1,1.0,0.485,0.9707,34.63717748624,57.140898624
163,3.7413608199120354,0.8296812902892745,0.06036238380157702,0.99,1,1.0,7.3,-0.3403,34.69400625143,57.22701988913
165,4.011360819912035,0.7226807047946979,0.06036238380157702,0.66,2,1.0,1.42,1.0378,34.98259398666,57.0670170511
166,3.671360819912035,0.8574221828249058,0.06036238380157702,1.0,1,1.0,6.58,0.3636,34.94906703448,57.06065325495
167,3.591360819912035,0.889126060008484,0.06036238380157702,0.93,1,1.0,5.75,0.0225,34.76652727643,57.09667095877
170,4.111360819912035,0.6830508583152253,0.06036238380157702,0.72,1,1.0,2.92,1.3253,35.00607831365,57.04830939834
175,4.961360819912034,0.3461971632397056,0.06036238380157702,0.38,1,1.0,0.756,,0.0,0.0
179,4.521360819912033,0.5205684877493868,0.06036238380157702,0.47,1,1.0,0.437,1.061,34.58099308652,57.19660105054
