recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Mass,s_Mass,Lum,s_Lum,Gmag,Teff,Mass_calc,Mass_e
1,1-1-1470,07 57 08.92,-61 29 18.60,8.803,17.6,15.45,13.47,26,0.56,<,8.0,,-1.23,0.016,52,-0.77,0.45,0.5,-4.47,1,1,0.539,0.022,0.04646,0.01134,16.77143,4163.5,0.7,0.009349559060936414
2,1-1-1667,07 57 16.58,-61 31 38.70,1.347,15.82,14.5,12.72,44,0.16,,22.0,,-0.88,0.01,35,-1.41,0.42,0.59,-4.49,1,1,0.69,,0.13815,,15.508957,4463.4,0.7173732718894008,0.009349559060936414
3,1-1-1880,07 57 24.78,-61 25 56.57,,18.92,16.46,14.24,14,2.82,<,8.0,*,-1.62,,81,,0.07,0.01,-5.27,0,1,0.589,0.031,0.04696,0.01392,17.903868,3655.3,0.4790683229813666,0.009349559060936414
4,1-1-194,07 56 22.57,-61 27 01.49,,19.53,16.62,13.99,13,30.38,<,8.0,*,-1.63,,82,,0.08,0.02,-5.25,0,1,,,,,18.416819,,,0.009349559060936414
5,1-1-1949,07 57 28.44,-61 30 08.22,,20.51,17.68,15.4,5,10.0,,16.8,*,-2.06,,135,,0.1,0.03,-5.17,0,1,,,,,19.623985,,,0.009349559060936414
6,1-1-2241,07 57 37.82,-61 26 53.31,,20.17,17.24,14.92,7,0.1,,20.9,,-1.87,,108,,0.34,0.22,-4.65,0,1,0.3,0.036,0.01033,0.00384,18.83382,3287.2,0.2170129870129869,0.009349559060936414
7,1-1-2403,07 57 43.35,-61 30 44.59,,20.11,17.24,15.0,7,3.42,,20.6,,-1.88,,110,,0.16,0.13,-4.96,0,1,,,,,18.8518,,,0.009349559060936414
8,1-1-2490,07 57 47.14,-61 30 37.50,0.968,19.76,16.94,14.69,10,1.43,,25.6,,-1.77,0.018,96,-2.0,0.29,0.28,-4.7,1,1,0.324,0.031,0.01246,0.00406,18.484156,3297.4,0.2236363636363637,0.009349559060936414
9,1-1-251,07 56 24.19,-61 27 25.90,,18.25,15.93,13.94,20,5.97,<,8.0,*,-1.41,,64,,-0.03,0.0,,0,1,0.44,0.024,0.02688,0.00695,17.322197,3655.2,0.4790062111801241,0.009349559060936414
10,1-1-2695,07 57 56.09,-61 32 28.57,,20.44,17.52,14.95,6,2.24,,44.7,,-1.98,,123,,0.41,0.52,-4.56,0,1,,,,,19.16482,,,0.009349559060936414
11,1-1-2698,07 57 56.15,-61 29 38.17,,17.92,15.51,13.35,25,13.6,<,8.0,*,-1.24,,52,,0.05,0.05,-5.42,0,1,0.637,0.078,0.0579,0.0291,17.145798,,,0.009349559060936414
12,1-1-3201,07 58 16.47,-61 31 20.67,,16.83,14.79,12.77,33,12.87,<,8.0,*,-0.97,,39,,0.08,0.09,-5.24,0,1,0.594,0.021,0.06357,0.01481,16.039156,4142.7,0.7,0.009349559060936414
13,1-1-3254,07 58 19.38,-61 32 50.38,,17.12,15.15,13.15,25,0.52,<,8.0,,-1.12,,46,,0.26,0.38,-4.7,0,1,0.588,0.021,0.06536,0.01524,16.434183,,,0.009349559060936414
14,1-1-3264,07 58 20.21,-61 33 53.80,1.32,19.43,16.72,14.32,11,2.5,,24.1,,-1.7,0.016,89,-1.83,0.63,0.5,-4.35,1,1,0.401,0.03,0.0185,0.00568,18.234587,3388.0,0.2824675324675325,0.009349559060936414
15,1-1-3449,07 58 25.36,-61 29 01.88,,18.96,16.41,14.22,12,19.28,<,8.0,*,-1.59,,79,,0.0,-0.03,-6.66,0,1,0.34,0.025,0.01545,0.00428,17.889477,3532.4,0.4027329192546585,0.009349559060936414
16,1-1-351,07 56 28.22,-61 27 46.60,2.318,18.84,16.31,14.17,16,1.4,,14.4,,-1.55,0.016,75,-1.51,0.49,0.46,-4.45,1,1,0.392,0.025,0.0191,0.00524,17.795523,3482.7,0.3599115044247786,0.009349559060936414
17,1-1-3651,07 58 32.96,-61 32 35.29,,18.26,16.04,13.82,15,10.19,<,8.0,*,-1.46,,68,,0.06,0.03,-5.32,0,1,0.628,0.026,0.06567,0.01726,17.351831,3743.7,0.5193971631205673,0.009349559060936414
18,1-1-3695,07 58 34.29,-61 27 08.00,9.606,16.91,14.94,12.97,33,1.77,<,8.0,*,-1.04,0.015,42,-0.64,0.31,0.37,-4.62,1,1,0.605,0.021,0.0751,0.01716,16.163008,,,0.009349559060936414
19,1-1-3971,07 58 43.53,-61 33 40.48,,19.47,16.6,14.18,10,16.6,<,8.0,*,-1.63,,82,,0.11,-0.05,-5.11,0,1,0.368,0.027,0.01517,0.00449,18.12168,,,0.009349559060936414
20,1-1-958,07 56 49.99,-61 32 19.90,6.291,18.36,15.95,13.63,19,1.06,<,8.0,,-1.41,0.015,64,-1.01,0.41,0.47,-4.52,1,1,0.489,0.024,0.0322,0.00839,17.31821,3356.5,0.26201298701298703,0.009349559060936414
21,1-1-998,07 56 51.49,-61 30 40.05,,19.12,16.52,14.37,14,0.16,,33.2,,-1.63,,82,,0.39,0.37,-4.54,0,1,0.397,0.028,0.01846,0.00545,18.015095,3459.6,0.3394690265486725,0.009349559060936414
22,1-2-126,07 56 19.96,-61 19 29.50,0.869,20.09,17.27,14.81,7,0.32,<,8.0,,-1.9,0.021,112,-2.11,0.83,0.78,-4.24,1,1,0.35,0.044,0.01388,0.00551,18.83699,3291.2,0.2196103896103895,0.009349559060936414
23,1-2-1835,07 57 21.32,-61 16 48.64,,15.64,13.9,12.12,45,11.01,<,8.0,*,-0.67,,27,,0.12,0.16,-4.99,0,1,0.574,0.057,0.06051,0.02412,15.38166,,,0.009349559060936414
24,1-2-1929,07 57 24.32,-61 17 29.60,1.244,18.36,15.92,13.55,20,1.18,,24.2,,-1.4,0.016,63,-1.71,0.36,0.5,-4.58,1,1,,,,,17.509007,,,0.009349559060936414
25,1-2-2281,07 57 36.33,-61 21 29.30,10.374,17.24,15.23,13.25,26,0.12,<,8.0,,-1.15,0.015,48,-0.66,0.32,0.33,-4.62,1,1,0.57,0.022,0.06112,0.01436,16.492315,4130.0,0.7,0.009349559060936414
26,1-2-2473,07 57 43.60,-61 17 27.61,,19.53,16.93,14.5,10,7.78,<,8.0,*,-1.79,,99,,0.06,-0.07,-5.38,0,1,0.288,0.028,0.01084,0.00341,18.40064,3422.0,0.30619469026548674,0.009349559060936414
27,1-2-2479,07 57 43.86,-61 23 14.03,,16.19,14.81,12.99,36,106.67,<,8.0,*,-1.01,,40,,-0.14,-0.15,,0,1,,,,,15.750958,4962.3,0.8362532299741603,0.009349559060936414
28,1-2-2491,07 57 44.72,-61 23 32.70,1.739,18.55,16.12,14.02,18,0.91,,10.7,,-1.48,0.006,69,-1.6,0.51,0.51,-4.43,1,1,0.475,0.026,0.0301,0.00819,17.50931,3708.8,0.5070212765957447,0.009349559060936414
29,1-2-2564,07 57 46.96,-61 18 55.33,,15.91,14.58,12.73,39,6.8,<,8.0,*,-0.92,,36,,0.5,0.61,-4.42,0,1,0.645,0.022,0.11169,0.02487,15.635106,4864.6,0.8110077519379846,0.009349559060936414
30,1-2-2597,07 57 48.84,-61 21 50.72,,19.86,17.09,14.85,8,11.76,<,8.0,*,-1.83,,104,,0.22,0.29,-4.82,0,1,0.349,0.036,0.01461,0.00513,18.595469,3452.9,0.33353982300884966,0.009349559060936414
31,1-2-271,07 56 24.97,-61 21 39.24,,18.24,15.96,13.7,18,0.64,,11.3,,-1.43,,65,,0.49,0.61,-4.44,0,1,0.499,0.024,0.03519,0.00917,17.271698,,,0.009349559060936414
32,1-2-2802,07 57 54.11,-61 18 09.73,,19.84,17.01,14.65,7,0.41,<,8.0,,-1.79,,99,,0.33,0.42,-4.65,0,1,0.363,0.035,0.01524,0.0052,18.5192,3316.5,0.23603896103896105,0.009349559060936414
33,1-2-2824,07 57 56.96,-61 18 43.90,2.076,19.04,16.53,14.15,13,0.69,,15.3,,-1.64,0.01,83,-1.6,0.46,0.41,-4.47,1,1,0.468,0.028,0.02578,0.00746,17.935547,3525.7,0.3979646017699114,0.009349559060936414
34,1-2-2994,07 58 02.87,-61 24 36.14,,17.08,15.12,13.12,31,5.74,<,8.0,*,-1.11,,45,,0.07,0.11,-5.25,0,1,0.624,0.021,0.07488,0.01745,16.331202,4189.1,0.8,0.009349559060936414
35,1-2-31,07 56 16.53,-61 17 12.77,,20.39,17.4,14.93,12,1.09,,13.6,,-1.93,,116,,0.32,0.28,-4.67,0,1,0.29,0.037,0.00908,0.00358,18.991331,3218.1,0.1813478260869565,0.009349559060936414
36,1-2-3412,07 58 15.90,-61 18 29.08,,18.09,15.87,13.82,18,10.33,<,8.0,*,-1.4,,63,,-0.02,0.02,,0,1,0.449,0.024,0.02951,0.00754,17.172356,3746.9,0.520531914893617,0.009349559060936414
37,1-2-3472,07 58 18.25,-61 21 09.00,4.432,17.45,15.37,13.42,23,0.98,<,8.0,,-1.21,0.021,50,-1.06,0.46,0.57,-4.46,1,1,0.537,0.022,0.04954,0.01179,16.631823,,,0.009349559060936414
38,1-2-3503,07 58 19.17,-61 23 52.24,,16.22,14.67,12.77,36,0.13,<,8.0,,-0.97,,38,,0.43,0.5,-4.46,0,1,0.69,,0.12869,,15.597932,,,0.009349559060936414
39,1-2-3572,07 58 21.56,-61 17 15.91,,19.23,16.65,14.43,10,42.37,<,8.0,*,-1.68,,87,,0.11,0.11,-5.11,0,1,0.202,0.022,0.00615,0.00178,18.086239,3244.6,0.19286956521739126,0.009349559060936414
40,1-2-369,07 56 28.62,-61 17 11.80,0.275,17.07,15.0,12.86,40,18.12,,105.1,*,-1.06,0.023,42,-2.19,0.88,1.38,-4.17,1,1,0.523,0.021,0.04174,0.01005,16.294199,3698.4,0.5033333333333334,0.009349559060936414
42,1-2-4256,07 58 47.02,-61 23 46.60,0.808,20.47,17.57,14.93,6,2.5,,30.9,,-2.0,0.017,127,-2.2,0.18,0.38,-4.92,1,1,0.306,0.038,0.01149,0.00435,19.080431,,,0.009349559060936414
43,1-2-463,07 56 32.23,-61 21 46.47,,17.87,15.57,13.37,26,3.75,,9.7,*,-1.27,,54,,0.19,0.21,-4.85,0,1,0.56,0.024,0.04486,0.01149,16.909742,3830.6,0.5502127659574467,0.009349559060936414
44,1-2-619,07 56 38.03,-61 23 59.93,,19.45,16.73,14.31,13,0.15,,19.5,,-1.7,,89,,0.37,0.39,-4.58,0,1,0.417,0.03,0.0198,0.00598,18.21267,3413.0,0.2987012987012987,0.009349559060936414
45,1-2-752,07 56 42.49,-61 17 48.59,,17.81,15.39,13.2,27,31.35,<,8.0,*,-1.19,,50,,0.03,0.0,-5.64,0,1,0.491,0.022,0.03113,0.00782,16.794086,3568.6,0.42521739130434777,0.009349559060936414
