Name,Mass,Ref,MV,MJ,MH,MK
Gl 65 A,0.102,Hen99,15.41,9.68,9.15,8.76
Gl 65 B,0.1,Hen99,15.87,10.06,9.45,9.16
Gl 234 A,0.2027,Seg00a,13.07,8.52,7.93,7.64
Gl 234 B,0.1034,Seg00a,16.16,10.31,9.56,9.26
YY Gem a,0.6028,Seg00a,9.03,,,
YY Gem b,0.6069,Seg00a,9.38,,,
GJ 2069A a,0.4344,Seg00a,11.78,,,
GJ 2069A b,0.3987,Seg00a,12.57,,,
Gl 473 A,0.143,Tor99,15.01,9.44,8.84,8.4
Gl 473 B,0.131,Tor99,15,9.57,9.04,8.84
Gl 570 B,0.5656,For99,9.45,6.21,5.61,5.39
Gl 570 C,0.377,For99,11.09,7.4,6.76,6.57
Gl 623 A,0.3432,Seg00b,10.74,7.19,6.7,6.46
Gl 623 B,0.1142,Seg00b,16.02,10.47,9.35,9.33
CM Dra a,0.2307,Met96,12.8,,,
CM Dra b,0.2136,Met96,12.94,,,
Gl 644 A,0.4155,Seg00a,10.76,6.61,6.35,
Gl 644 Ba,0.3466,Seg00a,11.22,,,
Gl 644 Bb,0.3143,Seg00a,11.71,,,
Gl 661 A,0.379,Mar98,11.1,7.1,6.56,6.36
Gl 661 B,0.369,Mar98,11.15,7.51,7.02,6.78
Gl 702 B,0.713,Hen93,7.52,5.63,4.53,
Gl 747 A,0.2137,Seg00a,12.3,7.53,,
Gl 747 B,0.1997,Seg00a,12.52,7.63,,
Gl 791.2 A,0.286,Ben00,13.37,,,
Gl 791.2 B,0.126,Ben00,16.64,,,
Gl 831 A,0.2913,Seg00a,12.52,7.36,7.08,
Gl 831 B,0.1621,Seg00a,14.62,8.62,8.36,
Gl 860 A,0.2711,Hen99,11.76,7.84,7.26,6.95
Gl 860 B,0.1762,Hen99,13.46,9.03,8.4,8.32
Gl 866 A,0.1187,Seg00a,15.39,,,
Gl 866 A B,0.1145,Seg00a,15.64,9.29,8.96,
Gl 866 A C,0.093,Seg00a,17.43,,,
