recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,TIC,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag_x,e_Vmag,umag,e_umag,gmag_x,e_gmag_x,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag_xa,e_Gmag_xa,Tmag,e_Tmag,f_Tmag,Flag,Teff_x,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V)_x,E_E(B-V)_xa,f_E(B-V),e_Mass_x,E_Mass_xa,e_Rad_x,E_Rad_xa,e_rho_x,E_rho_xa,e_logg_x,E_logg_xa,e_Lum_x,E_Lum_xa,e_Dist_x,E_Dist_xa,r_Dist,e_Teff_x,E_Teff_xa,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID,angDist
379,204448136,16 09 08.81,-22 17 47.0,,12.07,,6.12,0.04,12.07,6.08,0.3899,,,,"USco,silver",no,Simbad,1,0.999996,18.189999,16.434992,,,48965609,242.28681592511,-22.29629921838,242.287,-22.296,90.0,,,,16090884-2217466,,J160908.81-221746.9,6242857530223444608,,,STAR,tmgaia2,tmgaia2,-21.463,0.276,-32.837,0.206,gaia2,10.0331,0.1653,gaia2,19.866,0.163,,,,,,,,,,,,,12.973,0.03,12.334,0.026,12.073,0.021,AAA-222-111-000-0-0,11.874,0.024,11.639,0.022,11.829,0.372,8.806,,16.4582,0.001189,14.934,0.008,cdwrf,cdwrf,2946.0,157.0,4.9248,0.0039,,,0.301,0.01,0.278,0.021,10.1936,0.2447,DWARF,0.00614,0.00173,99.4346,1.6475,0.0,0.0,384,0.2048,,,0.0,0.0,0.0,,,,,,,,,,,,1.6207,1.6744,bj2018,,,cdwrf,18.6258,0.020617,15.0719,0.002728,1,,bpbj,cooldwarfs_v8,4.35694773548,3.18695875087,242.28671604569,-22.29644059822,0.15879596783,0.06610937328,1,0,1037198659,0.482326
380,204328391,16 09 09.38,-22 45 59.2,,10.53,,5.41,0.7,10.44,4.71,5.4266,,,,"USco,gold",no,Simbad,1,0.996487,15.849999,14.479387,3488.1,0.8307,48966279,242.2891407328,-22.76640428541,242.289,-22.767,90.0,,,337-078575,16090940-2245590,,J160909.38-224559.2,6242453768937886080,11478387,,STAR,tmgaia2,tmgaia2,-10.088,0.151,-22.851,0.096,gaia2,6.7425,0.0888,gaia2,17.458,-0.143,16.249,0.297,,,,,,,,,,,11.526,0.028,10.739,0.023,10.53,0.025,AAA-222-111-000-0-0,10.386,0.023,10.218,0.019,10.097,0.085,8.648,,14.5203,0.001308,13.22,0.009,cdwrf,cdwrf,3299.0,157.0,4.5921,0.0129,,,0.672,0.021,0.643,0.021,2.1231,0.1289,DWARF,0.04813,0.01221,147.727,1.953,0.0256,0.0104,377,0.0225,,,0.0,0.0144,0.0064,panstarrs,,,,,,,,,,,1.928,1.978,bj2018,,,cdwrf,16.0559,0.007694,13.2973,0.005327,1,ucac4,apassdr9,cooldwarfs_v8,2.38134119694,1.48817549951,242.28909362753,-22.76650266952,0.0826529583,0.03279967582,1,0,1037198882,0.239178
381,205034152,16 09 13.38,-19 43 28.4,,10.6,,5.59,0.42,10.54,5.17,3.62,,,,"USco,gold",no,Simbad,1,0.996487,16.130001,14.70593,3458.3,0.9608,48962531,242.30578404906,-19.72448516084,242.306,-19.725,90.0,,,352-077230,16091338-1943281,,J160913.37-194328.4,6245672383068041344,,,STAR,tmgaia2,tmgaia2,-8.96,0.143,-23.96,0.117,gaia2,7.1479,0.0789,gaia2,17.971,0.162,16.397,0.08,,,,,,,,,,,11.583,0.024,10.867,0.024,10.595,0.019,AAA-222-111-000-0-0,10.479,0.023,10.312,0.021,10.25,0.073,8.461,,14.728,0.001002,13.392,0.008,cdwrf,cdwrf,3227.0,157.0,4.622,0.0119,,,0.635,0.019,0.616,0.02,2.4055,0.1388,DWARF,0.03938,0.01011,139.369,1.545,0.0335,0.0253,272,0.0199,,,0.0,0.0195,0.0312,panstarrs,,,,,,,,,,,1.528,1.562,bj2018,,,cdwrf,16.388,0.006529,13.4803,0.002763,1,ucac4,bpbj,cooldwarfs_v8,2.25748611229,1.81441066091,242.30574306866,-19.72458832325,0.07296461273,0.04021225176,1,0,1037946703,0.278452
382,202539362,16 09 13.64,-29 18 15.6,9.11,8.07,1.04,1.04,0.03,8.06,1.01,0.5689,,,,"USco,gold",no,Simbad,1,0.999392,9.1,9.08287,6786.7,0.1421,67978974,242.30681525973,-29.30433807538,242.307,-29.304,90.0,79142,6792-01935-1,304-086703,16091364-2918155,,J160913.63-291815.7,6041628932196395904,13017717,,STAR,tmgaia2,tmgaia2,-7.664,0.352,-13.83,0.203,gaia2,3.4466,0.1649,gaia2,9.545,0.047,9.12,0.03,,,,,,,,,,,8.288,0.023,8.08,0.036,8.066,0.024,AAA-111-111-000-0-0,7.967,0.022,7.991,0.019,7.958,0.022,7.836,0.247,9.02257,2.72E-4,8.716,0.006,rered,gaia2,7120.0,177.9,3.6949,0.098,,,2.96,0.184,1.583,0.279,0.061,0.0168,DWARF,20.29,2.755,288.926,14.152,0.1187,0.0237,812,0.0119,,,7.52E-4,0.0292,0.0182,panstarrs,0.211,0.346,0.124,0.243,0.0152,0.0184,0.0926,0.1034,3.08187,2.42814,13.471,14.833,bj2018,168.5,187.3,dered,9.25694,7.05E-4,8.66414,9.43E-4,1,hipvmag,tycho2b3,,5.63638681411,3.14715906353,242.30677741776,-29.30439762294,0.14658715766,0.07292725511,1,0,1037954760,0.059251
383,205056060,16 09 15.80,-19 37 06.4,,11.46,,5.9,0.14,11.44,5.76,1.7251,,,,"USco,gold",no,Simbad,1,0.999974,17.34,15.734283,3370.6,1.0116,48962413,242.31589029057,-19.61840145387,242.316,-19.618,90.0,,,,16091580-1937063,1237674654229659665,J160915.80-193706.4,6245722479566604288,,,STAR,tmgaia2,tmgaia2,-8.154,0.226,-21.121,0.168,gaia2,6.3947,0.1105,gaia2,18.668,0.162,,,21.27,0.145,18.321,0.007,16.77,0.005,14.992,0.004,13.998,0.004,12.383,0.026,11.739,0.023,11.462,0.027,AAA-222-111-000-0-0,11.271,0.022,11.047,0.021,10.903,0.146,8.57,,15.764,8.26E-4,14.314,0.008,cdwrf,cdwrf,3051.0,157.0,4.7167,0.0104,,,0.524,0.017,0.521,0.021,3.6265,0.2053,DWARF,0.02141,0.00584,155.761,2.702,0.0307,0.0304,289,0.2736,,,0.0,0.0184,0.0425,panstarrs,,,,,,,,,,,2.656,2.748,bj2018,,,cdwrf,17.7192,0.017285,14.4316,0.002304,1,,bpbj,cooldwarfs_v8,3.55850900901,2.59841914189,242.31585302002,-19.61849239023,0.09858822042,0.05600593619,1,0,1037946616,0.247501
384,204093677,16 09 16.88,-23 41 32.5,,10.97,,6.25,0.29,10.94,5.96,0.3628,,,,"USco,gold",no,Simbad,1,0.999996,17.189999,15.425806,3416.7,1.0716,48967559,242.32038279599,-23.69232391485,242.32,-23.692,90.0,,,,16091689-2341324,,J160916.88-234132.6,6242151918636039296,,,STAR,tmgaia2,tmgaia2,-11.378,0.211,-23.662,0.145,gaia2,6.8853,0.1218,gaia2,18.959,0.162,,,,,,,,,,,,,11.927,0.024,11.257,0.023,10.974,0.021,AAA-222-111-000-0-0,10.814,0.023,10.58,0.021,10.334,0.084,8.85,,15.459,0.001237,13.971,0.008,cdwrf,cdwrf,3005.0,157.0,4.6678,0.0117,,,0.58,0.019,0.572,0.021,2.9241,0.1723,DWARF,0.02475,0.0068,144.713,2.571,0.0201,0.033,428,0.0388,,,0.0,0.0149,0.0512,panstarrs,,,,,,,,,,,2.526,2.616,bj2018,,,cdwrf,17.4938,0.014851,14.097,0.003801,1,,bpbj,cooldwarfs_v8,3.33961366959,2.25347126866,242.32032929794,-23.69242579464,0.11129187819,0.05864661455,1,0,1037950198,0.210995
385,205558283,16 09 20.41,-16 46 40.3,11.4,8.15,3.25,3.25,0.7,8.06,2.55,,,,,"USco,bronze",no,Simbad,1,0.999997,11.31,10.935565,,,411098932,242.33507847573,-16.7778381055,242.335,-16.778,90.0,,6201-01991-1,367-071814,16092041-1646403,,J160920.41-164640.5,6249689654958044800,8833101,,STAR,tmgaia2,tmgaia2,-3.819,0.116,-31.563,0.079,gaia2,0.4328,0.0481,gaia2,12.769,0.293,11.396,0.042,,,,,,,,,,,8.977,0.024,8.306,0.044,8.151,0.029,AAA-111-111-000-0-0,8.037,0.023,8.106,0.02,8.019,0.022,7.983,0.223,10.9349,7.98E-4,10.16,0.007,rered,gaia2,4675.0,122.0,,,,,26.574,,,,,,GIANT,,,2183.88,240.8,0.2072,0.0044,,,,,,0.0035,0.0053,panstarrs,,,,,,,,,,,215.16,266.44,bj2018,,,dered,11.6675,0.001174,10.1288,0.001112,1,tycho2v3,tycho2b3,,1.81538912744,1.22714083066,242.33506129977,-16.77797400124,0.0463186151,0.03032415142,0,0,1038107053,0.151511
386,205092303,16 09 20.54,-19 26 32.1,,12.08,,6.94,0.7,11.99,6.24,1.7205,,,,"USco,gold",yes,Simbad,1,0.999998,18.93,16.881954,3003.7,1.5879,48962216,242.33565119531,-19.44219749669,242.336,-19.442,90.0,,,,16092054-1926318,,J160920.54-192632.1,6245733612121878400,,,STAR,tmgaia2,tmgaia2,-8.766,0.386,-24.032,0.26,gaia2,7.0442,0.2229,gaia2,19.254,0.162,,,,,,,,,,,,,13.292,0.026,12.589,0.026,12.079,0.024,AAA-222-111-000-0-0,11.527,0.024,10.992,0.022,9.477,0.043,7.343,0.149,16.9053,0.004399,15.324,0.02,cdwrf,cdwrf,2937.0,157.0,4.829,0.0078,,,0.397,0.015,0.389,0.023,6.1885,0.3506,DWARF,0.01059,0.00311,141.65,4.5135,0.0991,0.0484,291,1.8234,,,0.0,0.0741,0.0228,panstarrs,,,,,,,,,,,4.373,4.654,bj2018,,,cdwrf,19.0417,0.047346,15.4633,0.02015,1,,bpbj,cooldwarfs_v8,6.07715571275,4.02396109538,242.33561117261,-19.44230096608,0.17144598228,0.09824872151,1,0,1037946473,0.297988
387,204429883,16 09 20.62,-22 22 05.9,15.9,9.5,6.4,6.4,0.66,9.41,5.74,0.3236,0.3286,1.4699,0.3586,"USco,gold",no,Simbad,1,0.999995,15.809999,14.213929,,,48965702,242.33598847224,-22.36824506837,242.336,-22.368,90.0,,,339-076542,16092063-2222057,,J160920.62-222205.9,6242855743517041408,11478706,,STAR,tmgaia2,tmgaia2,-8.495,2.251,-18.201,2.242,hsoy,,,,17.052,-0.092,16.224,0.286,,,,,,,,,,,10.498,0.028,9.842,0.027,9.499,0.021,AAA-222-111-000-0-0,9.286,0.023,8.998,0.021,8.942,0.033,8.056,,14.201,0.001457,12.885,0.007,gbprp,,,,,,,,,,,,,,GIANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2015,0.017101,12.7129,0.004586,0,ucac4,apassdr9,,35.57525858945,34.75080612418,242.33594892093,-22.36832343422,0.7593469233,0.28892667608,-1,-1,1037948901,0.32336
388,205089268,16 09 20.88,-19 27 25.9,8.04,7.48,0.56,0.56,0.52,7.41,0.04,,,,,"USco,gold",yes,Simbad,1,0.993139,7.97,8.025105,,,48962232,242.33703479619,-19.45721083295,242.337,-19.457,90.0,79156,6209-00834-1,353-078689,16092089-1927259,,J160920.88-192726.1,6245732753128416000,8833117,,STAR,tmgaia2,tmgaia2,-7.79,0.133,-23.428,0.095,gaia2,6.6402,0.0792,gaia2,8.218,0.028,8.06,0.03,,,,,,,,,,,7.587,0.023,7.576,0.044,7.476,0.02,AAA-111-111-000-0-0,7.39,0.035,7.373,0.022,7.135,0.017,6.323,0.068,8.01216,4.07E-4,7.883,0.006,rered,gaia2,8488.0,319.5,4.2605,0.0784,,,1.782,0.057,2.11,0.332,0.3728,0.0731,DWARF,14.85262,2.54188,149.983,1.7945,0.1035,0.0389,300,0.0592,,,0.0,0.0518,0.026,panstarrs,0.261,0.403,0.061,0.053,0.0718,0.0743,0.0784,0.0783,3.6182,1.46557,1.774,1.815,bj2018,433.7,205.2,dered,8.12446,0.001791,7.83839,0.002004,1,hipvmag,tycho2b3,,2.09170016038,1.46996238331,242.33699922269,-19.45731170307,0.06319311409,0.03738920922,1,0,1037946485,0.132028
