recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,logL,Mass_calc,Mass_e
379,204448136,16 09 08.81,-22 17 47.0,,12.07,,6.12,0.04,12.07,6.08,0.3899,,,,"USco,silver",no,Simbad,1,0.999996,18.189999,10.865275238465816,,,-2.2118316156418114,,0.013866982803217402
380,204328391,16 09 09.38,-22 45 59.2,,10.53,,5.41,0.7,10.44,4.71,5.4266,,,,"USco,gold",no,Simbad,1,0.996487,15.849999,8.909670238465814,3488.1,0.8307,-1.317584155038534,0.28242857142857136,0.013866982803217402
381,205034152,16 09 13.38,-19 43 28.4,,10.6,,5.59,0.42,10.54,5.17,3.62,,,,"USco,gold",no,Simbad,1,0.996487,16.130001,9.136213238465816,3458.3,0.9608,-1.404724298767895,0.26823809523809533,0.013866982803217402
382,202539362,16 09 13.64,-29 18 15.6,9.11,8.07,1.04,1.04,0.03,8.06,1.01,0.5689,,,,"USco,gold",no,Simbad,1,0.999392,9.1,3.513153238465815,6786.7,0.1421,1.3072820666296232,1.474108280254777,0.013866982803217402
383,205056060,16 09 15.80,-19 37 06.4,,11.46,,5.9,0.14,11.44,5.76,1.7251,,,,"USco,gold",no,Simbad,1,0.999974,17.34,10.164566238465817,3370.6,1.0116,-1.669383341241523,0.22647619047619044,0.013866982803217402
384,204093677,16 09 16.88,-23 41 32.5,,10.97,,6.25,0.29,10.94,5.96,0.3628,,,,"USco,gold",no,Simbad,1,0.999996,17.189999,9.856089238465817,3416.7,1.0716,-1.6064247990836824,0.24842857142857133,0.013866982803217402
385,205558283,16 09 20.41,-16 46 40.3,11.4,8.15,3.25,3.25,0.7,8.06,2.55,,,,,"USco,bronze",no,Simbad,1,0.999997,11.31,5.365848238465816,,,,,0.013866982803217402
386,205092303,16 09 20.54,-19 26 32.1,,12.08,,6.94,0.7,11.99,6.24,1.7205,,,,"USco,gold",yes,Simbad,1,0.999998,18.93,11.312237238465816,3003.7,1.5879,-1.9751040366903792,0.10179810725552045,0.013866982803217402
387,204429883,16 09 20.62,-22 22 05.9,15.9,9.5,6.4,6.4,0.66,9.41,5.74,0.3236,0.3286,1.4699,0.3586,"USco,gold",no,Simbad,1,0.999995,15.809999,8.644212238465816,,,,,0.013866982803217402
388,205089268,16 09 20.88,-19 27 25.9,8.04,7.48,0.56,0.56,0.52,7.41,0.04,,,,,"USco,gold",yes,Simbad,1,0.993139,7.97,2.455388238465815,,,1.17180307354387,,0.013866982803217402
389,204602441,16 09 21.36,-21 39 34.4,,11.03,,6.56,0.42,10.97,6.14,,,,,"USco,gold",yes,Simbad,1,0.999979,17.53,10.590403238465814,,,,,0.013866982803217402
390,203581504,16 09 26.93,-25 39 08.4,,11.7,,6.26,0.7,11.61,5.56,0.5917,0.6765,,,"USco,bronze",no,Simbad,1,0.999998,17.869999,10.614756238465816,,,-2.1056839321647822,,0.013866982803217402
