recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,logL,S18_Mass,Tess_Mass,Tess_s_Mass,iso_Mass_calc,iso_Mass_e,rml_Mass_calc,rml_Mass_e
1074,203074940,16 26 25.39,-27 20 42.7,,11.18,,6.42,0.39,11.13,6.03,3.3496,,,,"USco,bronze",no,Simbad,1,0.999983,17.55,10.144135238465816,3415.2,1.4586,-1.5491352948697448,0.189,0.581,0.021,0.24771428571428564,0.013866982803217402,0.14320305367395403,0.009083756291806893
1089,204377821,16 26 39.65,-22 34 20.3,,10.49,,6.94,1.36,10.31,5.57,1.3506,,,,"USco,bronze",no,Simbad,1,0.999999,17.25,9.728967238465817,,,,0.316,,,,0.013866982803217402,0.180862063973748,0.009083756291806893
1109,204464537,16 26 56.18,-22 13 52.1,,12.41,,7.2,0.78,12.31,6.42,0.2843,,,,"USco,gold",maybe,Simbad,1,0.999999,19.51,11.921549238465817,2834.9,0.7439,-2.1765257737350687,0.128,0.324,0.021,0.1,0.013866982803217402,,0.0
1110,203478347,16 26 56.46,-26 00 17.0,,12.01,,7.06,1.37,11.83,5.69,2.8819,,,,"USco,bronze",no,Simbad,1,0.999999,18.89,11.241957238465815,3380.3,1.5281,-1.8038238163770817,0.28,0.449,0.021,0.2310952380952382,0.013866982803217402,,0.0
1123,204565982,16 27 09.40,-21 48 45.9,,11.71,,7.82,2.02,11.45,5.8,1.5612,,,,"USco,gold",yes,Simbad,1,1.0,19.27,11.322485238465816,3313.8,1.7517,-1.9182927237260483,0.247,0.442,0.021,0.199621451104101,0.013866982803217402,,0.0
1142,204608421,16 27 25.51,-21 38 04.0,,11.26,,6.46,0.88,11.15,5.58,1.8322,,,,"USco,bronze",no,Simbad,1,0.999996,17.61,10.227591238465816,3571.3,1.5249,-1.7347103828802517,0.313,0.499,0.021,0.3296794871794873,0.013866982803217402,0.13637374020622825,0.009083756291806893
1164,203751997,16 27 45.21,-25 03 33.1,,11.45,,5.94,0.32,11.41,5.61,2.7362,,,,"USco,bronze",no,Simbad,1,0.999952,17.35,10.171093238465817,,,-1.7101881639902885,0.303,0.486,0.021,,0.013866982803217402,0.1410011027636215,0.009083756291806893
1166,203781195,16 27 47.98,-24 57 13.7,,12.11,,8.43,2.83,11.75,5.6,0.4139,,,,"USco,gold",no,Simbad,1,1.0,20.18,12.563467238465815,,,-1.825940203986945,0.307,0.495,0.035,,0.013866982803217402,,0.0
1182,203798606,16 28 03.36,-24 53 23.6,,10.49,,7.8,2.18,10.21,5.62,2.3014,,,,"USco,bronze",no,Simbad,1,1.0,18.01,10.390063238465816,,,-1.597222919361493,0.301,0.638,0.021,,0.013866982803217402,0.12456841945371566,0.009083756291806893
1185,202828127,16 28 08.95,-28 12 56.6,,12.11,,7.7,1.31,11.94,6.39,1.1663,,,,"USco,bronze",yes,Simbad,1,0.999999,19.64,11.622988238465815,,,-1.940436572270189,0.133,0.42,0.032,,0.013866982803217402,,0.0
1227,203504633,16 28 44.53,-25 54 59.1,,11.6,,6.33,0.0,11.6,6.33,0.6203,0.1565,,,"USco,bronze",maybe,Simbad,1,0.999999,17.93,10.631739238465816,,,-1.954677030191809,0.142,0.391,0.028,,0.013866982803217402,0.108946839161805,0.009083756291806893
1268,202638454,16 30 20.08,-28 55 18.1,,11.77,,6.93,0.44,11.72,6.49,0.2487,0.4455,,,"USco,bronze",no,Simbad,1,0.999999,18.65,10.918600238465814,,,-1.862962557218858,0.119,0.472,0.022,,0.013866982803217402,,0.0
1271,203108627,16 30 49.62,-27 13 46.8,,11.38,,6.34,0.64,11.3,5.69,1.2221,,,,"USco,bronze",no,Simbad,1,0.999992,17.64,10.288900238465816,3428.0,1.2978,-1.6110112028148982,0.277,0.548,0.021,0.2538095238095238,0.013866982803217402,0.13147616488691108,0.009083756291806893
1296,203185083,16 34 35.13,-26 58 03.2,,10.48,,6.26,0.51,10.41,5.75,0.4401,,,,"USco,gold",no,Simbad,1,0.99998,16.67,9.373125238465816,3528.3,1.0777,,0.26,,,,0.013866982803217402,0.22668618560890166,0.009083756291806893
1304,203130129,16 35 44.70,-27 09 20.4,,11.56,,5.67,0.0,11.56,5.67,1.6122,,,,"USco,bronze",no,Simbad,1,0.999726,17.23,10.146865238465816,3341.9,0.7738,-1.6831912368262465,0.284,0.487,0.021,0.21280952380952387,0.013866982803217402,0.14311298758238591,0.009083756291806893
11,205049221,15 55 22.39,-19 39 02.9,,11.01,,6.15,0.49,10.95,5.66,29.7371,3.1976,,,"USco,bronze",no,Simbad,1,0.999996,17.1,9.841712238465815,,,-1.576426467646391,0.289,0.593,0.021,,0.013866982803217402,0.16868454297103558,0.009083756291806893
13,204077926,15 55 30.59,-23 45 21.2,,12.12,,6.19,0.41,12.07,5.78,1.0026,,,,"USco,bronze",no,Simbad,1,0.999998,18.26,10.947058238465814,3239.2,0.9811,-2.1331221760256054,0.252,0.304,0.022,0.17608832807570973,0.013866982803217402,,0.0
17,203544427,15 55 42.29,-25 46 47.7,,11.74,,6.78,0.47,11.68,6.31,1.0897,,,,"USco,bronze",no,Simbad,1,0.999999,18.460001,10.860348238465814,,,-1.844663964888208,0.143,0.469,0.025,,0.013866982803217402,,0.0
22,204862399,15 55 52.72,-20 31 33.5,,11.67,,6.73,0.94,11.55,5.79,0.2951,,,,"USco,bronze",no,Simbad,1,0.999999,18.28,10.895050238465814,,,-1.914709421706124,0.25,0.443,0.021,,0.013866982803217402,,0.0
23,203892828,15 55 53.21,-24 31 25.2,,11.86,,6.02,0.0,11.86,6.02,0.555,,,,"USco,bronze",no,Simbad,1,0.999993,17.88,10.589457238465815,3350.6,1.0095,-1.8127613715314552,0.192,0.458,0.022,0.21695238095238092,0.013866982803217402,0.11151964404873461,0.009083756291806893
27,203890834,15 56 03.72,-24 31 54.4,,11.34,,6.55,0.62,11.26,5.93,0.6164,0.4481,0.5146,,"USco,bronze",no,Simbad,1,0.999987,17.810001,10.865847238465816,,,,0.213,,,,0.013866982803217402,,0.0
28,204041137,15 56 12.13,-23 54 08.0,,10.23,,5.71,0.0,10.23,5.71,0.4201,,,,"USco,silver",no,Simbad,1,0.999832,15.94,8.854549238465815,3426.0,0.9775,-1.473531471941948,0.271,0.614,0.027,0.25285714285714284,0.013866982803217402,0.30068852100435567,0.009083756291806893
31,204269918,15 56 23.39,-22 59 49.4,,11.62,,6.91,0.52,11.56,6.39,0.8346,,,,"USco,bronze",no,Simbad,1,0.999998,18.470001,10.788123238465817,,,-1.87224749254814,0.132,0.464,0.021,,0.013866982803217402,0.10015693302021814,0.009083756291806893
34,204918279,15 56 25.09,-20 16 16.2,,9.86,,6.67,0.44,9.8,6.23,0.4594,0.4665,,,"USco,gold",no,Simbad,1,0.999604,16.470001,9.231930238465816,,,,0.155,,,,0.013866982803217402,0.24677946756140184,0.009083756291806893
38,204963464,15 56 34.24,-20 03 33.4,,10.87,,6.25,0.26,10.83,5.99,0.369,,,,"USco,gold",no,Simbad,1,0.999996,17.08,9.738742238465814,3430.0,1.1108,-1.616364143719666,0.197,0.572,0.021,0.25476190476190474,0.013866982803217402,0.17986243930174906,0.009083756291806893
40,204229193,15 56 40.18,-23 09 29.5,,11.8,,6.17,0.22,11.77,5.95,1.806,,,,"USco,bronze",no,Simbad,1,0.999996,17.94,10.710423238465816,,,-1.85949195718659,0.207,0.443,0.021,,0.013866982803217402,0.10455381024706563,0.009083756291806893
51,204248842,15 57 03.67,-23 04 48.6,,10.21,,5.93,0.25,10.18,5.68,0.9991,0.8303,,,"USco,gold",no,Simbad,1,0.999955,16.11,8.930308238465816,3475.7,1.1021,,0.28,,,,0.013866982803217402,0.2895168938970939,0.009083756291806893
54,204896403,15 57 08.50,-20 22 18.0,,11.42,,5.96,0.16,11.4,5.8,1.4471,2.7884,,,"USco,bronze",no,Simbad,1,0.999994,17.36,10.151512238465816,3315.5,1.0717,-1.8068754134269729,0.247,0.455,0.021,0.20023809523809524,0.013866982803217402,0.1427365781127209,0.009083756291806893
55,204084492,15 57 12.77,-23 43 46.7,,12.59,,6.9,0.82,12.49,6.08,1.1411,,,,"USco,gold",no,Simbad,1,0.999998,19.39,11.761557238465816,,,-2.218963069211088,0.181,0.299,0.022,,0.013866982803217402,,0.0
62,204442667,15 57 28.47,-22 19 05.3,,11.6,,6.35,0.24,11.57,6.11,1.3178,,,,"USco,gold",no,Simbad,1,0.999998,17.92,10.506560238465816,3370.7,1.1812,-1.833273943767509,0.175,0.454,0.021,0.22652380952380943,0.013866982803217402,0.11685892614418573,0.009083756291806893
63,204274743,15 57 29.84,-22 58 44.0,,11.19,,6.17,0.49,11.13,5.69,1.7686,,,,"USco,gold",yes,Simbad,1,0.997153,17.3,10.281025238465816,,,,0.28,,,,0.013866982803217402,0.13212994877670334,0.009083756291806893
65,203800211,15 57 36.83,-24 53 02.9,,11.93,,5.86,0.0,11.93,5.86,0.6137,,,,"USco,bronze",no,Simbad,1,0.999987,17.79,10.595223238465817,,,-2.0888423845900195,0.229,0.307,0.021,,0.013866982803217402,0.1110330048380016,0.009083756291806893
68,204434699,15 57 39.33,-22 20 57.6,,11.5,,6.01,0.28,11.46,5.72,2.5101,,,,"USco,bronze",no,Simbad,1,0.999994,17.470001,10.253275238465816,3323.8,1.1274,-1.7577070872675775,0.269,0.483,0.021,0.20419047619047628,0.013866982803217402,0.13427674278186563,0.009083756291806893
70,203521205,15 57 42.47,-25 51 35.7,,10.81,,5.7,0.05,10.81,5.65,0.7418,,,,"USco,gold",no,Simbad,1,0.999806,16.51,9.414191238465817,3427.6,0.9197,-1.4548166387485022,0.289,0.621,0.021,0.2536190476190476,0.013866982803217402,0.22085619164817394,0.009083756291806893
74,203839698,15 57 47.56,-24 44 12.4,,12.05,,6.06,0.32,12.01,5.74,0.9672,,,,"USco,gold",no,Simbad,1,0.999992,18.07,10.798825238465817,3380.4,0.9911,-1.836540458659017,0.264,0.441,0.022,0.2311428571428572,0.013866982803217402,,0.0
80,204849054,15 57 56.02,-20 35 10.5,,12.34,,6.46,0.34,12.3,6.12,0.9839,,,,"USco,bronze",no,Simbad,1,0.999998,18.76,11.398350238465817,,,-1.896196284292576,0.174,0.436,0.023,,0.013866982803217402,,0.0
91,204553379,15 58 23.36,-21 51 59.1,,11.28,,6.38,0.42,11.23,5.96,1.8469,,,,"USco,gold",no,Simbad,1,0.999998,17.61,10.311070238465817,,,-1.7366006477624436,0.204,0.524,0.022,,0.013866982803217402,0.12975627137193277,0.009083756291806893
96,204066097,15 58 35.97,-23 48 14.0,,12.08,,6.32,0.28,12.04,6.04,0.3588,,,,"USco,gold",no,Simbad,1,0.999998,18.36,11.032694238465815,,,-2.07727454523862,0.188,0.343,0.021,,0.013866982803217402,,0.0
101,204238921,15 58 39.87,-23 07 10.8,,11.71,,6.12,0.0,11.71,6.12,1.9986,,,,"USco,bronze",no,Simbad,1,0.999998,17.83,10.585282238465815,3318.4,1.0496,-1.7166987506685698,0.173,0.526,0.026,0.20161904761904767,0.013866982803217402,0.1117952265653377,0.009083756291806893
102,204594600,15 58 48.10,-21 41 34.2,,12.52,,6.84,0.53,12.45,6.31,0.6008,,,,"USco,silver",no,Simbad,1,0.999999,19.29,11.635464238465817,,,-2.341988585492948,0.144,0.243,0.021,,0.013866982803217402,,0.0
