   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.76000  0.00000000000E+00   1.69892   3.84262  11.53031 -30.00000   0.49976   0.00000  0.00000E+00  9.52870E-01  4.69200E-02  4.92700E-06     0.67060     0.51160     0.00000     0.00030    -0.18219  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0000000000
        2    0.76000  7.11590000000E+03   1.70058   3.83941  11.53756 -30.00000   0.49976   0.00000  0.00000E+00  9.52720E-01  4.70700E-02  8.17800E-06     0.57960     0.51000     0.00000     0.00030    -0.08963  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0002120228
        3    0.76000  1.37658000000E+04   1.70468   3.83668  11.54507 -30.00000   0.49976   0.00000  0.00000E+00  9.52570E-01  4.72100E-02  1.12300E-05     0.55090     0.50610     0.00000     0.00030    -0.05697  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0004101608
        4    0.76000  2.10660000000E+04   1.70955   3.83426  11.55235 -30.00000   0.49976   0.00000  0.00000E+00  9.52410E-01  4.73700E-02  1.45900E-05     0.54300     0.50150     0.00000     0.00030    -0.04439  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0006276749
        5    0.76000  3.01186000000E+04   1.71431   3.83212  11.55902 -30.00000   0.49976   0.00000  0.00000E+00  9.52210E-01  4.75700E-02  1.87800E-05     0.53040     0.49770     0.00000     0.00030    -0.02800  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0008974029
        6    0.76000  4.14346000000E+04   1.71820   3.83033  11.56453 -30.00000   0.49976   0.00000  0.00000E+00  9.51960E-01  4.78100E-02  2.40500E-05     0.52010     0.49560     0.00000     0.00030    -0.01554  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0012345703
        7    0.76000  5.55796000000E+04   1.72114   3.82893  11.56880 -30.00000   0.49976   0.00000  0.00000E+00  9.51650E-01  4.81200E-02  3.07000E-05     0.51220     0.49520     0.00000     0.00030    -0.00722  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0016560296
        8    0.76000  7.32606000000E+04   1.72329   3.82795  11.57184 -30.00000   0.49976   0.00000  0.00000E+00  9.51260E-01  4.85000E-02  3.90900E-05     0.50660     0.49620     0.00000     0.00030    -0.00253  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0021828463
        9    0.76000  9.53616000000E+04   1.72470   3.82741  11.57363 -30.00000   0.49976   0.00000  0.00000E+00  9.50760E-01  4.89900E-02  4.97300E-05     0.50320     0.49790     0.00000     0.00030    -0.00079  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0028413596
       10    0.76000  1.22987600000E+05   1.72541   3.82728  11.57424 -30.00000   0.49976   0.00000  0.00000E+00  9.50140E-01  4.96000E-02  6.32300E-05     0.50130     0.50010     0.00000     0.00030    -0.00111  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0036644939
