16   3.244E-01  2.530E+00   2683.   0.100   5.97  -6.60   2.38   3.06   6.21  16.45  12.57  14.95   9.51   6.36   3.99   3.24   2.77   2.26   0     1
16   9.454E-01  3.325E+00   3045.   0.200   4.81  -4.38   2.00   2.01   4.32  12.53   9.19  11.19   7.18   4.87   2.89   2.23   1.86   1.50   0     1
14   1.645E+00  3.562E+00   3374.   0.300   4.21  -2.54   1.60   1.22   2.84   9.63   6.75   8.35   5.52   3.90   2.39   1.79   1.51   1.29   0     0
12   2.771E+00  4.047E+00   3593.   0.400   3.64  -1.68   1.51   1.00   2.17   8.03   5.32   6.83   4.32   3.15   2.01   1.35   1.14   0.97   0     0
11   3.724E+00  4.290E+00   3756.   0.500   3.32  -1.37   1.46   0.93   1.92   7.37   4.70   6.15   3.77   2.78   1.77   1.09   0.91   0.76   0     0
10   4.695E+00  4.511E+00   3877.   0.600   3.07  -1.17   1.41   0.89   1.77   6.88   4.24   5.66   3.35   2.48   1.56   0.89   0.72   0.59   0     0
27   1.098E+01  6.033E+00   4147.   1.000   2.15  -0.89   1.30   0.81   1.54   5.51   3.04   4.34   2.23   1.50   0.70   0.06  -0.07  -0.18   0     0
26   1.230E+01  6.074E+00   4250.   1.200   2.03  -0.78   1.24   0.76   1.43   5.16   2.81   4.04   2.04   1.37   0.60  -0.02  -0.14  -0.25   0     0
25   1.371E+01  6.047E+00   4381.   1.500   1.91  -0.68   1.15   0.71   1.31   4.78   2.59   3.74   1.88   1.28   0.50  -0.10  -0.21  -0.32   0     0
25   2.122E+01  7.186E+00   4483.   2.000   1.43  -0.64   1.11   0.68   1.26   4.17   2.07   3.18   1.39   0.81   0.05  -0.54  -0.65  -0.75   0     0
25   3.077E+01  8.422E+00   4543.   2.500   1.03  -0.61   1.09   0.67   1.22   3.69   1.64   2.73   0.97   0.42  -0.35  -0.93  -1.03  -1.13   0     0
25   4.168E+01  9.610E+00   4584.   3.000   0.70  -0.59   1.07   0.65   1.20   3.31   1.29   2.36   0.64   0.09  -0.67  -1.24  -1.34  -1.45   0     0
