 16   2.414E-03  1.633E-01   2980.   0.100  11.29  -3.37   1.82   1.47   3.40  18.10  14.67  16.48  13.20  11.26   7.98   7.30   6.91   6.52   0     1
 15   8.003E-03  2.390E-01   3309.   0.200   9.99  -2.12   1.55   1.12   2.54  15.08  12.11  13.66  10.99   9.57   7.36   6.75   6.45   6.19   0     0
 13   1.556E-02  3.024E-01   3525.   0.300   9.27  -1.58   1.51   0.99   2.13  13.59  10.85  12.36   9.86   8.72   7.28   6.64   6.41   6.22   0     0
 12   2.610E-02  3.591E-01   3682.   0.400   8.71  -1.35   1.46   0.93   1.93  12.76  10.06  11.52   9.13   8.13   6.96   6.29   6.09   5.94   0     0
 11   4.459E-02  4.218E-01   3826.   0.500   8.13  -1.18   1.40   0.88   1.77  11.96   9.31  10.70   8.42   7.53   6.53   5.86   5.69   5.55   0     0
 10   7.672E-02  5.036E-01   3994.   0.600   7.54  -0.99   1.32   0.83   1.61  11.11   8.52   9.85   7.69   6.92   5.98   5.31   5.16   5.04   0     0
 26   1.286E-01  6.014E-01   4238.   0.700   6.98  -0.72   1.20   0.74   1.38  10.07   7.70   8.90   6.96   6.32   5.48   4.86   4.74   4.63   0     0
 24   2.262E-01  7.033E-01   4613.   0.800   6.36  -0.42   1.01   0.59   1.10   8.75   6.78   7.79   6.19   5.69   4.85   4.28   4.18   4.09   0     0
 22   3.918E-01  7.920E-01   4993.   0.900   5.77  -0.27   0.85   0.48   0.89   7.53   6.04   6.89   5.56   5.15   4.45   3.96   3.88   3.81   0     0
 20   6.427E-01  8.902E-01   5336.   1.000   5.23  -0.18   0.74   0.41   0.79   6.61   5.41   6.15   5.00   4.62   4.04   3.60   3.52   3.46   0     0
 37   1.031E+00  1.002E+00   5666.   1.100   4.72  -0.11   0.66   0.37   0.71   5.76   4.83   5.49   4.46   4.12   3.61   3.22   3.15   3.10   0     0
 31   1.598E+00  1.123E+00   5975.   1.200   4.24  -0.07   0.59   0.33   0.64   4.92   4.31   4.89   3.98   3.67   3.24   2.93   2.88   2.83   0     0
 48   2.365E+00  1.244E+00   6253.   1.300   3.82  -0.04   0.50   0.29   0.56   4.36   3.85   4.35   3.56   3.29   2.88   2.59   2.54   2.50   0     0
 45   3.366E+00  1.356E+00   6541.   1.400   3.43  -0.01   0.43   0.25   0.49   3.84   3.45   3.87   3.19   2.95   2.67   2.45   2.41   2.37   0     0
 43   4.624E+00  1.444E+00   6869.   1.500   3.09   0.01   0.35   0.21   0.42   3.45   3.08   3.43   2.87   2.66   2.44   2.27   2.24   2.21   0     0
