 16   9.743E-03  3.070E-01   3080.   0.100   9.78  -4.18   1.97   1.92   4.15  17.24  13.96  15.93  12.04   9.80   7.86   7.21   6.85   6.50   0     0
 15   2.647E-02  4.414E-01   3318.   0.200   8.69  -2.85   1.69   1.34   3.07  14.50  11.54  13.23  10.20   8.47   6.85   6.24   5.94   5.69   0     0
 13   4.641E-02  5.365E-01   3505.   0.300   8.08  -1.95   1.54   1.07   2.39  12.79  10.04  11.58   8.97   7.65   6.39   5.75   5.52   5.33   0     0
 12   7.000E-02  6.086E-01   3658.   0.400   7.64  -1.55   1.49   0.97   2.07  11.89   9.19  10.68   8.22   7.13   6.04   5.37   5.17   5.01   0     0
 11   9.800E-02  6.661E-01   3768.   0.500   7.27  -1.35   1.45   0.93   1.90  11.30   8.62  10.07   7.70   6.72   5.72   5.05   4.86   4.72   0     0
 10   1.316E-01  7.251E-01   3864.   0.600   6.95  -1.19   1.42   0.89   1.78  10.78   8.14   9.56   7.24   6.36   5.43   4.76   4.60   4.47   0     0
 10   1.728E-01  7.851E-01   3962.   0.700   6.66  -1.09   1.39   0.87   1.70  10.35   7.75   9.13   6.88   6.05   5.16   4.50   4.34   4.22   0     0
 27   2.282E-01  8.546E-01   4091.   0.800   6.35  -0.96   1.34   0.83   1.60   9.84   7.31   8.65   6.48   5.72   4.89   4.24   4.10   3.98   0     0
 26   3.125E-01  9.374E-01   4291.   0.900   6.01  -0.75   1.21   0.75   1.39   9.05   6.76   7.97   6.01   5.37   4.59   3.98   3.86   3.75   0     0
 25   4.845E-01  1.040E+00   4580.   1.000   5.54  -0.59   1.07   0.66   1.20   8.15   6.13   7.20   5.48   4.93   4.17   3.59   3.49   3.39   0     0
 22   8.833E-01  1.171E+00   5030.   1.100   4.88  -0.38   0.87   0.51   0.95   6.73   5.27   6.14   4.76   4.32   3.71   3.22   3.14   3.07   0     0
 38   1.875E+00  1.382E+00   5592.   1.200   4.07  -0.24   0.72   0.41   0.80   5.28   4.31   5.03   3.89   3.51   3.05   2.65   2.58   2.53   0     0
 30   2.737E+00  1.400E+00   6115.   1.300   3.66  -0.17   0.55   0.34   0.69   4.39   3.83   4.38   3.49   3.14   2.80   2.50   2.45   2.40   0     0
 48   2.889E+00  1.367E+00   6276.   1.400   3.60  -0.16   0.49   0.31   0.62   4.25   3.76   4.25   3.44   3.13   2.80   2.51   2.46   2.42   0     0
 45   4.071E+00  1.499E+00   6535.   1.500   3.23  -0.13   0.40   0.26   0.52   3.76   3.36   3.76   3.10   2.84   2.58   2.36   2.32   2.28   0     0
