Unnamed: 0,recno,RA_ICRS_x,DE_ICRS_x,SourceCP_x,RVCP_x,PlxCP_x,GmagCP_x,pmRACP_x,pmDECP_x,bx_x,by_x,bz_x,vx_x,vy_x,vz_x,distC_x,Source_x,Gmag_x,BPmag_x,RPmag_x,E(BR/RP)_x,RV_x,e_RV_x,2MASS_x,Jmag_x,e_Jmag_x,Hmag_x,e_Hmag_x,Kmag_x,e_Kmag_x,WISE_x,SDSS_x,ps1name_x,SimbadName_x,gsc9name_x,Lod19_Mass,_RA.icrs_x,_DE.icrs_x,single_x,Teff_x,logL_x,Tess_Mass,Tess_s_Mass_x,Lod19_Mass_calc,Lod19_Mass_e,RA_ICRS_y,DE_ICRS_y,SourceCP_y,RVCP_y,PlxCP_y,GmagCP_y,pmRACP_y,pmDECP_y,bx_y,by_y,bz_y,vx_y,vy_y,vz_y,distC_y,Source_y,Gmag_y,BPmag_y,RPmag_y,E(BR/RP)_y,RV_y,e_RV_y,2MASS_y,Jmag_y,e_Jmag_y,Hmag_y,e_Hmag_y,Kmag_y,e_Kmag_y,WISE_y,SDSS_y,ps1name_y,SimbadName_y,gsc9name_y,L19_Mass,_RA.icrs_y,_DE.icrs_y,single_y,Teff_y,logL_y,TESS_Mass,Tess_s_Mass_y,TESS_Mass_calc,TESS_Mass_e,Del00_Mass,Age_calc (Myr),Age_e (Myr),Mass_calc,Mass_e
0,1,40.9749583,22.65575,88861709418842496,,6.71157,18.172001,14.119,-30.067,-112.216,54.058,-81.763,,,,37.9345,88861709418842496,12.687849934959718,19.1075,16.4519,2.388,0.0,0.0,02435399+2239209,14.809,0.038,14.092,0.04,13.798,0.056,J024354.01+223920.6,,,,,0.114,40.9748924,22.6558795,1,,,,,0.1017027644927487,0.0151712214702844,40.9749583,22.65575,88861709418842496,,6.71157,18.172001,14.119,-30.067,-112.216,54.058,-81.763,,,,37.9345,88861709418842496,18.1724,19.1075,16.4519,2.388,0.0,0.0,02435399+2239209,14.809,0.038,14.092,0.04,13.798,0.056,J024354.01+223920.6,,,,,0.114,40.9748924,22.6558795,1,,,,,,0.0147834206196253,0.1504932578558185,,,,
1,2,41.7146667,22.6558611,112681288804808064,,8.07824,20.066,22.674,-54.558,-94.145,43.939,-67.304,,,,32.7146,112681288804808064,14.58194993495972,21.0268,18.4419,2.205,0.0,0.0,02465148+2239219,15.996,0.078,15.375,0.096,15.044,0.137,J024651.51+223921.5,,,,,0.059,41.7145609,22.656096,1,,,,,,0.0,41.7146667,22.6558611,112681288804808064,,8.07824,20.066,22.674,-54.558,-94.145,43.939,-67.304,,,,32.7146,112681288804808064,20.0665,21.0268,18.4419,2.205,0.0,0.0,02465148+2239219,15.996,0.078,15.375,0.096,15.044,0.137,J024651.51+223921.5,,,,,0.059,41.7145609,22.656096,1,,,,,,0.0147834206196253,,,,,
2,3,42.242875,27.0338333,114833750319750912,,8.03954,18.396999,20.544,-32.089,-96.912,49.626,-60.142,,,,31.6872,114833750319750912,12.91274993495972,20.490999,17.0233,1.617,0.0,0.0,02485826+2702024,14.949,0.038,14.312,0.043,13.986,0.039,J024858.27+270202.0,,,,,0.1,42.2427757,27.0339715,1,3001.4,-2.679853696889668,0.142,0.021,,0.0,42.242875,27.0338333,114833750319750912,,8.03954,18.396999,20.544,-32.089,-96.912,49.626,-60.142,,,,31.6872,114833750319750912,18.3973,20.490999,17.0233,1.617,0.0,0.0,02485826+2702024,14.949,0.038,14.312,0.043,13.986,0.039,J024858.27+270202.0,,,,,0.1,42.2427757,27.0339715,1,3001.4,-2.679853696889668,0.142,0.021,0.1201651376146789,0.0147834206196253,0.1379466843264623,98.711,47.473,0.0943,0.0184
3,4,42.8222083,28.8111111,128604205745014656,,7.39081,20.045,41.375,-65.287,-106.706,55.827,-61.678,,,,30.9459,128604205745014656,14.559949934959718,21.136499,18.559999,1.94,0.0,0.0,02511726+2848412,16.366,0.095,15.561,0.1,15.271,0.126,J025117.31+284840.4,,,,,0.059,42.822005,28.8113922,1,,,,,,0.0,42.8222083,28.8111111,128604205745014656,,7.39081,20.045,41.375,-65.287,-106.706,55.827,-61.678,,,,30.9459,128604205745014656,20.0445,21.136499,18.559999,1.94,0.0,0.0,02511726+2848412,16.366,0.095,15.561,0.1,15.271,0.126,J025117.31+284840.4,,,,,0.059,42.822005,28.8113922,1,,,,,,0.0147834206196253,,,,,
4,5,42.9286667,31.9433889,130317932056151680,,7.49413,20.243,30.704,-44.299,-106.068,59.397,-55.02,,,,33.5951,130317932056151680,14.758549934959715,21.646799,18.5084,2.307,0.0,0.0,02514283+3156368,15.895,0.059,15.231,0.07,14.942,0.096,J025142.86+315636.4,J025142.86+315636.9,,,,0.056,42.9285109,31.9435796,1,,,,,,0.0,42.9286667,31.9433889,130317932056151680,,7.49413,20.243,30.704,-44.299,-106.068,59.397,-55.02,,,,33.5951,130317932056151680,20.2431,21.646799,18.5084,2.307,0.0,0.0,02514283+3156368,15.895,0.059,15.231,0.07,14.942,0.096,J025142.86+315636.4,J025142.86+315636.9,,,,0.056,42.9285109,31.9435796,1,,,,,,0.0147834206196253,0.0937299349998913,,,,
5,6,43.0527917,26.2459444,114535958762185600,,6.61376,20.782,35.595,-98.306,-118.651,57.729,-73.83,,,,34.7153,114535958762185600,15.297949934959718,21.461399,19.2306,2.171,0.0,0.0,02521263+2614471,16.309,0.095,15.612,0.118,14.951,0.101,J025212.65+261445.9,,,,,0.049,43.0526208,26.2463677,1,,,,,,0.0,43.0527917,26.2459444,114535958762185600,,6.61376,20.782,35.595,-98.306,-118.651,57.729,-73.83,,,,34.7153,114535958762185600,20.7825,21.461399,19.2306,2.171,0.0,0.0,02521263+2614471,16.309,0.095,15.612,0.118,14.951,0.101,J025212.65+261445.9,,,,,0.049,43.0526208,26.2463677,1,,,,,,0.0147834206196253,0.0934467235818348,,,,
6,7,43.0540417,24.5380833,113488463483202304,,7.10538,16.629,30.985,-46.64,-109.754,51.005,-71.832,,,,29.9585,113488463483202304,11.14444993495972,18.319901,15.3174,1.58,0.0,0.0,02521292+2432177,13.543,0.024,12.892,0.023,12.627,0.021,J025212.96+243217.2,,,,,0.221,43.053895,24.5382841,1,,-2.010550190714421,0.305,0.029,0.2009605758248958,0.0151712214702844,43.0540417,24.5380833,113488463483202304,,7.10538,16.629,30.985,-46.64,-109.754,51.005,-71.832,,,,29.9585,113488463483202304,16.629,18.319901,15.3174,1.58,0.0,0.0,02521292+2432177,13.543,0.024,12.892,0.023,12.627,0.021,J025212.96+243217.2,,,,,0.221,43.053895,24.5382841,1,,-2.010550190714421,0.305,0.029,,0.0147834206196253,0.2662446817359289,,,,
7,8,43.10525,30.6208056,129426679098525952,,7.92363,17.341,26.947,-48.168,-100.276,54.185,-54.189,,,,32.1859,129426679098525952,11.85634993495972,19.1623,16.028,1.564,0.0,0.0,02522523+3037158,14.116,0.024,13.566,0.031,13.22,0.028,J025225.25+303715.1,,,,,0.166,43.1051152,30.621013,1,3209.9,-2.3260579935918955,0.205,0.02,0.1434536942112888,0.0151712214702844,43.10525,30.6208056,129426679098525952,,7.92363,17.341,26.947,-48.168,-100.276,54.185,-54.189,,,,32.1859,129426679098525952,17.3409,19.1623,16.028,1.564,0.0,0.0,02522523+3037158,14.116,0.024,13.566,0.031,13.22,0.028,J025225.25+303715.1,,,,,0.166,43.1051152,30.621013,1,3209.9,-2.3260579935918955,0.205,0.02,0.1777826086956522,0.0147834206196253,0.1989085564060606,91.131,47.882,0.1497,0.0314
8,9,43.1699583,24.8493611,113502482256688128,,6.9847,20.257999,15.325,-34.699,-111.943,52.221,-72.383,,,,30.5113,113502482256688128,14.773549934959718,21.6117,18.7889,1.859,0.0,0.0,02524078+2450585,16.25,0.098,15.926,0.169,15.257,0.147,J025240.77+245058.0,,,,,0.056,43.1698856,24.8495105,1,,,,,,0.0,43.1699583,24.8493611,113502482256688128,,6.9847,20.257999,15.325,-34.699,-111.943,52.221,-72.383,,,,30.5113,113502482256688128,20.2581,21.6117,18.7889,1.859,0.0,0.0,02524078+2450585,16.25,0.098,15.926,0.169,15.257,0.147,J025240.77+245058.0,,,,,0.056,43.1698856,24.8495105,1,,,,,,0.0147834206196253,,,,,
9,10,43.2540417,22.6382222,109713328963897344,,7.10482,20.365999,129.4,-209.912,-109.154,47.621,-75.021,,,,29.8896,109713328963897344,14.881849934959718,21.142599,18.6528,2.423,0.0,0.0,02530084+2238208,16.135,0.093,15.765,0.148,15.759,0.207,J025300.69+223817.3,,,,,0.054,43.253438,22.639126,1,,,,,,0.0,43.2540417,22.6382222,109713328963897344,,7.10482,20.365999,129.4,-209.912,-109.154,47.621,-75.021,,,,29.8896,109713328963897344,20.3664,21.142599,18.6528,2.423,0.0,0.0,02530084+2238208,16.135,0.093,15.765,0.148,15.759,0.207,J025300.69+223817.3,,,,,0.054,43.253438,22.639126,1,,,,,,0.0147834206196253,,,,,
