Cluster,Comparison,N,R2,RMSE,MAE,Offset,Std_res
ONC,SPECTRA IsocFit vs Hillenbrand (1997),444,0.7197,0.2213,0.1102,0.0342,0.2186
ONC,SPECTRA IsocFit vs Davies et al. (2014),363,0.839,0.1804,0.0512,-0.0346,0.1771
UpperScorpius,SPECTRA IsocFit vs TESS V8.2,508,0.324,0.2672,0.2277,-0.1267,0.2353
hPersei,SPECTRA IsocFit vs Moraux et al. (2013),140,-6.7277,0.3483,0.2743,-0.2584,0.2335
hPersei,SPECTRA IsocFit vs TESS V8.2,140,-2.7883,0.2852,0.2519,0.1685,0.2301
Pleiades,SPECTRA IsocFit vs Lodieu et al. (2019),1531,0.9104,0.1232,0.059,-0.0191,0.1217
Pleiades,SPECTRA IsocFit vs Delfosse et al. (2000),1268,0.7649,0.081,0.0666,-0.059,0.0554
Pleiades,SPECTRA IsocFit vs TESS V8.2,1531,0.8454,0.1659,0.1038,-0.0778,0.1465
NGC2516,SPECTRA IsocFit vs Jackson et al. (2012),380,0.0107,0.1217,0.1071,-0.0918,0.0798
NGC2516,SPECTRA IsocFit vs TESS V8.2,367,0.3403,0.1373,0.1131,-0.1049,0.0885
