Unnamed: 0,recno,RAJ2000_x,DEJ2000_x,i'mag_x,Per_x,Power_x,l_FAP_x,FAP_x,Amp_x,M13_Mass,bin_x,Vmag_x,Icmag_x,Jmag_x,Hmag_x,Kmag_x,Mmb_x,XH_x,PSS_x,M13_single,M13_Mass_calc,M13_Mass_e,RAJ2000_y,DEJ2000_y,i'mag_y,Per_y,Power_y,l_FAP_y,FAP_y,Amp_y,bin_y,Vmag_y,Icmag_y,Jmag_y,Hmag_y,Kmag_y,Mmb_y,XH_y,PSS_y,Tess_single,Tess_Mass,s_Mass,s_Lum,logL,Teff,Tess_Mass_calc,Tess_Mass_e,Age_calc (Myr),Age_e (Myr),Mass_calc,Mass_e
0,1,02 19 20.17,+57 11 51.4,17.35,2.99,476.0,<,0.001,0.064,1.21,1,,,15.72,15.09,3.091360819912035,,X,0.999997,1,1.1132835577846876,0.0037941954566645,02 19 20.17,+57 11 51.4,17.35,2.99,476.0,<,0.001,0.064,1.0,,,15.72,15.09,14.9,,X,0.999997,1.0,,,,,4906.1,,0.0186945933377917,,,,
1,2,02 19 38.13,+57 12 32.3,17.11,0.625,463.3,<,0.001,0.046,1.25,1,18.32,16.63,15.48,14.83,2.8213608199120355,3.0,X,0.999993,1,1.1916869070540428,0.0037941954566645,02 19 38.13,+57 12 32.3,17.11,0.625,463.3,<,0.001,0.046,1.0,18.32,16.63,15.48,14.83,14.63,3.0,X,0.999993,1.0,0.77,,,-0.1773677875833876,4993.3,0.8998167539267017,0.0186945933377917,22.274,12.136,1.0338,0.0646
2,3,02 18 11.37,+57 14 40.8,18.21,1.64,430.6,<,0.001,0.061,1.03,1,,,16.41,15.67,3.651360819912036,,,0.999995,1,0.8990916506072822,0.0037941954566645,02 18 11.37,+57 14 40.8,18.21,1.64,430.6,<,0.001,0.061,1.0,,,16.41,15.67,15.46,,,0.999995,1.0,,,,,3823.7,,0.0186945933377917,,,,
3,4,02 18 17.31,+57 07 35.3,17.02,2.85,430.5,<,0.001,0.037,1.27,1,18.1,16.63,15.48,14.85,2.891360819912034,3.0,,0.999996,1,1.171169350777348,0.0037941954566645,02 18 17.31,+57 07 35.3,17.02,2.85,430.5,<,0.001,0.037,1.0,18.1,16.63,15.48,14.85,14.7,3.0,,0.999996,1.0,0.8,,,0.0980827604461786,4914.9,0.8792931937172774,0.0186945933377917,7.042,2.917,1.2893,0.0716
4,5,02 18 31.14,+57 03 53.3,16.43,0.541,430.4,<,0.001,0.029,1.34,2,17.57,16.1,14.94,14.33,2.3613608199120346,3.0,X,0.999996,1,1.285114161040454,0.0037941954566645,02 18 31.14,+57 03 53.3,16.43,0.541,430.4,<,0.001,0.029,2.0,17.57,16.1,14.94,14.33,14.17,3.0,X,0.999996,1.0,,,,,4713.7,,0.0186945933377917,,,,
5,6,02 18 19.07,+57 02 28.5,16.85,0.361,426.4,<,0.001,0.055,1.29,2,18.16,16.4,15.1,14.4,2.391360819912034,3.0,X,0.999995,1,1.27902179087008,0.0037941954566645,02 18 19.07,+57 02 28.5,16.85,0.361,426.4,<,0.001,0.055,2.0,18.16,16.4,15.1,14.4,14.2,3.0,X,0.999995,1.0,,,,,,,0.0186945933377917,,,,
6,7,02 19 23.99,+57 02 24.8,16.71,0.364,426.2,<,0.001,0.022,1.31,2,17.88,16.25,15.1,14.45,2.4613608199120343,3.0,,0.999991,1,1.265247107193414,0.0037941954566645,02 19 23.99,+57 02 24.8,16.71,0.364,426.2,<,0.001,0.022,2.0,17.88,16.25,15.1,14.45,14.27,3.0,,0.999991,1.0,0.76,,,0.0143651057645743,4744.1,0.8345811518324608,0.0186945933377917,5.842,2.556,1.2288,0.08
7,8,02 18 54.21,+57 00 30.6,18.14,2.97,424.3,<,0.001,0.049,1.03,1,19.7,17.75,16.1,15.35,3.341360819912035,3.0,,0.999979,1,1.0276203687519367,0.0037941954566645,02 18 54.21,+57 00 30.6,18.14,2.97,424.3,<,0.001,0.049,1.0,19.7,17.75,16.1,15.35,15.15,3.0,,0.999979,1.0,0.64,,,-0.9706568124808934,3574.4,0.3316666666666667,0.0186945933377917,9.719,5.416,0.4511,0.0896
8,9,02 18 50.23,+56 59 57.8,17.83,5.18,413.4,<,0.001,0.033,1.12,1,19.09,17.43,16.12,15.42,3.471360819912034,3.0,,0.999998,1,0.9781095424241834,0.0037941954566645,02 18 50.23,+56 59 57.8,17.83,5.18,413.4,<,0.001,0.033,1.0,19.09,17.43,16.12,15.42,15.28,3.0,,0.999998,1.0,0.75,,,-0.6754706227880067,3907.7,0.5454395604395603,0.0186945933377917,8.211,3.812,0.6465,0.0861
9,10,02 19 46.17,+57 09 39.0,18.5,4.46,408.1,<,0.001,0.065,0.94,1,20.23,18.03,16.54,15.71,3.6113608199120346,1.0,,0.999993,1,0.9172258271486832,0.0037941954566645,02 19 46.17,+57 09 39.0,18.5,4.46,408.1,<,0.001,0.065,1.0,20.23,18.03,16.54,15.71,15.42,1.0,,0.999993,1.0,,,,,,,0.0186945933377917,,,,
10,11,02 18 49.08,+57 11 12.9,16.42,0.391,407.4,<,0.001,0.043,1.34,2,17.57,16.0,14.89,14.27,2.251360819912035,3.0,X,0.999994,1,,0.0,02 18 49.08,+57 11 12.9,16.42,0.391,407.4,<,0.001,0.043,2.0,17.57,16.0,14.89,14.27,14.06,3.0,X,0.999994,1.0,,,,,5484.4,,0.0186945933377917,,,,
11,12,02 18 00.05,+57 13 06.7,17.2,2.87,405.1,<,0.001,0.032,1.23,1,,,15.66,15.07,3.091360819912035,,,0.999995,1,1.1132835577846876,0.0037941954566645,02 18 00.05,+57 13 06.7,17.2,2.87,405.1,<,0.001,0.032,1.0,,,15.66,15.07,14.9,,,0.999995,1.0,0.78,,,-0.268572412949052,4662.5,0.8132198952879581,0.0186945933377917,13.261,6.127,1.022,0.0628
12,13,02 19 48.85,+57 15 09.0,18.1,0.436,403.5,<,0.001,0.04,1.05,1,19.31,17.54,16.34,15.6,3.551360819912034,1.0,,0.999998,1,0.9433741575000424,0.0037941954566645,02 19 48.85,+57 15 09.0,18.1,0.436,403.5,<,0.001,0.04,1.0,19.31,17.54,16.34,15.6,15.36,1.0,,0.999998,1.0,0.7,,,-0.3569521956712412,3765.2,0.4584722222222221,0.0186945933377917,1.949,0.739,0.5279,0.0777
13,14,02 18 37.09,+57 05 53.2,16.99,2.3,402.9,<,0.001,0.033,1.27,1,17.91,16.42,15.4,14.78,2.751360819912035,3.0,X,0.999988,1,1.207846753842652,0.0037941954566645,02 18 37.09,+57 05 53.2,16.99,2.3,402.9,<,0.001,0.033,1.0,17.91,16.42,15.4,14.78,14.56,3.0,X,0.999988,1.0,0.81,,,-0.2494838912832011,5018.7,0.9072434017595308,0.0186945933377917,36.763,24.591,0.9701,0.0601
14,15,02 19 36.85,+57 03 17.0,17.78,0.946,401.5,<,0.001,0.036,1.12,1,19.09,17.31,15.99,15.25,3.231360819912034,3.0,X,0.999993,1,1.0676376886930514,0.0037941954566645,02 19 36.85,+57 03 17.0,17.78,0.946,401.5,<,0.001,0.036,1.0,19.09,17.31,15.99,15.25,15.04,3.0,X,0.999993,1.0,,,,,3980.3,,0.0186945933377917,,,,
15,16,02 19 44.74,+57 14 37.7,18.42,11.0,397.0,<,0.001,0.06,0.96,1,19.82,17.94,16.65,15.86,3.821360819912036,1.0,,0.999995,1,0.8318589778968286,0.0037941954566645,02 19 44.74,+57 14 37.7,18.42,11.0,397.0,<,0.001,0.06,1.0,19.82,17.94,16.65,15.86,15.63,1.0,,0.999995,1.0,0.71,,,-0.5320221247202073,,,0.0186945933377917,,,,
16,17,02 19 25.76,+57 09 24.2,17.68,0.36,396.4,<,0.001,0.075,1.15,1,18.98,17.19,15.85,15.2,3.1213608199120344,3.0,X,0.999991,1,1.1047177526415013,0.0037941954566645,02 19 25.76,+57 09 24.2,17.68,0.36,396.4,<,0.001,0.075,1.0,18.98,17.19,15.85,15.2,14.93,3.0,X,0.999991,1.0,0.79,,,-0.5413923638152898,4231.4,0.6901204819277107,0.0186945933377917,12.144,5.747,0.8319,0.0639
17,18,02 18 29.88,+57 14 24.3,17.68,4.26,395.9,<,0.001,0.052,1.14,1,18.86,17.13,15.9,15.25,3.2113608199120343,3.0,,0.99999,1,1.0739236156146108,0.0037941954566645,02 18 29.88,+57 14 24.3,17.68,4.26,395.9,<,0.001,0.052,1.0,18.86,17.13,15.9,15.25,15.02,3.0,,0.99999,1.0,0.76,,,-0.4088908522338173,4327.4,1.0,0.0186945933377917,9.598,4.543,0.9043,0.069
